app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-5,7,105.024,53.108,735.168,371.756
expt-app-76,8,731.749,679.529,5853.992,5436.232
expt-app-77,1,1775.962,1654.54,1775.962,1654.54
expt-app-49,3,1953.5690000000002,1842.243,5860.707,5526.728999999999
expt-app-15,3,678.093,572.829,2034.279,1718.4869999999999
expt-app-1,1,803.902,683.822,803.902,683.822
expt-app-27,1,390.77299999999997,316.929,390.77299999999997,316.929
expt-app-86,4,482.043,476.963,1928.172,1907.852
expt-app-52,6,1270.347,1135.289,7622.082,6811.734
expt-app-48,10,115.493,43.279,1154.9299999999998,432.79
expt-app-95,9,171.787,104.612,1546.083,941.5079999999999
expt-app-23,1,1041.568,989.585,1041.568,989.585
expt-app-40,8,121.23100000000001,16.122,969.8480000000001,128.976
expt-app-81,9,225.979,146.99,2033.8110000000001,1322.91
expt-app-26,7,646.788,594.129,4527.516,4158.903
expt-app-24,10,342.706,270.72,3427.0600000000004,2707.2000000000003
expt-app-41,3,1241.73,1162.99,3725.19,3488.9700000000003
expt-app-55,9,347.985,282.003,3131.8650000000002,2538.027
expt-app-67,10,407.03499999999997,251.902,4070.3499999999995,2519.02
expt-app-34,8,661.9939999999999,572.386,5295.951999999999,4579.088
expt-app-14,2,1884.864,1806.298,3769.728,3612.596
expt-app-91,6,839.5089999999999,698.869,5037.053999999999,4193.214
expt-app-54,9,89.423,30.295,804.807,272.65500000000003
expt-app-29,1,2565.895,2499.16,2565.895,2499.16
expt-app-8,10,318.605,252.392,3186.05,2523.92
expt-app-22,1,675.26,608.289,675.26,608.289
expt-app-19,5,1322.707,1180.206,6613.535000000001,5901.03
expt-app-46,10,162.091,41.36,1620.91,413.6
expt-app-83,9,264.322,198.498,2378.898,1786.482
expt-app-4,5,251.69399999999996,146.447,1258.4699999999998,732.235
expt-app-58,6,684.141,600.427,4104.846,3602.562
expt-app-43,2,1660.154,1586.432,3320.308,3172.864
expt-app-73,5,265.946,259.23,1329.73,1296.15
expt-app-74,9,298.222,231.975,2683.9979999999996,2087.775
expt-app-80,4,402.39399999999995,323.342,1609.5759999999998,1293.368
expt-app-2,9,127.23899999999999,60.868,1145.1509999999998,547.812
expt-app-66,4,368.928,290.254,1475.712,1161.016
expt-app-20,5,545.67,470.838,2728.35,2354.19
expt-app-64,3,736.327,616.043,2208.9809999999998,1848.129
expt-app-69,4,223.87099999999998,156.733,895.4839999999999,626.932
expt-app-13,5,1788.226,1682.994,8941.130000000001,8414.97
expt-app-38,7,652.861,586.59,4570.027,4106.13
expt-app-82,6,200.96,134.892,1205.76,809.352
expt-app-33,2,2228.122,2161.496,4456.244,4322.992
expt-app-36,10,824.921,707.145,8249.210000000001,7071.45
expt-app-79,10,99.461,15.292,994.61,152.92
expt-app-50,7,754.484,618.927,5281.388,4332.4890000000005
expt-app-16,4,857.9290000000001,779.453,3431.7160000000003,3117.812
expt-app-57,5,237.981,159.641,1189.905,798.2049999999999
expt-app-39,6,142.87800000000001,30.161,857.268,180.966
expt-app-11,2,1635.74,1569.195,3271.48,3138.39
expt-app-44,5,995.3610000000001,928.216,4976.805,4641.08
expt-app-53,9,633.635,555.143,5702.715,4996.287
expt-app-70,5,625.4399999999999,620.847,3127.2,3104.2349999999997
expt-app-85,8,343.724,276.806,2749.792,2214.448
expt-app-99,8,160.405,93.984,1283.24,751.872
expt-app-84,2,747.281,626.159,1494.562,1252.318
expt-app-6,5,853.345,740.091,4266.725,3700.455
expt-app-25,10,289.63,223.464,2896.3,2234.64
expt-app-60,4,1019.3399999999999,907.018,4077.3599999999997,3628.072
expt-app-3,4,434.899,313.675,1739.596,1254.7
expt-app-30,6,20.974,15.608,125.844,93.648
expt-app-21,2,1067.964,1057.449,2135.928,2114.898
expt-app-59,8,167.423,18.028,1339.384,144.224
expt-app-93,5,540.917,462.569,2704.585,2312.8450000000003
expt-app-71,4,1424.424,1413.99,5697.696,5655.96
expt-app-10,9,933.545,828.074,8401.904999999999,7452.665999999999
expt-app-62,7,209.952,130.942,1469.664,916.594
expt-app-31,6,604.902,526.109,3629.4120000000003,3156.6540000000005
expt-app-0,9,423.029,335.162,3807.261,3016.4579999999996
expt-app-89,5,305.06899999999996,300.777,1525.3449999999998,1503.885
expt-app-18,10,314.947,240.656,3149.4700000000003,2406.56
expt-app-32,9,452.887,397.416,4075.983,3576.744
expt-app-88,5,1121.795,1055.646,5608.975,5278.23
expt-app-12,2,1054.607,934.196,2109.214,1868.392
expt-app-42,7,557.803,471.342,3904.621,3299.394
expt-app-97,10,46.334,41.608,463.34000000000003,416.08
expt-app-78,8,435.214,356.659,3481.712,2853.272
expt-app-28,10,214.488,141.535,2144.88,1415.35
expt-app-75,5,812.785,691.84,4063.9249999999997,3459.2000000000003
expt-app-65,7,706.08,701.142,4942.56,4907.994000000001
expt-app-72,5,1304.014,1168.327,6520.07,5841.635
