app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-26,5,1981.375,1976.119,9906.875,9880.595
expt-app-29,7,156.34300000000002,20.654,1094.401,144.578
expt-app-93,3,1250.206,1182.618,3750.6179999999995,3547.854
expt-app-7,4,1109.379,1042.328,4437.516,4169.312
expt-app-94,6,960.398,831.786,5762.388,4990.715999999999
expt-app-31,3,2540.187,2417.703,7620.561,7253.109
expt-app-73,9,903.507,825.874,8131.562999999999,7432.866
expt-app-90,9,186.439,50.849,1677.951,457.64099999999996
expt-app-52,5,760.5229999999999,655.495,3802.615,3277.475
expt-app-6,8,1000.448,873.337,8003.584,6986.696
expt-app-51,4,768.926,701.026,3075.704,2804.104
expt-app-1,8,1360.484,1287.742,10883.872,10301.936
expt-app-74,5,1940.05,1834.471,9700.25,9172.355
expt-app-61,7,1597.326,1544.731,11181.282,10813.117
expt-app-95,6,527.824,423.532,3166.9439999999995,2541.192
expt-app-82,8,1230.945,1095.465,9847.56,8763.72
expt-app-59,9,412.31800000000004,262.555,3710.8620000000005,2362.995
expt-app-18,9,137.17499999999998,22.858,1234.5749999999998,205.722
expt-app-19,8,481.15599999999995,395.11,3849.2479999999996,3160.88
expt-app-8,6,1187.729,1083.181,7126.374,6499.086
expt-app-44,4,1115.187,979.386,4460.748,3917.544
expt-app-81,9,463.49,314.249,4171.41,2828.241
expt-app-16,4,547.312,397.83,2189.248,1591.32
expt-app-54,7,1666.9560000000001,1531.103,11668.692000000001,10717.721000000001
expt-app-0,10,438.57099999999997,294.869,4385.71,2948.6900000000005
expt-app-25,9,362.57,257.529,3263.13,2317.761
expt-app-46,4,1216.1960000000001,1203.897,4864.784000000001,4815.588
expt-app-89,7,239.809,228.198,1678.663,1597.386
expt-app-41,9,536.224,531.344,4826.0160000000005,4782.0960000000005
expt-app-13,9,91.973,39.179,827.757,352.611
expt-app-23,4,596.617,475.797,2386.468,1903.188
expt-app-63,5,671.907,550.261,3359.5350000000003,2751.305
expt-app-42,9,491.572,386.191,4424.148,3475.7189999999996
expt-app-17,9,958.139,800.016,8623.251,7200.143999999999
expt-app-92,4,1008.534,920.516,4034.136,3682.064
expt-app-69,6,724.611,597.23,4347.666,3583.38
expt-app-20,10,159.751,79.928,1597.51,799.28
expt-app-33,5,1040.0149999999999,972.939,5200.074999999999,4864.695
expt-app-77,9,283.6,204.03,2552.4,1836.27
expt-app-39,7,572.0079999999999,422.226,4004.0559999999996,2955.582
expt-app-85,5,1154.185,1048.802,5770.924999999999,5244.009999999999
expt-app-50,6,573.071,568.845,3438.4260000000004,3413.07
expt-app-24,5,1314.281,1235.957,6571.405,6179.785000000001
expt-app-78,10,188.364,52.742,1883.64,527.42
expt-app-48,5,827.2270000000001,716.788,4136.135,3583.94
expt-app-5,10,164.02800000000002,7.713,1640.2800000000002,77.13
expt-app-70,7,824.955,703.933,5774.685,4927.531
expt-app-83,4,1762.845,1641.788,7051.38,6567.152
expt-app-87,8,611.953,476.519,4895.624,3812.152
expt-app-58,8,270.76099999999997,258.057,2166.0879999999997,2064.456
expt-app-36,7,642.0160000000001,563.331,4494.112000000001,3943.317
expt-app-72,9,667.496,600.825,6007.464,5407.425
expt-app-28,7,668.3299999999999,615.001,4678.3099999999995,4305.007
expt-app-86,4,383.452,305.17,1533.808,1220.68
expt-app-98,3,782.498,714.898,2347.494,2144.694
expt-app-68,10,329.918,190.583,3299.1800000000003,1905.83
expt-app-64,10,69.042,16.248,690.4200000000001,162.48000000000002
expt-app-22,10,237.713,93.264,2377.13,932.64
expt-app-15,3,1164.126,1096.808,3492.3779999999997,3290.424
expt-app-2,7,1128.01,1048.19,7896.07,7337.33
expt-app-37,10,133.233,66.159,1332.33,661.59
expt-app-45,9,151.667,64.865,1365.003,583.785
expt-app-88,9,575.455,508.587,5179.095,4577.282999999999
expt-app-60,7,805.077,800.035,5635.539,5600.245
expt-app-12,10,159.409,46.28,1594.09,462.8
expt-app-11,4,845.0419999999999,833.667,3380.1679999999997,3334.668
