app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-51,4,552.4630000000001,499.259,2209.8520000000003,1997.036
expt-app-81,9,290.813,170.477,2617.317,1534.2930000000001
expt-app-54,7,1815.231,1679.559,12706.617,11756.913
expt-app-52,5,738.789,618.097,3693.9449999999997,3090.4849999999997
expt-app-26,5,1568.5880000000002,1447.828,7842.9400000000005,7239.139999999999
expt-app-36,7,288.048,214.024,2016.336,1498.1680000000001
expt-app-2,7,779.374,674.091,5455.618,4718.637
expt-app-25,9,197.358,108.787,1776.222,979.0830000000001
expt-app-18,9,44.970000000000006,32.453,404.7300000000001,292.077
expt-app-12,10,164.386,85.797,1643.86,857.97
expt-app-24,5,1207.3100000000002,1128.458,6036.550000000001,5642.290000000001
expt-app-48,5,436.002,430.882,2180.01,2154.41
expt-app-42,9,426.637,291.171,3839.733,2620.5389999999998
expt-app-77,9,197.201,130.14,1774.809,1171.2599999999998
expt-app-15,3,1106.309,976.388,3318.9269999999997,2929.164
expt-app-45,9,215.178,64.636,1936.6019999999999,581.7239999999999
expt-app-79,8,543.749,476.721,4349.992,3813.768
expt-app-93,3,1163.308,1027.746,3489.924,3083.2380000000003
expt-app-73,9,1089.358,930.49,9804.222,8374.41
expt-app-6,8,735.333,618.495,5882.664,4947.96
expt-app-60,7,464.813,449.487,3253.691,3146.409
expt-app-39,7,230.942,163.801,1616.594,1146.607
expt-app-70,7,446.603,379.249,3126.221,2654.7430000000004
expt-app-33,5,832.9309999999999,753.77,4164.655,3768.85
expt-app-92,4,1018.5269999999999,913.865,4074.1079999999997,3655.46
expt-app-95,6,288.692,284.663,1732.152,1707.978
expt-app-78,10,151.218,38.38,1512.1799999999998,383.8
expt-app-44,4,612.078,545.649,2448.312,2182.596
expt-app-89,7,444.693,323.45,3112.8509999999997,2264.15
expt-app-82,8,1267.247,1181.953,10137.976,9455.624
expt-app-88,9,524.67,472.076,4722.03,4248.684
expt-app-41,9,548.7579999999999,412.96,4938.821999999999,3716.64
expt-app-19,8,432.073,427.293,3456.584,3418.344
expt-app-87,8,314.788,243.497,2518.304,1947.976
expt-app-20,10,158.775,79.608,1587.75,796.08
expt-app-1,8,1499.505,1488.899,11996.04,11911.192
expt-app-22,10,143.174,22.89,1431.74,228.9
expt-app-58,8,219.013,214.433,1752.104,1715.464
expt-app-29,7,156.556,33.34,1095.892,233.38000000000002
expt-app-86,4,487.524,482.598,1950.096,1930.392
expt-app-46,4,1222.2379999999998,1135.269,4888.951999999999,4541.076
expt-app-23,4,672.877,606.994,2691.508,2427.976
expt-app-28,7,451.458,439.85,3160.206,3078.9500000000003
expt-app-11,4,722.0020000000001,710.235,2888.0080000000003,2840.94
expt-app-64,10,168.803,11.557,1688.03,115.57000000000001
expt-app-90,9,88.307,35.827,794.763,322.443
expt-app-31,3,2302.9950000000003,2153.472,6908.985000000001,6460.416000000001
expt-app-16,4,708.73,559.295,2834.92,2237.18
expt-app-74,5,1250.144,1171.163,6250.72,5855.8150000000005
expt-app-37,10,243.21699999999998,102.036,2432.17,1020.36
expt-app-13,9,31.164,20.108,280.476,180.972
expt-app-50,6,564.864,559.724,3389.184,3358.344
expt-app-94,6,538.813,533.535,3232.8779999999997,3201.21
expt-app-68,10,194.915,142.473,1949.1499999999999,1424.73
expt-app-17,9,626.7239999999999,559.494,5640.516,5035.446
expt-app-69,6,488.86,348.885,2933.16,2093.31
expt-app-72,9,934.425,785.823,8409.824999999999,7072.407
expt-app-83,4,951.951,866.276,3807.804,3465.104
expt-app-0,10,509.75499999999994,374.575,5097.549999999999,3745.75
expt-app-59,9,466.64099999999996,326.594,4199.768999999999,2939.346
expt-app-98,3,772.357,636.925,2317.071,1910.7749999999999
expt-app-63,5,620.371,542.583,3101.855,2712.915
expt-app-5,10,141.727,6.605,1417.27,66.05000000000001
expt-app-85,5,831.989,765.123,4159.945,3825.6150000000002
