app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-20,10,157.4,15.852,1574.0,158.52
expt-app-22,10,161.821,88.244,1618.21,882.44
expt-app-39,7,253.07800000000003,167.353,1771.5460000000003,1171.471
expt-app-69,6,448.305,318.429,2689.83,1910.5739999999998
expt-app-18,9,76.981,18.421,692.829,165.789
expt-app-78,10,120.275,46.155,1202.75,461.55
expt-app-12,10,115.267,29.212,1152.67,292.12
expt-app-59,9,329.139,218.909,2962.251,1970.181
expt-app-37,10,86.748,75.441,867.48,754.4100000000001
expt-app-29,7,129.761,17.962,908.327,125.734
expt-app-45,9,158.721,17.337,1428.489,156.033
expt-app-64,10,121.295,7.485,1212.95,74.85000000000001
expt-app-13,9,119.806,45.096,1078.254,405.864
expt-app-5,10,20.688000000000002,8.077,206.88000000000002,80.77
expt-app-90,9,96.92,22.874,872.28,205.86599999999999
expt-app-77,9,158.799,101.097,1429.191,909.8729999999999
