app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-58,8,186.132,107.781,1489.056,862.248
expt-app-73,9,846.712,831.295,7620.407999999999,7481.655
expt-app-69,6,235.042,168.355,1410.252,1010.1299999999999
expt-app-29,7,111.068,33.33,777.476,233.31
expt-app-33,5,768.009,715.366,3840.045,3576.83
expt-app-82,8,1220.509,1216.78,9764.072,9734.24
expt-app-15,3,475.117,396.431,1425.351,1189.293
expt-app-89,7,207.563,120.554,1452.9409999999998,843.878
expt-app-86,4,223.682,146.362,894.728,585.448
expt-app-81,9,274.854,140.107,2473.6859999999997,1260.963
expt-app-77,9,127.34300000000002,74.254,1146.0870000000002,668.2860000000001
expt-app-68,10,89.143,85.357,891.4300000000001,853.5699999999999
expt-app-52,5,665.3919999999999,598.131,3326.9599999999996,2990.6549999999997
expt-app-17,9,318.55499999999995,313.76,2866.9949999999994,2823.84
expt-app-48,5,303.251,229.515,1516.2549999999999,1147.5749999999998
expt-app-78,10,134.446,46.792,1344.46,467.92
expt-app-6,8,950.393,897.819,7603.144,7182.552
expt-app-12,10,153.81,65.642,1538.1,656.42
expt-app-7,4,800.55,787.32,3202.2,3149.28
expt-app-88,9,200.97,197.097,1808.73,1773.873
expt-app-24,5,840.093,754.162,4200.465,3770.8100000000004
expt-app-28,7,276.619,209.618,1936.333,1467.326
expt-app-85,5,911.9580000000001,807.014,4559.790000000001,4035.07
expt-app-22,10,687.489,564.304,6874.89,5643.04
expt-app-95,6,246.714,167.98,1480.284,1007.8799999999999
expt-app-92,4,662.304,576.121,2649.216,2304.484
expt-app-83,4,521.159,442.445,2084.636,1769.78
expt-app-90,9,143.27100000000002,22.258,1289.439,200.322
expt-app-93,3,618.097,531.532,1854.291,1594.596
expt-app-46,4,1184.4889999999998,1105.937,4737.955999999999,4423.748
expt-app-5,10,11.322000000000001,7.322,113.22000000000001,73.22
expt-app-19,8,438.384,372.381,3507.072,2979.048
expt-app-13,9,95.126,42.674,856.134,384.066
expt-app-60,7,567.0269999999999,494.365,3969.1889999999994,3460.5550000000003
expt-app-39,7,199.627,128.475,1397.3890000000001,899.3249999999999
expt-app-87,8,197.85,131.7,1582.8,1053.6
expt-app-59,9,227.42499999999998,92.394,2046.8249999999998,831.546
expt-app-37,10,155.95999999999998,21.072,1559.6,210.72
expt-app-36,7,323.987,257.85,2267.909,1804.9500000000003
expt-app-42,9,397.906,320.984,3581.154,2888.8559999999998
expt-app-1,8,1137.95,1133.267,9103.6,9066.136
expt-app-25,9,228.821,101.215,2059.389,910.9350000000001
expt-app-94,6,321.52,255.154,1929.12,1530.924
expt-app-26,5,2137.243,2015.572,10686.215,10077.859999999999
expt-app-45,9,124.42999999999999,45.726,1119.87,411.534
expt-app-70,7,326.272,259.691,2283.904,1817.8369999999998
expt-app-2,7,928.1709999999999,823.053,6497.196999999999,5761.371
expt-app-41,9,221.75400000000002,217.524,1995.786,1957.716
expt-app-11,4,694.904,622.822,2779.616,2491.288
expt-app-20,10,171.041,66.636,1710.4099999999999,666.3599999999999
expt-app-18,9,103.977,28.633,935.793,257.697
expt-app-61,7,1645.516,1517.427,11518.612000000001,10621.989
expt-app-44,4,289.038,222.931,1156.152,891.724
expt-app-0,10,151.65300000000002,139.909,1516.5300000000002,1399.09
expt-app-72,9,376.544,362.591,3388.8959999999997,3263.319
expt-app-50,6,1175.402,1108.998,7052.412,6653.988
expt-app-98,3,333.694,266.962,1001.0820000000001,800.886
expt-app-63,5,1028.477,961.599,5142.385,4807.995
expt-app-74,5,1395.3029999999999,1342.139,6976.514999999999,6710.695
expt-app-64,10,31.708,19.225,317.08,192.25
expt-app-51,4,274.675,208.368,1098.7,833.472
expt-app-23,4,271.612,193.152,1086.448,772.608
expt-app-31,3,2302.5449999999996,2223.116,6907.634999999998,6669.348
expt-app-54,7,1718.804,1597.297,12031.628,11181.079
expt-app-16,4,306.584,171.388,1226.336,685.552
expt-app-8,6,1084.088,1078.998,6504.528,6473.988
