app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-23,4,272.17400000000004,192.248,1088.6960000000001,768.992
expt-app-17,9,329.177,324.674,2962.5930000000003,2922.066
expt-app-81,9,272.658,138.232,2453.922,1244.088
expt-app-19,8,634.837,568.526,5078.696,4548.208
expt-app-16,4,312.645,169.502,1250.58,678.008
expt-app-20,10,180.085,64.612,1800.8500000000001,646.1199999999999
expt-app-54,7,978.169,856.793,6847.183,5997.551
expt-app-42,9,944.8149999999999,877.918,8503.335,7901.262
expt-app-48,5,351.097,284.297,1755.485,1421.4850000000001
expt-app-63,5,845.759,772.701,4228.795,3863.505
expt-app-39,7,215.39,149.587,1507.73,1047.109
expt-app-31,3,1655.0069999999998,1576.283,4965.021,4728.849
expt-app-72,9,294.126,288.864,2647.134,2599.776
expt-app-64,10,25.709,21.313,257.09,213.13
expt-app-6,8,1043.538,982.492,8348.304,7859.936
expt-app-13,9,95.11999999999999,43.185,856.0799999999999,388.665
expt-app-58,8,186.379,107.724,1491.032,861.792
expt-app-73,9,823.2230000000001,818.235,7409.0070000000005,7364.115
expt-app-45,9,130.365,46.216,1173.285,415.944
expt-app-8,6,1297.695,1293.039,7786.17,7758.234
expt-app-0,10,151.059,139.284,1510.59,1392.84
expt-app-78,10,124.908,46.666,1249.08,466.65999999999997
expt-app-68,10,84.57900000000001,80.351,845.7900000000001,803.51
expt-app-85,5,952.9309999999999,848.261,4764.655,4241.305
expt-app-7,4,598.921,594.569,2395.684,2378.276
expt-app-44,4,291.5,224.808,1166.0,899.232
expt-app-36,7,306.778,231.905,2147.446,1623.335
expt-app-89,7,199.357,120.689,1395.499,844.823
expt-app-18,9,95.966,28.833,863.694,259.49699999999996
expt-app-77,9,132.69400000000002,73.145,1194.246,658.305
expt-app-92,4,438.49,359.979,1753.96,1439.916
expt-app-90,9,143.84199999999998,22.305,1294.578,200.745
expt-app-59,9,226.215,90.963,2035.935,818.6669999999999
expt-app-61,7,1582.642,1461.735,11078.494,10232.144999999999
expt-app-46,4,1056.2450000000001,977.262,4224.9800000000005,3909.048
expt-app-15,3,511.053,423.699,1533.159,1271.097
expt-app-33,5,482.89799999999997,423.491,2414.49,2117.455
expt-app-86,4,227.80800000000002,149.505,911.2320000000001,598.02
expt-app-22,10,211.24699999999999,124.042,2112.47,1240.42
expt-app-74,5,1377.17,1318.191,6885.85,6590.955
expt-app-83,4,541.922,463.135,2167.688,1852.54
expt-app-69,6,242.82999999999998,176.571,1456.98,1059.426
expt-app-29,7,118.799,33.979,831.5930000000001,237.853
expt-app-5,10,12.485,7.819,124.85,78.19
expt-app-2,7,1451.393,1346.467,10159.751,9425.269
expt-app-87,8,195.325,128.687,1562.6,1029.496
expt-app-93,3,600.029,513.659,1800.087,1540.9769999999999
expt-app-98,3,325.66499999999996,259.558,976.9949999999999,778.674
expt-app-82,8,1160.076,1155.734,9280.608,9245.872
expt-app-50,6,858.927,792.994,5153.562,4757.964
expt-app-26,5,2040.9299999999998,1914.0,10204.65,9570.0
expt-app-70,7,239.287,173.329,1675.009,1213.303
expt-app-12,10,182.85899999999998,115.741,1828.5899999999997,1157.41
expt-app-28,7,274.58900000000006,208.695,1922.1230000000005,1460.865
expt-app-24,5,826.639,748.164,4133.195,3740.8199999999997
expt-app-37,10,157.815,22.537,1578.15,225.37
expt-app-1,8,1341.878,1336.528,10735.024,10692.224
expt-app-95,6,255.574,168.594,1533.444,1011.564
expt-app-94,6,314.278,246.974,1885.6680000000001,1481.844
expt-app-11,4,1017.463,950.761,4069.852,3803.044
expt-app-25,9,228.603,100.461,2057.427,904.149
expt-app-41,9,234.942,230.397,2114.478,2073.573
expt-app-60,7,720.0649999999999,654.024,5040.455,4578.168
expt-app-52,5,454.815,382.516,2274.075,1912.5800000000002
expt-app-51,4,274.147,207.773,1096.588,831.092
expt-app-88,9,231.26,223.881,2081.34,2014.929
