app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-34,2,1339.364,1203.925,2678.728,2407.85
expt-app-25,10,65.62,13.19,656.2,131.9
expt-app-5,6,706.135,556.633,4236.8099999999995,3339.7980000000002
expt-app-22,1,2543.275,2393.798,2543.275,2393.798
expt-app-44,9,504.84700000000004,383.829,4543.6230000000005,3454.4610000000002
expt-app-28,10,167.698,33.103,1676.98,331.03000000000003
expt-app-17,3,824.032,818.745,2472.096,2456.235
expt-app-54,2,3943.59,3856.56,7887.18,7713.12
expt-app-82,5,192.726,113.83,963.63,569.15
expt-app-49,10,181.999,47.184,1819.99,471.84
expt-app-50,6,561.5369999999999,440.484,3369.2219999999998,2642.904
expt-app-29,8,208.676,87.55,1669.408,700.4
expt-app-94,10,175.28199999999998,17.791,1752.8199999999997,177.91
expt-app-16,6,277.663,265.773,1665.978,1594.6380000000001
expt-app-10,8,466.293,379.814,3730.344,3038.512
expt-app-1,3,1019.4240000000001,876.285,3058.2720000000004,2628.855
expt-app-31,3,1913.686,1792.556,5741.058,5377.668
expt-app-21,10,207.833,61.848,2078.33,618.48
expt-app-43,6,269.902,164.546,1619.4119999999998,987.276
expt-app-19,1,993.896,914.834,993.896,914.834
expt-app-68,9,419.65200000000004,277.791,3776.8680000000004,2500.119
expt-app-11,1,1078.4769999999999,1073.397,1078.4769999999999,1073.397
expt-app-91,4,674.177,594.278,2696.708,2377.112
expt-app-14,4,1015.088,935.589,4060.352,3742.356
expt-app-93,3,2530.316,2516.174,7590.947999999999,7548.522
expt-app-36,4,1218.1280000000002,1139.346,4872.512000000001,4557.384
expt-app-64,5,1101.847,1022.772,5509.235,5113.860000000001
expt-app-30,8,700.189,550.243,5601.512,4401.944
expt-app-26,5,872.786,805.16,4363.929999999999,4025.7999999999997
expt-app-58,4,620.974,471.566,2483.896,1886.264
expt-app-83,8,378.777,299.749,3030.216,2397.992
expt-app-75,10,147.426,26.806,1474.2599999999998,268.06
expt-app-72,4,1818.815,1697.975,7275.26,6791.9
expt-app-3,9,375.839,297.117,3382.551,2674.0530000000003
expt-app-41,9,163.112,42.29,1468.008,380.61
expt-app-66,9,723.14,602.436,6508.26,5421.924
expt-app-87,4,685.016,608.339,2740.064,2433.356
expt-app-96,8,66.993,14.256,535.944,114.048
expt-app-79,3,2327.2529999999997,2191.693,6981.758999999999,6575.079000000001
expt-app-45,7,1131.773,967.207,7922.410999999999,6770.449
expt-app-69,7,740.7439999999999,735.543,5185.208,5148.801
expt-app-63,8,445.791,440.745,3566.328,3525.96
expt-app-86,1,2697.9,2625.292,2697.9,2625.292
expt-app-33,5,549.12,470.535,2745.6,2352.675
expt-app-27,5,373.668,225.135,1868.3400000000001,1125.675
expt-app-84,9,146.898,80.017,1322.0819999999999,720.153
expt-app-81,7,502.529,416.422,3517.703,2914.954
expt-app-6,6,503.28,368.345,3019.68,2210.07
expt-app-0,5,973.489,837.893,4867.445,4189.465
expt-app-56,10,123.075,34.992,1230.75,349.91999999999996
expt-app-18,7,354.454,287.173,2481.178,2010.211
expt-app-9,2,2460.6710000000003,2339.526,4921.342000000001,4679.052
expt-app-12,7,592.967,452.59,4150.769,3168.1299999999997
expt-app-52,6,401.139,334.14,2406.834,2004.84
expt-app-71,6,441.481,362.416,2648.886,2174.496
expt-app-80,9,370.561,265.616,3335.049,2390.544
expt-app-60,10,96.053,17.62,960.53,176.20000000000002
expt-app-95,8,29.695,19.058,237.56,152.464
expt-app-46,4,1489.325,1368.748,5957.3,5474.992
expt-app-24,5,694.297,688.681,3471.485,3443.405
expt-app-89,5,563.703,452.003,2818.515,2260.015
expt-app-61,2,963.689,896.93,1927.378,1793.86
expt-app-97,6,123.49000000000001,71.364,740.94,428.184
expt-app-20,3,553.6419999999999,448.993,1660.926,1346.979
expt-app-73,9,293.124,226.496,2638.116,2038.4640000000002
expt-app-48,1,1494.5040000000001,1351.147,1494.5040000000001,1351.147
expt-app-62,8,262.96500000000003,195.508,2103.7200000000003,1564.064
expt-app-51,3,666.184,561.576,1998.552,1684.728
expt-app-37,5,1031.0220000000002,1025.804,5155.110000000001,5129.02
expt-app-57,4,438.087,432.903,1752.348,1731.612
expt-app-42,9,118.473,32.876,1066.257,295.88399999999996
expt-app-90,3,2895.1980000000003,2759.213,8685.594000000001,8277.639000000001
expt-app-92,6,535.397,412.965,3212.3820000000005,2477.79
expt-app-88,9,125.68299999999999,20.264,1131.147,182.376
expt-app-78,2,1719.8310000000001,1607.0,3439.6620000000003,3214.0
expt-app-65,9,104.024,19.947,936.216,179.523
expt-app-59,7,215.92700000000002,163.246,1511.489,1142.722
expt-app-13,6,472.563,352.139,2835.3779999999997,2112.834
expt-app-77,9,267.992,163.541,2411.9280000000003,1471.869
