app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-16,6,279.727,268.226,1678.3619999999999,1609.356
expt-app-61,2,952.558,885.092,1905.116,1770.184
expt-app-45,7,1032.553,911.763,7227.871000000001,6382.341
expt-app-56,10,112.75399999999999,33.925,1127.54,339.25
expt-app-90,3,2886.053,2749.649,8658.159,8248.947
expt-app-84,9,146.254,79.805,1316.2859999999998,718.2450000000001
expt-app-65,9,106.408,19.748,957.672,177.732
expt-app-60,10,100.661,22.402,1006.61,224.02
expt-app-0,5,971.341,834.935,4856.705,4174.674999999999
expt-app-57,4,445.662,432.922,1782.648,1731.688
expt-app-11,1,1069.444,1064.324,1069.444,1064.324
expt-app-59,7,226.654,174.265,1586.578,1219.855
expt-app-80,9,365.057,259.871,3285.513,2338.839
expt-app-43,6,271.594,167.195,1629.5639999999999,1003.17
expt-app-75,10,146.976,26.843,1469.76,268.43
expt-app-93,3,2561.495,2555.922,7684.485,7667.766
expt-app-33,5,552.9889999999999,465.037,2764.9449999999997,2325.185
expt-app-12,7,663.295,527.118,4643.065,3689.8260000000005
expt-app-82,5,191.278,112.626,956.39,563.13
expt-app-68,9,411.031,275.795,3699.279,2482.155
expt-app-24,5,641.0519999999999,628.649,3205.2599999999993,3143.245
expt-app-72,4,1740.1390000000001,1619.627,6960.5560000000005,6478.508
expt-app-22,1,2453.1800000000003,2295.771,2453.1800000000003,2295.771
expt-app-51,3,731.091,625.626,2193.273,1876.878
expt-app-30,8,670.986,522.407,5367.888,4179.256
expt-app-27,5,372.349,224.017,1861.745,1120.085
expt-app-96,8,71.938,19.267,575.504,154.136
expt-app-37,5,1011.2209999999999,1006.557,5056.105,5032.785
expt-app-13,6,494.089,353.116,2964.534,2118.696
expt-app-97,6,121.266,68.575,727.596,411.45000000000005
expt-app-9,2,2384.103,2263.133,4768.206,4526.266
expt-app-36,4,1069.4969999999998,990.969,4277.987999999999,3963.876
expt-app-1,3,1045.3809999999999,902.288,3136.1429999999996,2706.864
expt-app-86,1,2564.116,2496.755,2564.116,2496.755
expt-app-64,5,1052.758,974.164,5263.79,4870.82
expt-app-17,3,750.807,746.527,2252.4210000000003,2239.581
expt-app-66,9,723.9069999999999,602.439,6515.163,5421.951
expt-app-46,4,1506.585,1386.129,6026.34,5544.516
expt-app-54,2,3636.256,3548.233,7272.512,7096.466
expt-app-10,8,368.97400000000005,290.412,2951.7920000000004,2323.296
expt-app-71,6,440.826,361.722,2644.956,2170.332
expt-app-94,10,165.791,17.053,1657.9099999999999,170.53
expt-app-88,9,125.58800000000001,20.826,1130.2920000000001,187.434
expt-app-42,9,110.988,32.755,998.892,294.795
expt-app-28,10,174.07500000000002,32.83,1740.7500000000002,328.29999999999995
expt-app-83,8,378.227,299.593,3025.816,2396.744
expt-app-49,10,178.632,43.169,1786.3200000000002,431.68999999999994
expt-app-18,7,428.52099999999996,361.985,2999.647,2533.895
expt-app-78,2,1762.726,1657.794,3525.452,3315.588
expt-app-20,3,570.342,458.763,1711.0259999999998,1376.289
expt-app-58,4,594.232,436.798,2376.928,1747.192
expt-app-81,7,439.232,360.17,3074.6240000000003,2521.19
expt-app-5,6,716.2180000000001,566.878,4297.308000000001,3401.268
expt-app-63,8,446.978,442.601,3575.824,3540.808
expt-app-31,3,1857.656,1736.733,5572.968,5210.199
expt-app-41,9,163.206,42.201,1468.8539999999998,379.809
expt-app-14,4,1045.37,961.268,4181.48,3845.072
expt-app-44,9,425.479,287.449,3829.3109999999997,2587.041
expt-app-21,10,174.71800000000002,39.737,1747.1800000000003,397.37
expt-app-34,2,1303.049,1167.847,2606.098,2335.694
expt-app-50,6,555.8290000000001,435.241,3334.974,2611.446
expt-app-25,10,76.00500000000001,14.449,760.0500000000001,144.49
expt-app-6,6,509.552,374.234,3057.312,2245.404
expt-app-62,8,264.09,196.66,2112.72,1573.28
expt-app-87,4,775.694,710.092,3102.776,2840.368
expt-app-77,9,265.866,153.51,2392.794,1381.59
expt-app-26,5,823.481,755.978,4117.405,3779.89
expt-app-95,8,31.997999999999998,27.054,255.98399999999998,216.432
expt-app-89,5,546.855,441.589,2734.275,2207.945
expt-app-19,1,1001.933,915.192,1001.933,915.192
expt-app-48,1,1480.307,1344.537,1480.307,1344.537
expt-app-29,8,207.288,87.064,1658.304,696.512
expt-app-79,3,2208.2039999999997,2072.584,6624.611999999999,6217.7519999999995
expt-app-69,7,743.45,738.453,5204.150000000001,5169.171
expt-app-92,6,518.97,407.837,3113.82,2447.022
expt-app-91,4,669.717,591.131,2678.868,2364.524
expt-app-52,6,408.324,339.525,2449.944,2037.1499999999999
expt-app-3,9,377.238,297.449,3395.142,2677.041
expt-app-73,9,306.361,230.599,2757.249,2075.391
