app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-64,5,1187.4830000000002,1112.182,5937.415000000001,5560.91
expt-app-57,4,242.036,168.053,968.144,672.212
expt-app-60,10,26.401999999999997,21.974,264.02,219.74
expt-app-51,3,584.336,516.999,1753.008,1550.997
expt-app-52,6,894.747,828.209,5368.482,4969.254
expt-app-18,7,575.438,471.437,4028.066,3300.059
expt-app-21,10,173.99800000000002,38.822,1739.9800000000002,388.22
expt-app-42,9,112.62700000000001,32.623,1013.643,293.60699999999997
expt-app-92,6,467.16600000000005,346.684,2802.996,2080.1040000000003
expt-app-59,7,251.469,109.077,1760.283,763.539
expt-app-0,5,607.2370000000001,486.556,3036.1850000000004,2432.7799999999997
expt-app-4,2,866.577,852.178,1733.154,1704.356
expt-app-11,1,653.44,649.648,653.44,649.648
expt-app-34,2,988.9639999999999,922.233,1977.9279999999999,1844.466
expt-app-80,9,201.18,134.494,1810.6200000000001,1210.446
expt-app-81,7,355.86699999999996,281.185,2491.0689999999995,1968.295
expt-app-87,4,735.995,657.634,2943.98,2630.536
expt-app-8,1,2148.654,2028.293,2148.654,2028.293
expt-app-29,8,154.10399999999998,87.586,1232.8319999999999,700.688
expt-app-58,4,276.09099999999995,209.905,1104.3639999999998,839.62
expt-app-75,10,101.919,27.04,1019.1899999999999,270.4
expt-app-12,7,414.896,310.922,2904.272,2176.454
expt-app-50,6,372.14000000000004,319.607,2232.84,1917.6420000000003
expt-app-73,9,246.23600000000002,111.582,2216.1240000000003,1004.2379999999999
expt-app-25,10,165.821,21.708,1658.21,217.07999999999998
expt-app-82,5,191.436,112.369,957.1800000000001,561.845
expt-app-79,3,2100.9570000000003,2088.52,6302.871000000001,6265.5599999999995
expt-app-5,6,388.40000000000003,382.535,2330.4,2295.21
expt-app-66,9,472.066,366.42,4248.594,3297.78
expt-app-88,9,127.76399999999998,7.031,1149.8759999999997,63.278999999999996
expt-app-16,6,280.846,229.075,1685.076,1374.4499999999998
expt-app-48,1,936.163,860.251,936.163,860.251
expt-app-10,8,283.569,205.355,2268.552,1642.84
expt-app-44,9,346.637,279.628,3119.733,2516.652
expt-app-30,8,391.92900000000003,325.313,3135.4320000000002,2602.504
expt-app-74,3,752.8620000000001,747.116,2258.5860000000002,2241.348
expt-app-46,4,988.129,902.389,3952.516,3609.556
expt-app-96,8,104.316,25.465,834.528,203.72
expt-app-61,2,800.616,796.299,1601.232,1592.598
expt-app-94,10,110.39699999999999,58.092,1103.9699999999998,580.92
expt-app-45,7,761.302,673.699,5329.1140000000005,4715.893
expt-app-17,3,849.288,843.362,2547.864,2530.086
expt-app-6,6,315.986,249.384,1895.916,1496.3039999999999
expt-app-33,5,529.321,424.196,2646.605,2120.98
expt-app-14,4,1149.84,1021.544,4599.36,4086.176
expt-app-71,6,482.814,378.233,2896.884,2269.398
expt-app-23,2,1394.8419999999999,1273.677,2789.6839999999997,2547.354
expt-app-65,9,98.589,19.802,887.3009999999999,178.218
expt-app-56,10,252.89000000000001,122.342,2528.9,1223.42
expt-app-91,4,435.17499999999995,357.119,1740.6999999999998,1428.476
expt-app-63,8,249.665,197.384,1997.32,1579.072
expt-app-28,10,127.684,55.634,1276.84,556.34
expt-app-43,6,208.85899999999998,142.384,1253.154,854.3039999999999
expt-app-20,3,648.6840000000001,572.072,1946.0520000000001,1716.216
expt-app-78,2,1141.585,1062.266,2283.17,2124.532
expt-app-9,2,1435.284,1376.982,2870.568,2753.964
expt-app-22,1,1551.325,1545.998,1551.325,1545.998
expt-app-98,1,2096.588,1975.375,2096.588,1975.375
expt-app-86,1,1616.62,1495.583,1616.62,1495.583
expt-app-83,8,336.92699999999996,232.892,2695.4159999999997,1863.136
expt-app-19,1,532.337,527.543,532.337,527.543
expt-app-84,9,219.61700000000002,84.124,1976.553,757.116
expt-app-90,3,2278.277,2152.11,6834.831,6456.33
expt-app-36,4,978.837,974.416,3915.348,3897.664
expt-app-24,5,481.567,403.175,2407.835,2015.875
expt-app-77,9,131.12199999999999,52.722,1180.098,474.498
expt-app-89,5,653.375,575.181,3266.875,2875.905
expt-app-54,2,2349.568,2275.178,4699.136,4550.356
expt-app-69,7,479.922,413.538,3359.454,2894.766
expt-app-95,8,127.083,23.253,1016.664,186.024
expt-app-13,6,442.41700000000003,375.632,2654.5020000000004,2253.792
expt-app-97,6,189.99699999999999,104.718,1139.982,628.308
expt-app-41,9,148.02599999999998,35.74,1332.234,321.66
expt-app-68,9,239.814,186.714,2158.326,1680.426
expt-app-1,3,623.9409999999999,545.238,1871.8229999999999,1635.7140000000002
expt-app-27,5,77.738,74.491,388.69,372.455
expt-app-3,9,176.80499999999998,124.466,1591.245,1120.194
expt-app-37,5,962.5369999999999,857.765,4812.6849999999995,4288.825
expt-app-49,10,50.179,46.786,501.79,467.86
