app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-42,9,118.062,32.815,1062.558,295.335
expt-app-24,5,450.464,371.338,2252.32,1856.69
expt-app-59,7,292.253,157.635,2045.771,1103.445
expt-app-11,1,675.847,671.74,675.847,671.74
expt-app-28,10,131.239,55.944,1312.39,559.44
expt-app-73,9,264.96999999999997,129.469,2384.7299999999996,1165.221
expt-app-88,9,128.203,6.465,1153.827,58.185
expt-app-79,3,2192.145,2187.051,6576.4349999999995,6561.153
expt-app-44,9,379.594,305.777,3416.346,2751.993
expt-app-18,7,595.9179999999999,251.276,4171.4259999999995,1758.932
expt-app-14,4,1142.639,1020.997,4570.556,4083.988
expt-app-51,3,779.2750000000001,703.461,2337.8250000000003,2110.383
expt-app-33,5,595.1260000000001,489.708,2975.6300000000006,2448.54
expt-app-89,5,570.423,491.004,2852.115,2455.02
expt-app-3,9,174.018,122.056,1566.162,1098.504
expt-app-65,9,106.905,20.043,962.145,180.387
expt-app-9,2,1359.183,1306.843,2718.366,2613.686
expt-app-90,3,2660.822,2540.077,7982.466,7620.231000000001
expt-app-34,2,937.6640000000001,870.167,1875.3280000000002,1740.334
expt-app-56,10,203.09099999999998,74.96,2030.9099999999999,749.5999999999999
expt-app-22,1,1598.318,1593.516,1598.318,1593.516
expt-app-13,6,485.907,419.431,2915.442,2516.586
expt-app-86,1,1623.343,1495.269,1623.343,1495.269
expt-app-50,6,308.154,247.701,1848.924,1486.206
expt-app-87,4,661.464,582.162,2645.856,2328.648
expt-app-64,5,1170.8719999999998,1104.56,5854.359999999999,5522.799999999999
expt-app-84,9,226.354,83.974,2037.1860000000001,755.7660000000001
expt-app-27,5,76.76299999999999,73.299,383.81499999999994,366.495
expt-app-48,1,971.807,904.698,971.807,904.698
expt-app-5,6,388.953,383.553,2333.718,2301.318
expt-app-91,4,468.136,388.89,1872.544,1555.56
expt-app-46,4,966.263,886.939,3865.052,3547.756
expt-app-94,10,113.47699999999999,62.117,1134.77,621.17
expt-app-66,9,394.98299999999995,290.207,3554.8469999999998,2611.863
expt-app-83,8,317.759,206.018,2542.072,1648.144
expt-app-58,4,275.41900000000004,208.465,1101.6760000000002,833.86
expt-app-61,2,730.106,725.482,1460.212,1450.964
expt-app-75,10,92.517,26.792,925.17,267.92
expt-app-95,8,130.956,26.536,1047.648,212.288
expt-app-78,2,1262.601,1183.828,2525.202,2367.656
expt-app-36,4,1317.2710000000002,1312.952,5269.084000000001,5251.808
expt-app-20,3,501.158,425.911,1503.4740000000002,1277.733
expt-app-77,9,131.42000000000002,53.047,1182.7800000000002,477.423
expt-app-60,10,34.351,23.077,343.51,230.77
expt-app-68,9,156.803,104.765,1411.2269999999999,942.885
expt-app-6,6,242.729,176.288,1456.374,1057.728
expt-app-54,2,2354.931,2287.617,4709.862,4575.234
expt-app-43,6,210.698,143.674,1264.188,862.0440000000001
expt-app-69,7,453.575,381.256,3175.025,2668.792
expt-app-63,8,230.737,178.359,1845.896,1426.872
expt-app-17,3,1296.4640000000002,1291.49,3889.3920000000007,3874.4700000000003
expt-app-81,7,359.33500000000004,292.029,2515.3450000000003,2044.203
expt-app-41,9,141.88600000000002,36.769,1276.9740000000002,330.921
expt-app-21,10,210.34900000000002,64.75,2103.4900000000002,647.5
expt-app-37,5,1414.952,1310.679,7074.76,6553.395
expt-app-45,7,851.716,772.673,5962.012,5408.711
expt-app-1,3,555.333,469.41,1665.9989999999998,1408.23
expt-app-4,2,660.716,656.207,1321.432,1312.414
expt-app-25,10,159.62599999999998,23.717,1596.2599999999998,237.17
expt-app-0,5,622.8399999999999,501.823,3114.2,2509.115
expt-app-52,6,541.172,467.85,3247.032,2807.1000000000004
expt-app-19,1,540.566,535.657,540.566,535.657
expt-app-49,10,50.772999999999996,46.406,507.72999999999996,464.06
expt-app-16,6,309.00899999999996,256.303,1854.0539999999996,1537.818
expt-app-98,1,2360.578,2230.626,2360.578,2230.626
expt-app-82,5,216.032,136.853,1080.16,684.2650000000001
expt-app-29,8,153.292,87.241,1226.336,697.928
expt-app-96,8,104.673,25.842,837.384,206.736
expt-app-8,1,2088.664,1968.291,2088.664,1968.291
expt-app-74,3,719.1619999999999,707.355,2157.486,2122.065
expt-app-12,7,636.5070000000001,531.449,4455.549000000001,3720.1429999999996
expt-app-30,8,389.151,322.629,3113.208,2581.032
expt-app-57,4,230.787,164.124,923.148,656.496
expt-app-92,6,539.7239999999999,409.091,3238.3439999999996,2454.5460000000003
expt-app-10,8,345.48699999999997,266.226,2763.8959999999997,2129.808
expt-app-71,6,380.91700000000003,276.33,2285.5020000000004,1657.98
expt-app-23,2,1384.3970000000002,1263.215,2768.7940000000003,2526.43
expt-app-97,6,200.69799999999998,121.597,1204.1879999999999,729.582
expt-app-80,9,200.556,133.674,1805.0040000000001,1203.066
