app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-71,3,2438.0480000000002,2358.7,7314.144,7076.099999999999
expt-app-30,6,1081.825,976.628,6490.950000000001,5859.768
expt-app-7,8,571.013,457.431,4568.104,3659.448
expt-app-82,2,966.665,899.62,1933.33,1799.24
expt-app-8,5,2113.1980000000003,1977.087,10565.990000000002,9885.435
expt-app-2,5,1117.154,1056.462,5585.77,5282.3099999999995
expt-app-88,4,838.0889999999999,733.332,3352.3559999999998,2933.328
expt-app-9,9,173.7,52.918,1563.3,476.262
expt-app-47,8,335.296,229.412,2682.368,1835.296
expt-app-40,8,509.961,404.982,4079.688,3239.856
expt-app-18,9,331.154,272.648,2980.386,2453.8320000000003
expt-app-58,10,145.338,140.82,1453.3799999999999,1408.1999999999998
expt-app-83,9,184.62300000000002,105.652,1661.6070000000002,950.868
expt-app-68,9,65.747,13.487,591.723,121.383
expt-app-67,4,1283.4509999999998,1278.93,5133.803999999999,5115.72
expt-app-46,9,310.651,297.361,2795.859,2676.249
expt-app-16,6,1882.199,1829.559,11293.194,10977.354
expt-app-59,7,1035.1809999999998,913.948,7246.266999999999,6397.6359999999995
expt-app-35,8,243.41299999999998,165.315,1947.3039999999999,1322.52
expt-app-50,8,488.01,411.413,3904.08,3291.304
expt-app-78,4,915.947,836.744,3663.788,3346.976
expt-app-90,8,639.2719999999999,518.021,5114.1759999999995,4144.168
expt-app-87,7,537.0749999999999,452.68,3759.5249999999996,3168.76
expt-app-64,9,280.945,154.138,2528.505,1387.242
expt-app-25,6,1629.93,1486.281,9779.58,8917.686
expt-app-85,5,2319.7549999999997,2198.905,11598.774999999998,10994.525000000001
expt-app-69,10,623.038,477.771,6230.38,4777.71
expt-app-10,8,835.948,760.301,6687.584,6082.408
expt-app-22,10,97.03,44.685,970.3,446.85
expt-app-12,10,681.62,545.488,6816.2,5454.880000000001
expt-app-45,6,1779.134,1702.288,10674.804,10213.728
expt-app-4,10,42.277,26.512,422.77,265.12
expt-app-56,10,491.41,354.71,4914.1,3547.1
expt-app-23,7,1861.277,1725.367,13028.939,12077.569
expt-app-75,10,128.0,16.966,1280.0,169.66000000000003
expt-app-1,4,1159.357,1028.859,4637.428,4115.436
expt-app-97,7,804.097,667.149,5628.679,4670.043
expt-app-11,8,762.1759999999999,757.072,6097.407999999999,6056.576
expt-app-37,8,290.802,222.671,2326.416,1781.368
expt-app-70,9,394.23,379.561,3548.07,3416.049
expt-app-73,10,159.31500000000003,71.41,1593.1500000000003,714.0999999999999
expt-app-57,5,2246.6499999999996,2125.617,11233.249999999998,10628.085000000001
expt-app-77,10,127.24499999999999,48.357,1272.4499999999998,483.57
expt-app-6,4,943.0269999999999,875.315,3772.1079999999997,3501.26
expt-app-80,9,387.903,247.396,3491.1270000000004,2226.564
expt-app-36,9,364.438,220.997,3279.942,1988.9730000000002
expt-app-29,1,1193.465,1141.436,1193.465,1141.436
expt-app-94,7,711.082,632.235,4977.574,4425.645
expt-app-98,4,1000.099,887.108,4000.396,3548.432
