app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-8,5,2099.334,1963.636,10496.669999999998,9818.18
expt-app-87,7,470.154,390.756,3291.078,2735.292
expt-app-7,8,573.9870000000001,468.202,4591.896000000001,3745.616
expt-app-58,10,225.78,220.622,2257.8,2206.2200000000003
expt-app-69,10,650.918,515.022,6509.18,5150.22
expt-app-59,7,1069.607,941.789,7487.249,6592.523
expt-app-37,8,287.66999999999996,221.065,2301.3599999999997,1768.52
expt-app-2,5,1020.1569999999999,967.346,5100.785,4836.73
expt-app-1,4,1153.491,1032.343,4613.964,4129.372
expt-app-47,8,331.494,227.026,2651.952,1816.208
expt-app-75,10,128.357,16.436,1283.57,164.36
expt-app-90,8,636.1980000000001,515.013,5089.584000000001,4120.104
expt-app-9,9,156.131,35.077,1405.179,315.693
expt-app-35,8,249.93,165.656,1999.44,1325.248
expt-app-10,8,778.55,711.713,6228.4,5693.704
expt-app-64,9,273.036,143.44,2457.324,1290.96
expt-app-23,7,1777.197,1633.99,12440.378999999999,11437.93
expt-app-98,4,919.187,805.125,3676.748,3220.5
expt-app-77,10,135.803,48.127,1358.03,481.27000000000004
expt-app-67,4,1314.88,1309.538,5259.52,5238.152
expt-app-11,8,757.8009999999999,753.039,6062.407999999999,6024.312
expt-app-50,8,422.303,349.553,3378.424,2796.424
expt-app-25,6,1477.289,1332.374,8863.734,7994.244000000001
expt-app-70,9,420.94399999999996,408.678,3788.4959999999996,3678.102
expt-app-40,8,457.568,352.869,3660.544,2822.952
expt-app-73,10,150.21200000000002,71.167,1502.1200000000001,711.6700000000001
expt-app-97,7,869.482,727.487,6086.374,5092.409
expt-app-57,5,2329.1620000000003,2199.411,11645.810000000001,10997.055
expt-app-29,1,1227.4160000000002,1173.033,1227.4160000000002,1173.033
expt-app-88,4,839.9839999999999,734.643,3359.9359999999997,2938.572
expt-app-71,3,2449.261,2362.64,7347.782999999999,7087.92
expt-app-6,4,880.6650000000001,814.175,3522.6600000000003,3256.7
expt-app-83,9,185.993,106.641,1673.937,959.769
expt-app-30,6,1148.424,1042.692,6890.544,6256.152
expt-app-12,10,711.0849999999999,567.747,7110.849999999999,5677.469999999999
expt-app-94,7,801.2909999999999,722.4,5609.036999999999,5056.8
expt-app-46,9,331.873,326.807,2986.857,2941.263
expt-app-68,9,73.864,14.732,664.7760000000001,132.588
expt-app-36,9,361.177,218.94,3250.5930000000003,1970.46
expt-app-45,6,1536.462,1469.826,9218.772,8818.956
expt-app-78,4,932.101,852.868,3728.404,3411.472
expt-app-85,5,2298.161,2177.297,11490.805,10886.485
expt-app-82,2,939.508,872.266,1879.016,1744.532
expt-app-80,9,381.71500000000003,246.046,3435.4350000000004,2214.4139999999998
expt-app-56,10,383.732,253.468,3837.32,2534.68
expt-app-18,9,279.203,227.688,2512.8269999999998,2049.192
expt-app-4,10,42.193,31.002,421.92999999999995,310.02
expt-app-16,6,1904.075,1850.62,11424.45,11103.72
expt-app-22,10,199.625,101.17,1996.25,1011.7
