app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-6,4,1028.8809999999999,893.314,4115.523999999999,3573.256
expt-app-80,9,220.12699999999998,153.598,1981.1429999999998,1382.382
expt-app-10,8,1439.061,1334.184,11512.488,10673.472
expt-app-18,9,707.785,558.53,6370.065,5026.7699999999995
expt-app-40,8,793.932,679.108,6351.456,5432.864
expt-app-90,8,293.3,225.894,2346.4,1807.152
expt-app-30,6,796.7370000000001,660.916,4780.4220000000005,3965.496
expt-app-11,8,1446.8719999999998,1373.057,11574.975999999999,10984.456
expt-app-98,4,1171.337,1084.036,4685.348,4336.144
expt-app-25,6,1584.314,1508.037,9505.884,9048.222
expt-app-59,7,1294.1480000000001,1172.115,9059.036,8204.805
expt-app-85,5,3142.891,3037.0,15714.455,15185.0
expt-app-35,8,329.825,198.171,2638.6,1585.368
expt-app-88,4,778.8530000000001,657.85,3115.4120000000003,2631.4
expt-app-78,4,1067.985,1053.799,4271.94,4215.196
expt-app-50,8,811.218,731.767,6489.744,5854.136
expt-app-86,5,848.2650000000001,843.562,4241.325000000001,4217.81
expt-app-9,9,108.569,19.942,977.121,179.478
expt-app-56,10,385.109,249.716,3851.0899999999997,2497.16
expt-app-4,10,137.44,23.718,1374.4,237.18
expt-app-67,4,1290.9630000000002,1211.165,5163.852000000001,4844.66
expt-app-87,7,359.241,306.425,2514.687,2144.975
expt-app-69,10,532.156,445.414,5321.5599999999995,4454.139999999999
expt-app-22,10,195.095,39.509,1950.95,395.09000000000003
expt-app-46,9,437.03999999999996,315.332,3933.3599999999997,2837.988
expt-app-75,10,125.21799999999999,9.152,1252.1799999999998,91.52
expt-app-97,7,914.034,836.97,6398.238,5858.79
expt-app-70,9,741.808,680.773,6676.272,6126.957
expt-app-57,5,2166.4759999999997,2152.375,10832.379999999997,10761.875
expt-app-73,10,138.436,70.994,1384.3600000000001,709.94
expt-app-47,8,352.968,217.782,2823.744,1742.256
expt-app-29,1,1324.465,1271.913,1324.465,1271.913
expt-app-45,6,1635.3709999999999,1529.789,9812.225999999999,9178.734
expt-app-82,2,1136.299,1121.749,2272.598,2243.498
expt-app-64,9,225.601,159.028,2030.409,1431.252
expt-app-1,4,1202.8509999999999,1139.567,4811.4039999999995,4558.268
expt-app-68,9,106.972,2.052,962.7479999999999,18.468
expt-app-77,10,127.78500000000001,48.123,1277.8500000000001,481.22999999999996
expt-app-2,5,1432.032,1326.459,7160.16,6632.295
expt-app-8,5,3121.028,3014.998,15605.14,15074.99
expt-app-83,9,167.12099999999998,100.355,1504.089,903.195
expt-app-58,10,386.415,257.319,3864.15,2573.19
expt-app-7,8,689.141,544.656,5513.128,4357.248
expt-app-12,10,588.424,521.307,5884.24,5213.07
expt-app-16,6,2767.727,2619.017,16606.362,15714.101999999999
expt-app-23,7,2360.783,2239.391,16525.481,15675.737000000001
expt-app-36,9,324.181,202.847,2917.629,1825.623
expt-app-37,8,512.774,507.534,4102.192,4060.272
expt-app-94,7,851.143,776.078,5958.001,5432.546
