app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-58,10,216.912,138.282,2169.12,1382.8200000000002
expt-app-29,1,507.71599999999995,440.016,507.71599999999995,440.016
expt-app-1,4,489.654,422.666,1958.616,1690.664
expt-app-45,6,1079.7730000000001,974.363,6478.638000000001,5846.178
expt-app-7,8,331.03900000000004,318.021,2648.3120000000004,2544.168
expt-app-22,10,122.45599999999999,34.755,1224.56,347.55
expt-app-40,8,438.444,309.866,3507.552,2478.928
expt-app-50,8,438.88,296.543,3511.04,2372.344
expt-app-2,5,636.8629999999999,531.442,3184.3149999999996,2657.21
expt-app-64,9,251.75300000000001,184.994,2265.777,1664.946
expt-app-16,6,1738.747,1678.065,10432.482,10068.39
expt-app-12,10,298.331,225.676,2983.3100000000004,2256.7599999999998
expt-app-71,3,1750.3,1628.526,5250.9,4885.578
expt-app-78,4,635.167,548.557,2540.668,2194.228
expt-app-11,8,923.014,788.049,7384.112,6304.392
expt-app-98,4,760.831,625.57,3043.324,2502.28
expt-app-85,5,1745.5400000000002,1687.723,8727.7,8438.615
expt-app-87,7,187.939,175.958,1315.5729999999999,1231.706
expt-app-70,9,227.585,149.424,2048.265,1344.816
expt-app-18,9,170.631,92.58,1535.679,833.22
expt-app-67,4,524.412,457.833,2097.648,1831.332
expt-app-37,8,332.668,205.819,2661.344,1646.552
expt-app-23,7,1348.8029999999999,1343.881,9441.621,9407.167000000001
expt-app-59,7,410.356,405.338,2872.492,2837.366
expt-app-57,5,1405.3210000000001,1300.094,7026.6050000000005,6500.47
expt-app-46,9,328.081,322.77,2952.7290000000003,2904.93
expt-app-83,9,113.579,108.953,1022.2109999999999,980.577
expt-app-4,10,93.516,27.043,935.1600000000001,270.43
expt-app-90,8,385.81100000000004,269.184,3086.4880000000003,2153.472
expt-app-68,9,58.103,5.74,522.927,51.660000000000004
expt-app-97,7,556.902,477.356,3898.3140000000003,3341.492
expt-app-6,4,458.795,385.261,1835.18,1541.044
expt-app-25,6,884.66,809.377,5307.96,4856.262
expt-app-82,2,574.288,500.989,1148.576,1001.978
expt-app-47,8,270.84999999999997,154.954,2166.7999999999997,1239.632
expt-app-88,4,361.85,357.584,1447.4,1430.336
expt-app-9,9,97.53399999999999,30.954,877.8059999999999,278.586
expt-app-75,10,99.205,20.516,992.05,205.15999999999997
expt-app-8,5,1470.4440000000002,1416.919,7352.220000000001,7084.595
expt-app-77,10,149.059,27.949,1490.59,279.49
expt-app-35,8,142.068,63.289,1136.544,506.312
expt-app-69,10,235.54,161.21,2355.4,1612.1000000000001
expt-app-30,6,613.97,508.777,3683.82,3052.662
expt-app-73,10,45.538000000000004,40.689,455.38000000000005,406.89
expt-app-10,8,833.31,690.63,6666.48,5525.04
expt-app-80,9,178.07600000000002,104.995,1602.6840000000002,944.955
expt-app-94,7,495.93,391.255,3471.51,2738.785
expt-app-56,10,281.4,215.154,2814.0,2151.54
expt-app-36,9,116.962,54.848,1052.6580000000001,493.632
