app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-85,5,1308.744,1203.969,6543.719999999999,6019.845
expt-app-7,8,358.516,347.557,2868.128,2780.456
expt-app-90,8,223.26,150.155,1786.08,1201.24
expt-app-67,4,675.899,547.645,2703.596,2190.58
expt-app-18,9,229.406,154.195,2064.654,1387.7549999999999
expt-app-46,9,319.442,215.146,2874.978,1936.3139999999999
expt-app-40,8,295.579,242.382,2364.632,1939.056
expt-app-23,7,1040.916,988.034,7286.411999999999,6916.238
expt-app-9,9,89.267,10.845,803.403,97.605
expt-app-88,4,483.976,362.963,1935.904,1451.852
expt-app-12,10,318.394,239.645,3183.94,2396.4500000000003
expt-app-37,8,264.75399999999996,186.266,2118.0319999999997,1490.128
expt-app-22,10,150.732,65.895,1507.32,658.9499999999999
expt-app-47,8,160.81599999999997,94.082,1286.5279999999998,752.656
expt-app-6,4,523.777,402.701,2095.108,1610.804
expt-app-11,8,526.537,459.227,4212.296,3673.816
expt-app-29,1,693.926,564.282,693.926,564.282
expt-app-75,10,24.828,12.47,248.28,124.7
expt-app-4,10,103.506,26.62,1035.06,266.2
expt-app-83,9,169.47899999999998,64.164,1525.311,577.476
expt-app-56,10,310.977,229.697,3109.7699999999995,2296.9700000000003
expt-app-82,2,554.68,434.835,1109.36,869.67
expt-app-8,5,1357.888,1253.028,6789.44,6265.14
expt-app-36,9,80.496,69.784,724.4639999999999,628.056
expt-app-16,6,1189.3709999999999,1083.633,7136.225999999999,6501.798000000001
expt-app-68,9,15.993,4.257,143.937,38.312999999999995
expt-app-58,10,208.118,131.678,2081.18,1316.78
expt-app-57,5,1059.742,992.277,5298.71,4961.385
expt-app-1,4,659.322,538.122,2637.288,2152.488
expt-app-2,5,633.976,506.437,3169.88,2532.185
expt-app-59,7,435.88300000000004,361.715,3051.1810000000005,2532.0049999999997
expt-app-50,8,231.599,226.35,1852.792,1810.8
expt-app-69,10,250.80599999999998,172.418,2508.06,1724.18
expt-app-80,9,138.817,71.946,1249.353,647.514
expt-app-70,9,218.181,165.396,1963.6290000000001,1488.5639999999999
expt-app-35,8,81.993,70.859,655.944,566.872
expt-app-87,7,219.889,154.07,1539.223,1078.49
expt-app-71,3,1594.082,1450.566,4782.246,4351.698
expt-app-64,9,261.306,146.764,2351.754,1320.8760000000002
expt-app-10,8,607.623,532.641,4860.984,4261.128
expt-app-73,10,123.457,18.298,1234.57,182.98
expt-app-94,7,404.601,319.347,2832.207,2235.429
expt-app-78,4,759.914,624.02,3039.656,2496.08
expt-app-30,6,388.167,321.635,2329.002,1929.81
expt-app-77,10,172.877,29.498,1728.77,294.98
expt-app-97,7,338.613,334.269,2370.291,2339.883
expt-app-45,6,789.818,784.291,4738.907999999999,4705.746
expt-app-25,6,713.68,701.24,4282.08,4207.4400000000005
expt-app-98,4,498.459,493.009,1993.836,1972.036
