app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-68,3,716.996,712.463,2150.988,2137.389
expt-app-14,9,253.11099999999996,147.827,2277.999,1330.443
expt-app-70,10,74.23100000000001,21.478,742.3100000000001,214.78000000000003
expt-app-29,6,419.18,306.368,2515.08,1838.208
expt-app-2,8,280.899,201.34,2247.192,1610.72
expt-app-36,7,336.98,209.493,2358.86,1466.451
expt-app-54,8,332.769,327.726,2662.152,2621.808
expt-app-99,10,103.953,36.814,1039.53,368.14
expt-app-94,9,160.31,154.817,1442.79,1393.353
expt-app-1,10,134.61,22.546,1346.1000000000001,225.45999999999998
expt-app-16,10,96.999,18.178,969.99,181.78
expt-app-28,6,704.8489999999999,563.733,4229.093999999999,3382.3979999999997
expt-app-19,6,984.1339999999999,854.335,5904.803999999999,5126.01
expt-app-42,9,94.444,16.494,849.996,148.446
expt-app-51,6,1075.108,1022.161,6450.647999999999,6132.965999999999
expt-app-81,4,1516.001,1447.955,6064.004,5791.82
expt-app-91,6,773.803,760.005,4642.818,4560.03
expt-app-78,3,524.475,519.164,1573.4250000000002,1557.492
expt-app-35,5,394.532,266.748,1972.6599999999999,1333.74
expt-app-97,10,97.906,18.34,979.0600000000001,183.4
expt-app-64,10,291.449,170.617,2914.4900000000002,1706.1699999999998
expt-app-73,9,285.13899999999995,232.384,2566.2509999999997,2091.4559999999997
expt-app-25,8,833.653,757.505,6669.224,6060.04
expt-app-57,10,22.783,17.48,227.83,174.8
expt-app-92,6,481.01800000000003,359.96,2886.108,2159.7599999999998
expt-app-46,6,774.401,630.914,4646.406,3785.484
expt-app-87,10,110.92200000000001,31.989,1109.22,319.89
expt-app-83,8,767.7270000000001,647.004,6141.816000000001,5176.032
expt-app-56,4,399.227,241.769,1596.908,967.076
expt-app-93,7,247.243,242.591,1730.701,1698.1370000000002
expt-app-45,9,127.877,60.591,1150.893,545.319
expt-app-49,3,581.256,495.293,1743.768,1485.879
expt-app-77,7,510.99399999999997,457.324,3576.9579999999996,3201.268
expt-app-18,9,445.98199999999997,333.669,4013.8379999999997,3003.0209999999997
expt-app-40,9,816.068,673.838,7344.612,6064.5419999999995
expt-app-79,9,244.51700000000002,100.56,2200.6530000000002,905.04
expt-app-12,9,199.793,147.438,1798.1370000000002,1326.942
expt-app-31,8,1090.751,1023.299,8726.008,8186.392
expt-app-88,9,181.472,46.525,1633.248,418.72499999999997
expt-app-47,10,128.87699999999998,15.701,1288.7699999999998,157.01
expt-app-86,9,126.911,21.913,1142.199,197.217
expt-app-74,7,475.068,333.029,3325.4759999999997,2331.203
expt-app-30,9,454.223,318.552,4088.007,2866.9680000000003
expt-app-20,8,166.324,30.683,1330.592,245.464
expt-app-38,10,89.491,4.657,894.91,46.57
expt-app-41,9,577.37,434.174,5196.33,3907.566
