app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-28,6,712.803,577.362,4276.818,3464.1719999999996
expt-app-73,9,304.49199999999996,246.709,2740.428,2220.381
expt-app-54,8,314.75,302.49,2518.0,2419.92
expt-app-36,7,328.601,207.642,2300.207,1453.494
expt-app-45,9,139.606,61.575,1256.454,554.1750000000001
expt-app-1,10,128.473,23.073,1284.73,230.73000000000002
expt-app-51,6,1092.4579999999999,1039.116,6554.748,6234.696
expt-app-12,9,228.358,165.418,2055.222,1488.7620000000002
expt-app-18,9,439.57800000000003,327.627,3956.202,2948.643
expt-app-29,6,394.128,288.92,2364.768,1733.52
expt-app-87,10,118.962,32.0,1189.6200000000001,320.0
expt-app-2,8,280.037,202.27,2240.296,1618.16
expt-app-56,4,397.66400000000004,239.943,1590.6560000000002,959.772
expt-app-30,9,503.413,361.519,4530.717000000001,3253.6710000000003
expt-app-38,10,91.027,4.616,910.27,46.16
expt-app-47,10,119.675,15.361,1196.75,153.61
expt-app-74,7,433.259,297.346,3032.813,2081.422
expt-app-81,4,1609.1789999999999,1542.179,6436.715999999999,6168.716
expt-app-86,9,127.26299999999999,22.529,1145.367,202.761
expt-app-16,10,96.701,18.111,967.01,181.11
expt-app-41,9,567.431,431.665,5106.879000000001,3884.985
expt-app-25,8,804.0730000000001,736.939,6432.584000000001,5895.512
expt-app-49,3,569.457,490.067,1708.371,1470.201
expt-app-92,6,486.41499999999996,359.986,2918.49,2159.916
expt-app-46,6,776.288,631.161,4657.728,3786.9659999999994
expt-app-97,10,97.864,18.366,978.6400000000001,183.66
expt-app-57,10,28.974,17.81,289.74,178.1
expt-app-35,5,394.36199999999997,273.592,1971.81,1367.96
expt-app-68,3,784.715,773.192,2354.145,2319.576
expt-app-64,10,291.315,170.694,2913.15,1706.9399999999998
expt-app-91,6,824.655,812.872,4947.93,4877.232
expt-app-42,9,95.156,16.402,856.404,147.618
expt-app-79,9,233.138,98.651,2098.242,887.8589999999999
expt-app-77,7,508.21000000000004,447.917,3557.4700000000003,3135.419
expt-app-94,9,159.94400000000002,154.067,1439.496,1386.603
expt-app-99,10,104.12100000000001,36.743,1041.21,367.43
expt-app-40,9,819.031,683.424,7371.2789999999995,6150.816
expt-app-20,8,164.399,29.725,1315.192,237.8
expt-app-14,9,279.719,168.19,2517.471,1513.71
expt-app-93,7,248.07000000000002,243.681,1736.4900000000002,1705.767
expt-app-19,6,918.668,797.516,5512.008,4785.096
expt-app-88,9,154.431,19.032,1389.8790000000001,171.288
expt-app-78,3,437.264,424.192,1311.792,1272.576
expt-app-70,10,74.67500000000001,21.905,746.7500000000001,219.05
expt-app-31,8,1002.8729999999999,935.705,8022.9839999999995,7485.64
expt-app-83,8,697.26,567.483,5578.08,4539.864
