app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-79,9,233.428,98.502,2100.852,886.5179999999999
expt-app-51,6,1106.19,1046.504,6637.14,6279.023999999999
expt-app-47,10,119.72,14.991,1197.2,149.91
expt-app-31,8,1091.367,1023.98,8730.936,8191.84
expt-app-93,7,255.94400000000002,250.796,1791.6080000000002,1755.572
expt-app-36,7,338.174,209.575,2367.218,1467.0249999999999
expt-app-92,6,484.272,363.9,2905.632,2183.3999999999996
expt-app-40,9,807.77,672.406,7269.93,6051.6539999999995
expt-app-42,9,95.086,16.337,855.774,147.033
expt-app-38,10,84.063,5.07,840.63,50.7
expt-app-83,8,711.116,589.498,5688.928,4715.984
expt-app-1,10,134.079,21.318,1340.79,213.18
expt-app-81,4,1517.002,1450.021,6068.008,5800.084
expt-app-88,9,154.50900000000001,18.797,1390.5810000000001,169.173
expt-app-56,4,397.694,241.052,1590.776,964.208
expt-app-25,8,824.604,750.163,6596.832,6001.304
expt-app-99,10,103.549,36.779,1035.49,367.79
expt-app-64,10,292.13800000000003,172.008,2921.38,1720.0800000000002
expt-app-94,9,159.002,154.551,1431.018,1390.9589999999998
expt-app-30,9,490.202,346.228,4411.818,3116.052
expt-app-97,10,96.333,18.282,963.3299999999999,182.82
expt-app-12,9,200.856,148.151,1807.704,1333.3590000000002
expt-app-78,3,450.798,446.155,1352.394,1338.465
expt-app-70,10,75.544,22.777,755.4399999999999,227.77
expt-app-29,6,441.09700000000004,336.072,2646.5820000000003,2016.432
expt-app-18,9,450.806,337.595,4057.254,3038.3550000000005
expt-app-86,9,128.299,23.155,1154.691,208.395
expt-app-20,8,166.03,30.202,1328.24,241.616
expt-app-73,9,307.045,247.926,2763.405,2231.334
expt-app-28,6,646.124,503.965,3876.744,3023.79
expt-app-68,3,732.186,727.708,2196.558,2183.124
expt-app-41,9,591.475,448.783,5323.275000000001,4039.047
expt-app-54,8,305.53799999999995,300.298,2444.3039999999996,2402.384
expt-app-49,3,547.027,468.513,1641.0810000000001,1405.539
expt-app-87,10,110.46000000000001,31.718,1104.6000000000001,317.18
expt-app-35,5,412.951,286.706,2064.755,1433.5300000000002
expt-app-91,6,891.441,879.639,5348.646000000001,5277.834
expt-app-74,7,460.762,319.362,3225.334,2235.534
expt-app-45,9,132.819,59.237,1195.3709999999999,533.133
expt-app-2,8,289.30899999999997,202.602,2314.4719999999998,1620.816
expt-app-14,9,299.808,185.532,2698.272,1669.788
expt-app-19,6,916.301,795.28,5497.8060000000005,4771.68
expt-app-16,10,103.20400000000001,18.281,1032.04,182.81
expt-app-57,10,23.982,19.14,239.82,191.4
expt-app-77,7,502.749,448.896,3519.2430000000004,3142.272
expt-app-46,6,817.097,673.272,4902.582,4039.6320000000005
