app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-30,8,76.075,16.844,608.6,134.752
expt-app-37,5,491.076,349.683,2455.38,1748.415
expt-app-4,7,76.946,65.967,538.622,461.769
expt-app-33,10,132.228,27.282,1322.2800000000002,272.82
expt-app-73,10,175.55499999999998,65.201,1755.5499999999997,652.01
expt-app-51,10,166.045,24.233,1660.4499999999998,242.33
expt-app-1,8,160.746,74.962,1285.968,599.696
expt-app-18,9,157.01399999999998,29.162,1413.1259999999997,262.45799999999997
expt-app-54,8,132.30800000000002,27.378,1058.4640000000002,219.024
expt-app-9,8,296.591,217.874,2372.728,1742.992
expt-app-45,10,94.786,20.909,947.86,209.08999999999997
expt-app-15,10,78.452,68.297,784.52,682.97
expt-app-77,8,437.577,295.284,3500.616,2362.272
expt-app-55,6,298.165,212.984,1788.9900000000002,1277.904
expt-app-57,10,108.861,23.289,1088.6100000000001,232.89000000000001
expt-app-41,10,86.96900000000001,76.507,869.69,765.07
expt-app-34,9,200.259,133.895,1802.331,1205.055
expt-app-82,8,182.808,130.527,1462.464,1044.216
expt-app-29,9,320.731,249.337,2886.5789999999997,2244.033
expt-app-68,1,144.912,133.612,144.912,133.612
expt-app-65,10,206.35899999999998,94.665,2063.5899999999997,946.6500000000001
expt-app-21,8,20.368000000000002,9.731,162.94400000000002,77.848
expt-app-52,8,141.029,13.534,1128.232,108.272
