app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-15,10,81.66,69.329,816.5999999999999,693.29
expt-app-77,8,430.603,295.244,3444.824,2361.952
expt-app-4,7,65.828,55.666,460.79600000000005,389.662
expt-app-21,8,24.288,10.816,194.304,86.528
expt-app-30,8,75.914,17.169,607.312,137.352
expt-app-1,8,163.05,74.849,1304.4,598.792
expt-app-52,8,141.202,13.595,1129.616,108.76
expt-app-73,10,169.929,65.33,1699.29,653.3
expt-app-18,9,149.49699999999999,29.233,1345.473,263.097
expt-app-82,8,187.15200000000002,127.492,1497.2160000000001,1019.936
expt-app-29,9,325.061,252.924,2925.549,2276.3160000000003
expt-app-34,9,211.47299999999998,136.632,1903.2569999999998,1229.688
expt-app-51,10,166.696,24.996,1666.96,249.95999999999998
expt-app-37,5,496.159,351.753,2480.795,1758.7649999999999
expt-app-9,8,287.929,208.968,2303.432,1671.744
expt-app-54,8,138.16500000000002,28.599,1105.3200000000002,228.792
expt-app-65,10,203.807,92.142,2038.07,921.42
expt-app-57,10,109.456,23.313,1094.56,233.13
expt-app-41,10,81.41900000000001,77.066,814.19,770.6600000000001
expt-app-33,10,139.427,28.709,1394.27,287.09
expt-app-55,6,303.458,218.148,1820.748,1308.888
expt-app-45,10,97.038,20.984,970.38,209.84000000000003
expt-app-68,1,133.03799999999998,122.612,133.03799999999998,122.612
