app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-70,6,437.56600000000003,358.869,2625.396,2153.214
expt-app-14,5,531.6260000000001,464.954,2658.1300000000006,2324.77
expt-app-22,5,524.109,445.493,2620.545,2227.465
expt-app-44,3,633.244,513.015,1899.732,1539.045
expt-app-95,1,795.9580000000001,652.579,795.9580000000001,652.579
expt-app-71,9,307.226,228.183,2765.034,2053.647
expt-app-21,8,84.821,5.585,678.568,44.68
expt-app-89,5,559.663,492.954,2798.315,2464.77
expt-app-3,3,713.645,654.211,2140.935,1962.633
expt-app-81,3,613.897,493.294,1841.6910000000003,1479.882
expt-app-76,2,713.838,593.074,1427.676,1186.148
expt-app-64,5,159.251,92.791,796.255,463.955
expt-app-65,10,279.349,142.549,2793.49,1425.49
expt-app-37,5,501.981,416.573,2509.9049999999997,2082.865
expt-app-61,9,264.584,160.521,2381.256,1444.6889999999999
expt-app-99,9,199.536,132.815,1795.824,1195.335
expt-app-74,6,370.97200000000004,319.06,2225.8320000000003,1914.3600000000001
expt-app-29,9,315.31,306.076,2837.79,2754.684
expt-app-86,7,525.4029999999999,413.666,3677.8209999999995,2895.662
expt-app-96,2,1390.164,1384.702,2780.328,2769.404
expt-app-32,4,529.2379999999999,461.444,2116.9519999999998,1845.776
expt-app-58,8,292.717,240.98,2341.736,1927.84
expt-app-33,10,96.86200000000001,30.208,968.6200000000001,302.08
expt-app-26,10,283.57,217.093,2835.7,2170.93
expt-app-60,4,483.998,348.845,1935.992,1395.38
expt-app-9,8,378.136,294.454,3025.088,2355.632
expt-app-57,10,96.488,23.813,964.88,238.13
expt-app-79,5,699.718,564.798,3498.5899999999997,2823.99
expt-app-35,4,346.555,341.266,1386.22,1365.064
expt-app-10,6,391.323,324.633,2347.938,1947.7979999999998
expt-app-54,8,96.60199999999999,43.889,772.8159999999999,351.112
expt-app-43,5,352.363,285.957,1761.815,1429.7849999999999
expt-app-72,1,966.083,956.352,966.083,956.352
expt-app-75,6,251.9,185.196,1511.4,1111.176
expt-app-56,1,481.499,402.256,481.499,402.256
expt-app-59,2,1556.201,1489.086,3112.402,2978.172
expt-app-24,5,390.68,317.28,1953.4,1586.3999999999999
expt-app-48,4,772.289,636.951,3089.156,2547.804
expt-app-68,1,300.726,196.462,300.726,196.462
expt-app-34,9,251.639,173.298,2264.751,1559.682
expt-app-19,8,344.203,234.151,2753.624,1873.208
expt-app-41,10,191.128,85.333,1911.2799999999997,853.3299999999999
expt-app-94,4,1057.5049999999999,921.474,4230.0199999999995,3685.896
expt-app-55,6,357.724,252.888,2146.344,1517.328
expt-app-30,8,39.492,33.322,315.936,266.576
expt-app-4,7,127.92799999999998,49.09,895.4959999999999,343.63
expt-app-27,3,1082.6299999999999,997.016,3247.8899999999994,2991.048
expt-app-88,7,649.423,544.965,4545.961,3814.755
expt-app-46,1,511.39199999999994,445.708,511.39199999999994,445.708
expt-app-53,4,598.4639999999999,513.762,2393.8559999999998,2055.048
expt-app-67,5,306.487,148.353,1532.4350000000002,741.7650000000001
expt-app-92,10,304.767,238.04,3047.67,2380.4
expt-app-73,10,120.01599999999999,53.315,1200.1599999999999,533.15
expt-app-51,10,176.92,38.097,1769.1999999999998,380.97
expt-app-5,6,408.086,341.225,2448.516,2047.3500000000001
expt-app-13,10,259.384,255.288,2593.84,2552.88
expt-app-23,5,462.033,341.694,2310.165,1708.47
expt-app-20,5,306.086,246.854,1530.43,1234.27
expt-app-7,10,225.609,158.717,2256.09,1587.17
expt-app-87,3,979.966,901.15,2939.898,2703.45
expt-app-6,4,669.693,564.716,2678.772,2258.864
expt-app-47,3,724.8090000000001,589.225,2174.427,1767.6750000000002
expt-app-15,10,156.01899999999998,51.729,1560.1899999999998,517.29
expt-app-18,9,149.71,29.248,1347.39,263.232
expt-app-82,8,234.86399999999998,105.923,1878.9119999999998,847.384
expt-app-0,10,273.414,206.802,2734.14,2068.02
expt-app-93,10,183.45,78.821,1834.5,788.21
expt-app-85,7,421.751,355.432,2952.2569999999996,2488.0240000000003
expt-app-1,8,175.258,26.199,1402.064,209.592
expt-app-49,2,949.163,936.863,1898.326,1873.726
expt-app-97,7,302.097,181.285,2114.679,1268.995
expt-app-28,7,158.622,84.313,1110.354,590.191
expt-app-77,8,283.21299999999997,278.57,2265.7039999999997,2228.56
expt-app-12,5,553.126,548.547,2765.63,2742.735
expt-app-63,7,387.823,309.072,2714.761,2163.504
expt-app-98,1,1372.961,1306.48,1372.961,1306.48
expt-app-84,8,261.941,195.087,2095.528,1560.696
expt-app-50,7,436.162,369.457,3053.134,2586.199
expt-app-52,8,106.375,27.518,851.0,220.144
expt-app-45,10,97.824,87.536,978.24,875.36
expt-app-11,1,1218.624,1166.236,1218.624,1166.236
