app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-62,9,131.843,26.611,1186.587,239.499
expt-app-10,10,204.43,53.727,2044.3000000000002,537.27
expt-app-71,10,116.783,38.068,1167.83,380.67999999999995
expt-app-6,8,292.135,212.922,2337.08,1703.376
expt-app-56,6,854.666,775.556,5127.996,4653.336
expt-app-65,8,248.92600000000002,244.141,1991.4080000000001,1953.128
expt-app-70,9,548.662,419.981,4937.9580000000005,3779.8289999999997
expt-app-51,9,354.319,225.822,3188.871,2032.3980000000001
expt-app-15,8,543.5419999999999,393.853,4348.335999999999,3150.824
expt-app-61,5,1722.582,1716.671,8612.91,8583.355
expt-app-40,6,1100.568,1033.445,6603.407999999999,6200.67
expt-app-13,7,138.636,34.644,970.452,242.50799999999998
expt-app-67,7,1432.8639999999998,1327.795,10030.047999999999,9294.565
expt-app-68,7,1071.427,967.018,7499.989,6769.126
expt-app-5,7,163.01399999999998,149.945,1141.098,1049.615
expt-app-74,10,240.353,167.115,2403.53,1671.15
expt-app-39,7,813.133,677.296,5691.9310000000005,4741.072
expt-app-76,7,684.484,540.568,4791.388,3783.9759999999997
expt-app-3,7,441.62,362.009,3091.34,2534.063
expt-app-48,6,2164.004,2028.174,12984.024,12169.044
expt-app-29,9,515.243,428.871,4637.187000000001,3859.839
expt-app-35,4,2727.547,2660.328,10910.188,10641.312
expt-app-63,9,211.816,139.704,1906.344,1257.336
expt-app-95,7,1632.076,1473.602,11424.532,10315.214
expt-app-38,3,1439.971,1360.911,4319.9130000000005,4082.733
expt-app-82,5,1477.278,1371.085,7386.39,6855.425
expt-app-87,3,1728.241,1592.433,5184.723,4777.299
expt-app-98,10,129.771,55.669,1297.7099999999998,556.6899999999999
expt-app-27,10,174.821,26.287,1748.21,262.87
expt-app-46,5,1230.23,1177.746,6151.15,5888.7300000000005
expt-app-92,8,632.638,565.871,5061.104,4526.968
expt-app-69,10,304.971,238.035,3049.71,2380.35
expt-app-91,6,1343.962,1199.326,8063.772,7195.956
expt-app-97,7,33.086999999999996,28.068,231.60899999999998,196.476
expt-app-25,5,392.17800000000005,387.088,1960.8900000000003,1935.44
expt-app-47,5,1315.116,1184.826,6575.58,5924.13
expt-app-72,5,1130.998,995.724,5654.99,4978.62
expt-app-24,5,2089.1890000000003,1984.127,10445.945000000002,9920.635
expt-app-33,6,547.635,480.512,3285.81,2883.072
expt-app-75,5,1559.034,1479.441,7795.17,7397.205
expt-app-41,6,39.013,34.423,234.07799999999997,206.538
expt-app-16,10,140.516,35.335,1405.1599999999999,353.35
expt-app-36,7,731.437,679.303,5120.059,4755.121
expt-app-88,9,345.285,209.955,3107.565,1889.595
expt-app-85,7,974.752,888.491,6823.263999999999,6219.437
expt-app-84,7,846.4300000000001,703.625,5925.01,4925.375
expt-app-49,10,217.46599999999998,150.919,2174.66,1509.19
expt-app-55,6,1429.835,1350.247,8579.01,8101.482
expt-app-57,9,169.379,164.571,1524.4109999999998,1481.139
expt-app-28,4,1472.7630000000001,1330.096,5891.052000000001,5320.384
expt-app-93,9,213.823,208.374,1924.4070000000002,1875.366
expt-app-59,7,1083.712,1005.276,7585.984,7036.932
expt-app-11,7,536.505,470.34,3755.535,3292.3799999999997
expt-app-64,3,1561.242,1433.606,4683.726,4300.818
expt-app-43,9,278.792,199.529,2509.1279999999997,1795.761
expt-app-60,5,1237.98,1087.846,6189.9,5439.23
expt-app-94,10,412.616,291.297,4126.16,2912.9700000000003
expt-app-90,6,3122.3489999999997,2994.407,18734.093999999997,17966.442000000003
expt-app-30,7,104.98100000000001,91.694,734.8670000000001,641.8580000000001
expt-app-19,4,1299.766,1233.013,5199.064,4932.052
expt-app-53,6,1360.995,1274.035,8165.969999999999,7644.210000000001
expt-app-45,10,203.787,136.545,2037.8700000000001,1365.4499999999998
expt-app-37,4,3590.864,3532.284,14363.456,14129.136
expt-app-17,5,2592.2309999999998,2512.581,12961.154999999999,12562.905
expt-app-4,8,459.137,353.975,3673.096,2831.8
expt-app-89,10,482.844,333.923,4828.44,3339.23
