app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-88,9,200.559,125.946,1805.031,1133.514
expt-app-13,7,74.783,17.09,523.481,119.63
expt-app-89,10,473.894,332.487,4738.9400000000005,3324.8700000000003
expt-app-74,10,222.453,79.344,2224.53,793.4399999999999
expt-app-62,9,115.99,30.401,1043.9099999999999,273.609
expt-app-71,10,145.71,18.811,1457.1000000000001,188.11
expt-app-30,7,128.56799999999998,43.313,899.9759999999999,303.19100000000003
expt-app-29,9,474.59000000000003,389.655,4271.31,3506.8949999999995
expt-app-65,8,150.029,92.049,1200.232,736.392
expt-app-27,10,94.723,21.35,947.23,213.5
expt-app-51,9,356.277,229.0,3206.493,2061.0
expt-app-98,10,154.69299999999998,11.666,1546.9299999999998,116.66
expt-app-41,6,191.64600000000002,35.559,1149.8760000000002,213.35399999999998
expt-app-16,10,167.365,82.506,1673.65,825.06
expt-app-69,10,34.658,25.45,346.58000000000004,254.5
expt-app-10,10,157.84699999999998,14.371,1578.4699999999998,143.71
expt-app-97,7,170.44,27.611,1193.08,193.27700000000002
expt-app-93,9,317.039,203.228,2853.3509999999997,1829.0520000000001
