app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,6,1170.7920000000001,1025.194,7024.752,6151.164
expt-app-56,6,314.935,211.151,1889.6100000000001,1266.906
expt-app-88,9,68.571,59.866,617.139,538.794
expt-app-68,7,276.775,172.573,1937.4249999999997,1208.011
expt-app-64,3,616.286,486.689,1848.8579999999997,1460.067
expt-app-71,10,28.878,24.178,288.78,241.78
expt-app-90,6,1540.348,1473.145,9242.088,8838.869999999999
expt-app-27,10,161.251,26.507,1612.51,265.07
expt-app-5,7,62.417,57.687,436.919,403.80899999999997
expt-app-10,10,75.86,9.059,758.6,90.58999999999999
expt-app-25,5,371.765,293.107,1858.8249999999998,1465.535
expt-app-70,9,219.79399999999998,145.447,1978.1459999999997,1309.0230000000001
expt-app-93,9,89.328,85.042,803.952,765.378
expt-app-4,8,163.637,158.439,1309.096,1267.512
expt-app-95,7,458.518,347.749,3209.6259999999997,2434.2430000000004
expt-app-28,4,768.688,626.544,3074.752,2506.176
expt-app-43,9,113.274,43.03,1019.466,387.27
expt-app-13,7,92.619,33.827,648.333,236.789
expt-app-94,10,256.74,177.909,2567.4,1779.09
expt-app-38,3,1158.0459999999998,1091.264,3474.1379999999995,3273.7919999999995
expt-app-15,8,213.481,140.039,1707.848,1120.312
expt-app-59,7,520.141,467.621,3640.9869999999996,3273.3469999999998
expt-app-92,8,271.40999999999997,266.43,2171.2799999999997,2131.44
expt-app-84,7,472.87600000000003,368.0,3310.132,2576.0
expt-app-74,10,97.679,19.285,976.79,192.85
expt-app-60,5,743.582,638.798,3717.91,3193.99
expt-app-35,4,2084.4339999999997,1997.512,8337.735999999999,7990.048
expt-app-36,7,410.18100000000004,306.048,2871.2670000000003,2142.3360000000002
expt-app-47,5,842.553,763.486,4212.765,3817.43
expt-app-85,7,612.13,559.563,4284.91,3916.941
expt-app-11,7,248.614,135.479,1740.298,948.3530000000001
expt-app-57,9,186.68599999999998,119.936,1680.1739999999998,1079.424
expt-app-19,4,1027.794,975.643,4111.176,3902.572
expt-app-75,5,1309.617,1230.317,6548.085,6151.585
expt-app-17,5,2053.386,1967.599,10266.93,9837.994999999999
expt-app-33,6,228.745,217.712,1372.47,1306.272
expt-app-41,6,129.059,24.46,774.354,146.76
expt-app-6,8,165.5,86.476,1324.0,691.808
expt-app-69,10,124.901,20.126,1249.01,201.26000000000002
expt-app-48,6,1522.375,1387.321,9134.25,8323.926
expt-app-76,7,652.5889999999999,517.613,4568.123,3623.291
expt-app-49,10,169.542,96.818,1695.42,968.18
expt-app-37,4,1962.862,1903.385,7851.448,7613.54
expt-app-24,5,1384.472,1298.144,6922.36,6490.72
expt-app-30,7,52.2,47.383,365.40000000000003,331.68100000000004
expt-app-46,5,804.983,725.921,4024.915,3629.6050000000005
expt-app-98,10,146.911,12.01,1469.1100000000001,120.1
expt-app-3,7,121.532,109.819,850.7239999999999,768.7330000000001
expt-app-39,7,270.77299999999997,203.191,1895.4109999999998,1422.337
expt-app-82,5,1151.033,1001.609,5755.164999999999,5008.045
expt-app-40,6,534.124,399.348,3204.744,2396.088
expt-app-63,9,174.539,69.13,1570.8509999999999,622.17
expt-app-45,10,68.257,63.317,682.57,633.17
expt-app-61,5,1040.773,919.718,5203.865,4598.59
expt-app-51,9,244.82999999999998,109.537,2203.47,985.8330000000001
expt-app-72,5,812.575,707.448,4062.875,3537.24
expt-app-87,3,1277.019,1203.03,3831.057,3609.09
expt-app-53,6,553.034,430.811,3318.2039999999997,2584.866
expt-app-62,9,184.892,35.95,1664.028,323.55
expt-app-16,10,210.15200000000002,60.678,2101.52,606.78
expt-app-67,7,756.17,620.522,5293.19,4343.654
expt-app-89,10,352.302,195.083,3523.0200000000004,1950.83
expt-app-29,9,324.19599999999997,189.324,2917.7639999999997,1703.9160000000002
expt-app-97,7,157.049,25.919,1099.343,181.433
expt-app-91,6,800.2810000000001,662.676,4801.686000000001,3976.0560000000005
expt-app-65,8,265.28000000000003,121.472,2122.2400000000002,971.776
