app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-67,3,467.673,332.7,1403.019,998.0999999999999
expt-app-25,6,197.47500000000002,145.483,1184.8500000000001,872.898
expt-app-78,2,1122.3419999999999,1001.33,2244.6839999999997,2002.66
expt-app-79,8,31.45,21.572,251.6,172.576
expt-app-43,9,44.617999999999995,35.613,401.56199999999995,320.517
expt-app-31,4,476.879,363.947,1907.516,1455.788
expt-app-1,10,21.193,16.526,211.93,165.26
expt-app-28,5,1173.758,1107.213,5868.79,5536.065
expt-app-68,4,495.97200000000004,417.024,1983.8880000000001,1668.096
expt-app-48,2,1992.266,1871.704,3984.532,3743.408
expt-app-77,7,243.441,176.821,1704.087,1237.747
expt-app-90,10,231.97400000000002,157.822,2319.7400000000002,1578.22
expt-app-92,8,1201.756,1080.036,9614.048,8640.288
expt-app-65,3,211.234,90.351,633.702,271.053
expt-app-7,1,2564.951,2423.279,2564.951,2423.279
expt-app-6,7,245.553,178.672,1718.871,1250.704
expt-app-64,8,215.271,109.646,1722.168,877.168
expt-app-72,9,107.38499999999999,18.752,966.4649999999999,168.768
expt-app-9,3,1555.3110000000001,1550.4,4665.933000000001,4651.200000000001
expt-app-76,9,397.469,310.327,3577.221,2792.943
expt-app-11,6,418.451,306.667,2510.706,1840.002
expt-app-36,9,195.657,60.853,1760.913,547.677
expt-app-46,6,534.789,414.17,3208.734,2485.02
expt-app-66,9,118.28099999999999,39.57,1064.529,356.13
expt-app-37,10,410.371,344.263,4103.71,3442.6299999999997
expt-app-50,4,510.552,432.705,2042.208,1730.82
expt-app-42,1,2068.031,2000.9,2068.031,2000.9
expt-app-17,6,519.644,398.787,3117.864,2392.7219999999998
expt-app-47,8,439.468,364.725,3515.744,2917.8
expt-app-70,9,119.186,14.184,1072.674,127.65599999999999
expt-app-35,7,445.228,314.023,3116.596,2198.161
expt-app-63,4,508.92499999999995,430.363,2035.6999999999998,1721.452
expt-app-98,10,365.80600000000004,210.319,3658.0600000000004,2103.19
expt-app-0,3,1738.4299999999998,1602.803,5215.289999999999,4808.409000000001
expt-app-96,8,163.722,102.342,1309.776,818.736
expt-app-49,5,1251.572,1184.494,6257.86,5922.469999999999
expt-app-69,2,748.915,743.952,1497.83,1487.904
expt-app-23,4,702.626,575.282,2810.504,2301.128
expt-app-52,6,168.72400000000002,59.004,1012.344,354.024
expt-app-81,1,3899.839,3763.505,3899.839,3763.505
expt-app-83,8,93.43700000000001,41.751,747.4960000000001,334.008
expt-app-85,7,251.925,185.134,1763.4750000000001,1295.9379999999999
expt-app-51,4,1198.991,1131.673,4795.964,4526.692
expt-app-5,10,349.291,335.271,3492.91,3352.71
expt-app-33,2,1010.786,958.248,2021.572,1916.496
expt-app-30,7,134.517,81.657,941.6189999999999,571.5989999999999
expt-app-58,9,196.201,60.776,1765.809,546.984
expt-app-27,7,510.82899999999995,431.666,3575.803,3021.662
expt-app-60,5,768.5849999999999,702.224,3842.9249999999997,3511.1200000000003
expt-app-84,9,230.956,152.434,2078.604,1371.906
expt-app-18,4,685.32,556.954,2741.28,2227.816
expt-app-24,8,530.003,524.988,4240.024,4199.904
expt-app-86,2,1145.724,1019.434,2291.448,2038.868
expt-app-41,2,1100.695,1027.649,2201.39,2055.298
expt-app-22,6,1033.152,966.193,6198.912,5797.157999999999
expt-app-13,7,404.851,326.334,2833.957,2284.338
expt-app-93,3,931.83,811.085,2795.4900000000002,2433.255
expt-app-53,6,266.367,192.453,1598.2020000000002,1154.718
expt-app-10,10,505.51599999999996,423.768,5055.16,4237.679999999999
expt-app-32,4,417.303,271.556,1669.212,1086.224
expt-app-16,4,585.0340000000001,455.668,2340.1360000000004,1822.672
expt-app-71,9,551.881,447.127,4966.929,4024.143
expt-app-38,8,962.7099999999999,896.346,7701.679999999999,7170.768
expt-app-97,6,730.4110000000001,725.644,4382.466,4353.864
expt-app-40,4,888.5880000000001,835.815,3554.3520000000003,3343.26
expt-app-89,8,578.585,499.896,4628.68,3999.168
expt-app-80,9,152.942,32.599,1376.478,293.39099999999996
expt-app-62,10,278.4,199.596,2784.0,1995.96
expt-app-3,6,334.571,268.999,2007.4260000000002,1613.9940000000001
expt-app-87,3,1232.791,1179.837,3698.3729999999996,3539.511
expt-app-82,9,128.001,41.999,1152.009,377.99100000000004
