app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-35,7,212.978,137.521,1490.846,962.6469999999999
expt-app-36,9,184.169,35.447,1657.5210000000002,319.023
expt-app-78,2,658.95,579.789,1317.9,1159.578
expt-app-56,1,1384.574,1263.507,1384.574,1263.507
expt-app-85,7,89.26599999999999,79.048,624.862,553.336
expt-app-96,8,144.113,64.186,1152.904,513.488
expt-app-68,4,488.286,402.492,1953.144,1609.968
expt-app-11,6,419.529,284.505,2517.174,1707.03
expt-app-50,4,869.2800000000001,713.436,3477.1200000000003,2853.744
expt-app-53,6,386.976,320.999,2321.8559999999998,1925.9940000000001
expt-app-5,10,429.016,324.126,4290.16,3241.2599999999998
expt-app-7,1,1517.228,1438.129,1517.228,1438.129
expt-app-10,10,170.3,167.136,1703.0,1671.36
expt-app-13,7,314.558,306.52,2201.906,2145.64
expt-app-74,5,989.108,853.726,4945.54,4268.63
expt-app-31,4,500.63800000000003,359.262,2002.5520000000001,1437.048
expt-app-77,7,144.4,78.098,1010.8000000000001,546.686
expt-app-37,10,242.87800000000001,131.192,2428.78,1311.92
expt-app-43,9,187.281,38.063,1685.529,342.567
expt-app-27,7,473.289,368.104,3313.023,2576.728
expt-app-33,2,857.7719999999999,736.961,1715.5439999999999,1473.922
expt-app-66,9,79.86,13.539,718.74,121.851
expt-app-65,3,196.24099999999999,67.54,588.723,202.62
expt-app-25,6,160.079,94.205,960.474,565.23
expt-app-82,9,33.372,29.03,300.348,261.27
expt-app-97,6,506.75000000000006,502.364,3040.5000000000005,3014.1839999999997
expt-app-58,9,148.256,12.57,1334.304,113.13
expt-app-84,9,303.785,190.29,2734.065,1712.61
expt-app-70,9,21.58,17.681,194.21999999999997,159.12900000000002
expt-app-52,6,314.55899999999997,194.268,1887.3539999999998,1165.608
expt-app-20,4,648.399,504.669,2593.596,2018.676
expt-app-47,8,425.791,320.925,3406.328,2567.4
expt-app-72,9,123.433,11.75,1110.8970000000002,105.75
expt-app-80,9,151.117,20.069,1360.0529999999999,180.62099999999998
expt-app-9,3,1087.637,999.519,3262.911,2998.557
expt-app-87,3,987.533,908.824,2962.599,2726.4719999999998
expt-app-59,3,523.9979999999999,403.309,1571.9939999999997,1209.9270000000001
expt-app-98,10,120.521,33.508,1205.21,335.08000000000004
expt-app-83,8,106.50999999999999,28.243,852.0799999999999,225.944
expt-app-29,5,516.927,382.014,2584.635,1910.0700000000002
expt-app-16,4,497.11699999999996,430.823,1988.4679999999998,1723.292
expt-app-46,6,277.287,211.125,1663.7219999999998,1266.75
expt-app-41,2,986.581,865.444,1973.162,1730.888
expt-app-60,5,520.575,415.365,2602.875,2076.825
expt-app-3,6,252.06099999999998,185.143,1512.366,1110.858
expt-app-62,10,279.94599999999997,276.066,2799.4599999999996,2760.66
expt-app-1,10,16.092,12.419,160.92,124.19
expt-app-40,4,620.595,554.046,2482.38,2216.184
expt-app-64,8,136.867,133.356,1094.936,1066.848
expt-app-24,8,448.743,438.155,3589.944,3505.24
expt-app-76,9,254.952,241.588,2294.568,2174.292
expt-app-90,10,313.26500000000004,209.111,3132.6500000000005,2091.1099999999997
expt-app-69,2,571.0039999999999,556.92,1142.0079999999998,1113.84
expt-app-23,4,418.569,331.513,1674.276,1326.052
expt-app-17,6,444.337,392.789,2666.022,2356.734
expt-app-89,8,183.695,179.308,1469.56,1434.464
expt-app-18,4,424.62899999999996,372.915,1698.5159999999998,1491.66
expt-app-88,4,534.3710000000001,456.255,2137.4840000000004,1825.02
expt-app-26,7,220.07399999999998,141.83,1540.5179999999998,992.8100000000001
expt-app-0,3,1084.931,1018.078,3254.793,3054.234
expt-app-81,1,2834.166,2712.714,2834.166,2712.714
expt-app-79,8,83.761,17.731,670.088,141.848
expt-app-30,7,188.839,101.165,1321.873,708.1550000000001
expt-app-67,3,360.651,232.989,1081.953,698.967
expt-app-54,5,653.233,648.388,3266.165,3241.94
expt-app-32,4,122.918,71.615,491.672,286.46
expt-app-63,4,460.646,381.461,1842.584,1525.844
expt-app-6,7,181.63199999999998,114.874,1271.4239999999998,804.1179999999999
