app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-79,8,511.31800000000004,424.729,4090.5440000000003,3397.832
expt-app-62,2,1471.884,1395.718,2943.768,2791.436
expt-app-14,10,396.77099999999996,276.203,3967.7099999999996,2762.0299999999997
expt-app-17,3,2092.4269999999997,1971.474,6277.280999999999,5914.422
expt-app-71,2,1599.433,1493.879,3198.866,2987.758
expt-app-85,6,983.65,863.154,5901.9,5178.924
expt-app-15,10,133.466,58.09,1334.66,580.9000000000001
expt-app-83,5,1494.808,1489.561,7474.04,7447.804999999999
expt-app-52,10,128.528,23.494,1285.28,234.94
expt-app-2,1,3935.176,3799.407,3935.176,3799.407
expt-app-69,8,682.8720000000001,548.336,5462.976000000001,4386.688
expt-app-80,5,1361.574,1282.731,6807.870000000001,6413.655
expt-app-37,3,1958.309,1883.422,5874.927,5650.266
expt-app-60,9,410.119,405.467,3691.0710000000004,3649.203
expt-app-25,7,675.654,622.721,4729.5779999999995,4359.0470000000005
expt-app-27,9,194.97500000000002,57.205,1754.775,514.845
expt-app-23,2,1349.121,1343.937,2698.242,2687.874
expt-app-67,3,3507.6369999999997,3440.955,10522.911,10322.865
expt-app-72,1,831.751,826.565,831.751,826.565
expt-app-86,2,2185.59,2104.448,4371.18,4208.896
expt-app-75,5,1846.808,1697.522,9234.04,8487.61
expt-app-64,8,1198.339,1113.315,9586.712,8906.52
expt-app-24,5,828.504,679.02,4142.52,3395.1
expt-app-57,4,744.8059999999999,731.196,2979.2239999999997,2924.784
expt-app-53,7,1812.6770000000001,1677.782,12688.739000000001,11744.474
expt-app-87,1,743.6610000000001,690.323,743.6610000000001,690.323
expt-app-56,8,258.453,253.326,2067.624,2026.608
expt-app-43,5,1323.7540000000001,1237.625,6618.77,6188.125
expt-app-18,7,615.8860000000001,481.014,4311.202,3367.098
expt-app-74,6,1765.352,1630.449,10592.112000000001,9782.694
expt-app-66,5,1947.446,1868.251,9737.23,9341.255
expt-app-50,5,1884.266,1812.744,9421.33,9063.72
expt-app-96,7,287.255,151.623,2010.7849999999999,1061.3609999999999
expt-app-61,8,708.083,573.571,5664.664,4588.568
expt-app-54,6,563.499,443.378,3380.994,2660.268
expt-app-1,10,182.144,32.779,1821.44,327.79
expt-app-36,6,982.299,826.651,5893.794,4959.906
expt-app-12,1,5657.5199999999995,5552.333,5657.5199999999995,5552.333
expt-app-21,6,205.873,57.193,1235.2379999999998,343.158
expt-app-29,10,113.033,67.31,1130.33,673.1
expt-app-19,1,1979.789,1900.671,1979.789,1900.671
expt-app-68,7,833.821,829.297,5836.747,5805.079
expt-app-31,9,236.004,230.692,2124.036,2076.228
expt-app-78,9,98.776,23.827,888.9839999999999,214.443
expt-app-76,5,480.37800000000004,345.65,2401.8900000000003,1728.25
expt-app-46,8,823.932,689.042,6591.456,5512.336
expt-app-49,7,1522.759,1444.005,10659.313,10108.035
expt-app-30,6,1172.745,1037.089,7036.469999999999,6222.534
expt-app-77,4,1357.403,1278.536,5429.612,5114.144
expt-app-92,9,157.309,146.41,1415.781,1317.69
expt-app-48,2,2435.6420000000003,2300.376,4871.284000000001,4600.752
expt-app-91,8,1668.223,1563.684,13345.784,12509.472
expt-app-84,4,1734.427,1667.682,6937.708,6670.728
expt-app-63,8,930.843,925.663,7446.744,7405.304
expt-app-82,6,240.807,167.459,1444.8419999999999,1004.754
expt-app-32,4,1214.772,1209.727,4859.088,4838.908
expt-app-45,6,440.043,312.423,2640.258,1874.538
expt-app-20,3,1029.088,908.105,3087.264,2724.315
expt-app-35,9,428.76,294.327,3858.84,2648.943
expt-app-4,7,501.81100000000004,396.395,3512.677,2774.765
expt-app-89,1,1267.345,1262.239,1267.345,1262.239
expt-app-8,6,2089.736,1940.8,12538.416,11644.8
expt-app-81,6,898.358,749.371,5390.147999999999,4496.226
expt-app-0,6,583.0880000000001,477.922,3498.5280000000002,2867.532
expt-app-94,6,1594.702,1489.657,9568.212,8937.942
expt-app-38,8,324.487,235.998,2595.896,1887.984
expt-app-34,4,1744.723,1677.443,6978.892,6709.772
expt-app-93,4,1782.367,1703.83,7129.468,6815.32
expt-app-55,7,823.918,712.452,5767.426,4987.164
expt-app-9,8,696.587,561.638,5572.696,4493.104
expt-app-16,5,1706.615,1571.965,8533.075,7859.825
expt-app-11,3,1357.241,1352.208,4071.723,4056.6240000000003
expt-app-47,2,1562.859,1441.653,3125.718,2883.306
expt-app-13,3,1003.6560000000001,936.47,3010.9680000000003,2809.41
expt-app-7,4,469.576,465.178,1878.304,1860.712
expt-app-42,10,174.144,25.798,1741.44,257.97999999999996
expt-app-73,4,2045.566,1940.24,8182.264,7760.96
expt-app-41,3,1660.4959999999999,1648.532,4981.487999999999,4945.596
expt-app-39,5,592.495,525.887,2962.475,2629.4349999999995
expt-app-65,5,1249.404,1109.017,6247.02,5545.085
expt-app-97,10,93.22500000000001,14.001,932.2500000000001,140.01
expt-app-99,9,75.74300000000001,16.208,681.6870000000001,145.87199999999999
expt-app-10,6,1222.9950000000001,1074.39,7337.970000000001,6446.34
expt-app-88,7,1936.758,1861.814,13557.306,13032.698
expt-app-95,2,2988.747,2935.972,5977.494,5871.944
expt-app-6,10,133.37099999999998,28.261,1333.7099999999998,282.61
expt-app-3,5,1299.261,1219.999,6496.305,6099.995
expt-app-98,10,154.219,33.482,1542.19,334.82
