app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-99,2,3469.727,3319.942,6939.454,6639.884
expt-app-30,4,906.399,771.418,3625.596,3085.672
expt-app-89,7,236.62800000000001,231.424,1656.3960000000002,1619.968
expt-app-25,4,1227.549,1160.984,4910.196,4643.936
expt-app-90,6,651.0169999999999,545.589,3906.102,3273.5340000000006
expt-app-85,6,746.3149999999999,693.372,4477.889999999999,4160.232
expt-app-71,9,385.73,241.314,3471.57,2171.826
expt-app-38,10,120.092,40.825,1200.92,408.25
expt-app-66,3,1327.637,1191.805,3982.911,3575.415
expt-app-93,4,1527.4460000000001,1422.228,6109.784000000001,5688.912
expt-app-81,3,1469.249,1456.773,4407.747,4370.3189999999995
expt-app-61,4,850.4580000000001,771.341,3401.8320000000003,3085.364
expt-app-98,7,987.736,852.2,6914.152,5965.400000000001
expt-app-72,3,1321.058,1200.371,3963.174,3601.1130000000003
expt-app-16,5,319.51800000000003,198.622,1597.5900000000001,993.1100000000001
expt-app-62,1,2117.527,2003.579,2117.527,2003.579
expt-app-6,10,824.8050000000001,675.627,8248.050000000001,6756.2699999999995
expt-app-59,1,465.028,344.06,465.028,344.06
expt-app-44,7,1060.616,915.195,7424.312,6406.365000000001
expt-app-29,10,80.122,13.364,801.22,133.64000000000001
expt-app-52,2,2033.394,1972.544,4066.788,3945.088
expt-app-41,9,221.737,64.18,1995.633,577.6200000000001
expt-app-3,5,715.024,635.795,3575.12,3178.975
expt-app-14,2,3882.144,3776.976,7764.288,7553.952
expt-app-40,8,156.629,25.813,1253.032,206.504
expt-app-58,7,731.1370000000001,595.921,5117.959000000001,4171.447
expt-app-11,8,756.952,677.59,6055.616,5420.72
expt-app-2,10,125.939,48.975,1259.3899999999999,489.75
expt-app-68,8,582.584,462.003,4660.672,3696.024
expt-app-45,8,431.022,281.45,3448.176,2251.6
expt-app-70,10,370.42900000000003,228.938,3704.2900000000004,2289.38
expt-app-91,4,473.763,469.243,1895.052,1876.972
expt-app-17,1,5949.048000000001,5881.738,5949.048000000001,5881.738
expt-app-19,4,585.5780000000001,439.769,2342.3120000000004,1759.076
expt-app-79,9,197.997,145.34,1781.9730000000002,1308.06
expt-app-49,3,1755.715,1676.733,5267.1449999999995,5030.199
expt-app-87,3,1001.15,865.653,3003.45,2596.959
expt-app-88,1,4068.555,3989.738,4068.555,3989.738
expt-app-32,10,529.285,424.888,5292.849999999999,4248.88
expt-app-97,7,493.103,426.078,3451.721,2982.546
expt-app-31,8,255.91000000000003,176.943,2047.2800000000002,1415.544
expt-app-47,1,4136.28,4030.843,4136.28,4030.843
expt-app-55,3,1433.732,1428.507,4301.196,4285.521000000001
expt-app-96,5,690.699,555.629,3453.495,2778.145
expt-app-8,6,493.508,363.658,2961.048,2181.9480000000003
expt-app-9,5,360.39500000000004,246.088,1801.9750000000001,1230.44
expt-app-54,6,269.17999999999995,164.051,1615.0799999999997,984.3059999999999
expt-app-5,10,147.79600000000002,26.195,1477.9600000000003,261.95
expt-app-21,5,1831.6589999999999,1768.476,9158.295,8842.380000000001
expt-app-86,9,92.956,26.914,836.604,242.226
expt-app-94,5,542.663,393.965,2713.315,1969.8249999999998
expt-app-42,9,125.85199999999999,58.736,1132.668,528.624
expt-app-56,9,758.1909999999999,604.678,6823.718999999999,5442.102
expt-app-26,2,1535.2930000000001,1445.056,3070.5860000000002,2890.112
expt-app-39,1,736.374,730.264,736.374,730.264
expt-app-13,5,533.748,466.858,2668.7400000000002,2334.29
expt-app-50,4,645.3330000000001,640.408,2581.3320000000003,2561.632
expt-app-73,6,601.073,585.833,3606.438,3514.9979999999996
expt-app-36,3,1622.542,1486.605,4867.626,4459.8150000000005
expt-app-33,6,213.05599999999998,146.548,1278.3359999999998,879.288
expt-app-82,10,144.667,77.698,1446.67,776.9799999999999
expt-app-7,9,597.249,591.569,5375.241,5324.120999999999
expt-app-15,3,1789.0539999999999,1709.781,5367.161999999999,5129.343
expt-app-60,7,256.47700000000003,135.129,1795.3390000000002,945.9029999999999
expt-app-64,3,2749.504,2644.689,8248.511999999999,7934.066999999999
expt-app-48,1,2468.25,2389.465,2468.25,2389.465
expt-app-75,5,683.6179999999999,604.972,3418.0899999999997,3024.8599999999997
expt-app-57,9,422.44599999999997,278.087,3802.0139999999997,2502.783
expt-app-67,2,1278.49,1127.945,2556.98,2255.89
expt-app-78,8,688.674,554.245,5509.392,4433.96
expt-app-95,5,720.631,715.984,3603.1549999999997,3579.92
expt-app-51,7,110.571,43.378,773.997,303.646
expt-app-92,10,133.213,54.069,1332.1299999999999,540.69
expt-app-28,9,288.205,282.512,2593.845,2542.608
expt-app-18,1,356.091,235.016,356.091,235.016
expt-app-37,3,1961.931,1848.569,5885.793,5545.707
expt-app-12,8,518.929,452.452,4151.432,3619.616
expt-app-83,7,179.185,100.45,1254.295,703.15
expt-app-80,3,1964.028,1842.516,5892.084,5527.548000000001
expt-app-74,7,792.678,703.823,5548.746,4926.7609999999995
expt-app-84,7,104.11099999999999,25.635,728.7769999999999,179.44500000000002
expt-app-23,5,841.895,693.09,4209.475,3465.4500000000003
expt-app-53,4,415.754,336.716,1663.016,1346.864
expt-app-35,1,2800.326,2678.864,2800.326,2678.864
expt-app-63,1,1536.221,1400.463,1536.221,1400.463
expt-app-65,6,857.03,851.7,5142.18,5110.200000000001
expt-app-69,5,1628.004,1506.686,8140.0199999999995,7533.429999999999
