app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-92,10,132.55100000000002,53.925,1325.5100000000002,539.25
expt-app-26,2,1449.995,1382.433,2899.99,2764.866
expt-app-44,7,1074.3229999999999,938.688,7520.260999999999,6570.816
expt-app-65,6,881.755,877.156,5290.53,5262.936
expt-app-36,3,1605.42,1469.953,4816.26,4409.859
expt-app-35,1,2688.707,2567.536,2688.707,2567.536
expt-app-89,7,242.914,231.927,1700.398,1623.489
expt-app-64,3,2951.08,2846.75,8853.24,8540.25
expt-app-69,5,1767.5,1646.497,8837.5,8232.485
expt-app-57,9,380.085,237.258,3420.765,2135.322
expt-app-18,1,353.738,233.849,353.738,233.849
expt-app-85,6,750.443,697.135,4502.657999999999,4182.8099999999995
expt-app-42,9,125.85499999999999,58.772,1132.695,528.948
expt-app-30,4,906.8040000000001,771.777,3627.2160000000003,3087.108
expt-app-78,8,634.0160000000001,490.569,5072.128000000001,3924.552
expt-app-72,3,1348.107,1219.721,4044.321,3659.163
expt-app-14,2,3915.842,3804.193,7831.684,7608.386
expt-app-70,10,365.533,231.185,3655.33,2311.85
expt-app-11,8,752.285,674.256,6018.28,5394.048
expt-app-71,9,377.192,241.665,3394.728,2174.985
expt-app-59,1,432.456,312.657,432.456,312.657
expt-app-95,5,708.258,703.71,3541.29,3518.55
expt-app-21,5,1727.947,1667.986,8639.734999999999,8339.93
expt-app-3,5,672.935,594.7,3364.6749999999997,2973.5
expt-app-86,9,92.086,27.178,828.774,244.602
expt-app-55,3,1444.6619999999998,1440.879,4333.985999999999,4322.637
expt-app-8,6,505.44199999999995,384.455,3032.6519999999996,2306.73
expt-app-80,3,1899.166,1778.608,5697.498,5335.824
expt-app-56,9,749.795,600.743,6748.155,5406.687000000001
expt-app-60,7,256.31100000000004,135.113,1794.1770000000001,945.7909999999999
expt-app-7,9,695.5329999999999,690.733,6259.796999999999,6216.597
expt-app-88,1,4115.546,4027.814,4115.546,4027.814
expt-app-53,4,415.06399999999996,337.636,1660.2559999999999,1350.544
expt-app-13,5,533.943,467.91,2669.715,2339.55
expt-app-48,1,2561.271,2482.133,2561.271,2482.133
expt-app-25,4,1191.913,1125.519,4767.652,4502.076
expt-app-73,6,554.895,550.668,3329.37,3304.008
expt-app-62,1,1981.264,1875.915,1981.264,1875.915
expt-app-38,10,118.59100000000001,40.438,1185.91,404.38
expt-app-28,9,288.391,275.819,2595.5190000000002,2482.371
expt-app-83,7,164.029,85.078,1148.203,595.546
expt-app-45,8,433.68899999999996,285.297,3469.5119999999997,2282.376
expt-app-67,2,1304.926,1156.084,2609.852,2312.168
expt-app-9,5,386.63100000000003,274.167,1933.1550000000002,1370.8349999999998
expt-app-63,1,1520.029,1380.89,1520.029,1380.89
expt-app-98,7,1017.587,882.445,7123.109,6177.115000000001
expt-app-66,3,1209.317,1074.148,3627.951,3222.4439999999995
expt-app-12,8,446.156,379.699,3569.248,3037.592
expt-app-58,7,728.031,592.68,5096.217,4148.759999999999
expt-app-47,1,3912.886,3807.356,3912.886,3807.356
expt-app-54,6,269.646,165.202,1617.8760000000002,991.212
expt-app-94,5,540.6220000000001,391.998,2703.1100000000006,1959.99
expt-app-90,6,648.436,543.731,3890.616,3262.386
expt-app-23,5,816.879,659.206,4084.395,3296.03
expt-app-87,3,1013.6289999999999,874.785,3040.8869999999997,2624.355
expt-app-17,1,5636.0960000000005,5563.229,5636.0960000000005,5563.229
expt-app-40,8,146.01600000000002,25.317,1168.1280000000002,202.536
expt-app-51,7,109.91199999999999,42.935,769.3839999999999,300.545
expt-app-6,10,829.114,676.007,8291.14,6760.07
expt-app-19,4,574.566,438.526,2298.264,1754.104
expt-app-50,4,619.674,609.688,2478.696,2438.752
expt-app-84,7,105.072,25.78,735.504,180.46
expt-app-61,4,926.2249999999999,847.664,3704.8999999999996,3390.656
expt-app-82,10,151.587,78.653,1515.87,786.5300000000001
expt-app-79,9,198.845,145.943,1789.605,1313.487
expt-app-31,8,301.905,223.418,2415.24,1787.344
expt-app-32,10,507.598,402.4,5075.9800000000005,4024.0
expt-app-41,9,210.134,61.854,1891.206,556.686
expt-app-81,3,1450.682,1446.607,4352.046,4339.821
expt-app-93,4,1459.617,1337.057,5838.468,5348.228
expt-app-96,5,674.69,540.512,3373.4500000000003,2702.5599999999995
expt-app-99,2,3363.975,3214.797,6727.95,6429.594
expt-app-39,1,714.521,710.095,714.521,710.095
expt-app-97,7,519.1519999999999,452.035,3634.0639999999994,3164.2450000000003
expt-app-15,3,1596.665,1509.87,4789.995,4529.61
expt-app-52,2,1923.4560000000001,1871.242,3846.9120000000003,3742.484
expt-app-37,3,1841.73,1736.578,5525.1900000000005,5209.734
expt-app-68,8,662.257,541.225,5298.056,4329.8
expt-app-91,4,471.39,466.99,1885.56,1867.96
expt-app-5,10,154.745,26.981,1547.45,269.81
expt-app-74,7,779.5210000000001,700.787,5456.647000000001,4905.509
expt-app-49,3,1711.384,1633.172,5134.152,4899.516
expt-app-29,10,83.035,11.817,830.3499999999999,118.17
expt-app-33,6,193.638,127.164,1161.828,762.984
expt-app-75,5,681.77,602.456,3408.85,3012.28
expt-app-2,10,138.934,49.426,1389.34,494.26
expt-app-16,5,318.797,197.787,1593.9850000000001,988.9350000000001
