app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-93,4,1393.8870000000002,1258.475,5575.548000000001,5033.9
expt-app-38,10,107.783,40.978,1077.83,409.78000000000003
expt-app-51,7,182.85100000000003,47.727,1279.957,334.089
expt-app-46,6,951.982,830.616,5711.892,4983.696
expt-app-98,7,808.025,803.576,5656.175,5625.032
expt-app-72,3,1645.568,1566.855,4936.704,4700.5650000000005
expt-app-78,8,346.37800000000004,234.698,2771.0240000000003,1877.584
expt-app-7,9,670.768,665.592,6036.912,5990.3279999999995
expt-app-18,1,616.699,481.497,616.699,481.497
expt-app-16,5,590.693,455.34,2953.465,2276.7
expt-app-13,5,327.40000000000003,260.154,1637.0000000000002,1300.77
expt-app-79,9,355.303,243.571,3197.727,2192.139
expt-app-17,1,5981.187,5969.842,5981.187,5969.842
expt-app-35,1,2529.3610000000003,2467.76,2529.3610000000003,2467.76
expt-app-6,10,892.205,743.773,8922.050000000001,7437.7300000000005
expt-app-44,7,1150.095,1014.685,8050.665,7102.795
expt-app-12,8,508.58899999999994,373.47,4068.7119999999995,2987.76
expt-app-84,7,154.763,25.651,1083.3410000000001,179.557
expt-app-63,1,1770.905,1703.125,1770.905,1703.125
expt-app-25,4,1734.0040000000001,1598.365,6936.0160000000005,6393.46
expt-app-3,5,803.5409999999999,789.069,4017.705,3945.345
expt-app-89,7,196.972,129.664,1378.804,907.6479999999999
expt-app-36,3,1857.0279999999998,1735.381,5571.083999999999,5206.143
expt-app-54,6,210.65,90.135,1263.9,540.8100000000001
expt-app-67,2,1099.791,949.847,2199.582,1899.694
expt-app-48,1,2977.728,2856.915,2977.728,2856.915
expt-app-15,3,1586.421,1498.927,4759.263,4496.781
expt-app-56,9,1026.929,878.002,9242.361,7902.018
expt-app-32,10,602.596,497.677,6025.96,4976.77
expt-app-45,8,490.241,368.481,3921.928,2947.848
expt-app-92,10,124.949,12.198,1249.49,121.98
expt-app-22,10,221.144,142.265,2211.44,1422.6499999999999
expt-app-91,4,649.0899999999999,590.16,2596.3599999999997,2360.64
expt-app-66,3,1279.248,1212.135,3837.744,3636.4049999999997
expt-app-61,4,1071.017,950.7,4284.068,3802.8
expt-app-33,6,457.094,335.428,2742.564,2012.568
expt-app-29,10,33.222,29.036,332.22,290.36
expt-app-52,2,1963.24,1841.995,3926.48,3683.99
expt-app-82,10,243.57000000000002,169.216,2435.7000000000003,1692.16
expt-app-31,8,262.77099999999996,195.615,2102.1679999999997,1564.92
expt-app-26,2,1629.556,1508.912,3259.112,3017.824
expt-app-28,9,268.226,163.231,2414.034,1469.079
expt-app-42,9,95.077,15.713,855.693,141.417
expt-app-2,10,169.74900000000002,48.972,1697.4900000000002,489.72
expt-app-96,5,650.458,583.94,3252.29,2919.7000000000003
expt-app-41,9,97.65899999999999,40.022,878.9309999999999,360.198
expt-app-9,5,570.639,427.368,2853.195,2136.84
expt-app-65,6,1040.288,986.468,6241.728,5918.808
expt-app-87,3,716.6949999999999,712.236,2150.085,2136.708
expt-app-21,5,1706.1280000000002,1585.769,8530.640000000001,7928.845
expt-app-74,7,1065.634,930.263,7459.438,6511.841
expt-app-81,3,1806.915,1701.428,5420.745,5104.284000000001
expt-app-64,3,3315.1099999999997,3166.367,9945.329999999998,9499.101
expt-app-30,4,1116.0149999999999,1036.791,4464.0599999999995,4147.164
expt-app-11,8,453.23600000000005,441.012,3625.8880000000004,3528.096
expt-app-5,10,182.536,33.35,1825.3600000000001,333.5
expt-app-40,8,125.42800000000001,20.088,1003.4240000000001,160.704
expt-app-70,10,545.928,397.001,5459.28,3970.0099999999998
expt-app-53,4,326.339,247.556,1305.356,990.224
expt-app-60,7,478.279,343.026,3347.953,2401.1820000000002
expt-app-23,5,481.498,402.389,2407.49,2011.9450000000002
expt-app-69,5,1140.1380000000001,1029.198,5700.6900000000005,5145.990000000001
expt-app-50,4,653.241,517.176,2612.964,2068.704
expt-app-75,5,807.648,703.358,4038.2400000000002,3516.79
expt-app-73,6,498.97799999999995,378.911,2993.8679999999995,2273.466
expt-app-14,2,4627.944,4561.286,9255.888,9122.572
expt-app-86,9,308.562,187.493,2777.058,1687.437
expt-app-99,2,3120.4809999999998,2971.048,6240.9619999999995,5942.096
expt-app-83,7,325.90999999999997,321.52,2281.37,2250.64
expt-app-37,3,1739.3400000000001,1672.051,5218.02,5016.153
expt-app-8,6,249.444,169.894,1496.664,1019.364
expt-app-94,5,291.185,170.451,1455.925,852.255
expt-app-97,7,351.21599999999995,278.856,2458.5119999999997,1951.992
expt-app-95,5,890.93,747.853,4454.65,3739.265
expt-app-68,8,830.911,725.531,6647.288,5804.248
expt-app-85,6,743.699,738.317,4462.1939999999995,4429.902
expt-app-90,6,695.406,559.545,4172.436,3357.2699999999995
expt-app-71,9,679.9,464.251,6119.099999999999,4178.259
expt-app-57,9,232.026,226.538,2088.234,2038.842
expt-app-19,4,313.03999999999996,309.814,1252.1599999999999,1239.256
expt-app-88,1,4867.63,4787.376,4867.63,4787.376
expt-app-58,7,409.37600000000003,356.454,2865.632,2495.178
expt-app-80,3,2195.475,2109.068,6586.424999999999,6327.204000000001
expt-app-59,1,803.3019999999999,798.373,803.3019999999999,798.373
expt-app-47,1,3742.453,3663.741,3742.453,3663.741
expt-app-55,3,1423.769,1288.284,4271.307,3864.8520000000003
expt-app-49,3,1855.0919999999999,1711.675,5565.276,5135.025
