app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-28,9,125.40200000000002,73.531,1128.6180000000002,661.779
expt-app-66,3,902.75,797.403,2708.25,2392.209
expt-app-22,10,199.488,94.417,1994.88,944.1700000000001
expt-app-95,5,638.675,532.714,3193.375,2663.57
expt-app-13,5,324.69100000000003,212.755,1623.4550000000002,1063.775
expt-app-31,8,237.991,170.761,1903.928,1366.088
expt-app-40,8,146.204,25.486,1169.632,203.888
expt-app-73,6,603.961,475.969,3623.766,2855.814
expt-app-9,5,358.477,280.968,1792.3849999999998,1404.8400000000001
expt-app-93,4,854.4730000000001,763.363,3417.8920000000003,3053.452
expt-app-14,2,2219.231,2214.29,4438.462,4428.58
expt-app-32,10,403.818,261.388,4038.18,2613.8799999999997
expt-app-86,9,175.99699999999999,97.331,1583.973,875.979
expt-app-68,8,285.538,218.438,2284.304,1747.504
expt-app-75,5,329.08799999999997,262.475,1645.4399999999998,1312.375
expt-app-41,9,93.724,41.552,843.5160000000001,373.968
expt-app-47,1,2315.5809999999997,2241.667,2315.5809999999997,2241.667
expt-app-12,8,185.228,118.553,1481.824,948.424
expt-app-60,7,287.56100000000004,213.299,2012.9270000000001,1493.093
expt-app-38,10,131.286,10.128,1312.8600000000001,101.28
expt-app-90,6,366.662,239.277,2199.9719999999998,1435.6619999999998
expt-app-88,1,2216.297,2210.662,2216.297,2210.662
expt-app-74,7,550.999,463.903,3856.9930000000004,3247.321
expt-app-37,3,1136.627,1031.188,3409.881,3093.5640000000003
expt-app-46,6,369.718,364.295,2218.308,2185.77
expt-app-42,9,170.816,36.094,1537.344,324.846
expt-app-8,6,281.234,176.246,1687.404,1057.476
expt-app-58,7,453.062,332.312,3171.434,2326.184
expt-app-15,3,1479.363,1411.929,4438.089,4235.787
expt-app-79,9,236.249,115.753,2126.241,1041.777
expt-app-82,10,120.393,58.704,1203.93,587.04
expt-app-16,5,391.413,376.922,1957.065,1884.6100000000001
expt-app-70,10,174.063,107.838,1740.6299999999999,1078.3799999999999
expt-app-45,8,267.104,188.462,2136.832,1507.696
expt-app-55,3,893.8620000000001,826.855,2681.5860000000002,2480.565
expt-app-50,4,433.595,355.342,1734.38,1421.368
expt-app-89,7,242.978,121.705,1700.846,851.935
expt-app-81,3,1444.8319999999999,1339.42,4334.495999999999,4018.26
expt-app-91,4,581.589,568.061,2326.356,2272.244
expt-app-23,5,370.799,266.263,1853.995,1331.3149999999998
expt-app-92,10,164.45499999999998,48.221,1644.5499999999997,482.21
expt-app-36,3,899.394,833.0,2698.182,2499.0
expt-app-65,6,637.393,559.392,3824.358,3356.3520000000003
expt-app-78,8,229.231,162.585,1833.848,1300.68
expt-app-17,1,3179.346,3126.293,3179.346,3126.293
expt-app-64,3,1588.072,1521.613,4764.215999999999,4564.839
expt-app-18,1,472.327,397.663,472.327,397.663
expt-app-59,1,589.052,584.499,589.052,584.499
expt-app-85,6,603.6850000000001,525.226,3622.1100000000006,3151.3559999999998
expt-app-3,5,437.917,371.024,2189.585,1855.12
expt-app-49,3,1070.642,1060.027,3211.9260000000004,3180.081
expt-app-5,10,154.675,26.852,1546.75,268.52
expt-app-11,8,273.501,207.079,2188.008,1656.632
expt-app-87,3,547.47,468.747,1642.41,1406.241
expt-app-19,4,359.01,281.001,1436.04,1124.004
expt-app-72,3,739.465,659.831,2218.395,1979.493
expt-app-29,10,102.388,23.718,1023.8800000000001,237.18
expt-app-48,1,1657.039,1552.148,1657.039,1552.148
expt-app-2,10,86.235,34.515,862.35,345.15
expt-app-7,9,536.74,444.43,4830.66,3999.87
expt-app-97,7,256.658,168.878,1796.6060000000002,1182.146
expt-app-30,4,358.072,291.276,1432.288,1165.104
expt-app-63,1,680.486,613.764,680.486,613.764
expt-app-94,5,341.559,336.823,1707.795,1684.1149999999998
expt-app-25,4,676.22,603.982,2704.88,2415.928
expt-app-53,4,349.863,271.731,1399.452,1086.924
expt-app-26,2,984.124,916.705,1968.248,1833.41
expt-app-52,2,1344.5929999999998,1285.907,2689.1859999999997,2571.814
expt-app-99,2,1791.599,1686.524,3583.198,3373.048
expt-app-96,5,570.412,466.076,2852.0600000000004,2330.38
expt-app-98,7,530.946,396.357,3716.6220000000003,2774.4990000000003
expt-app-56,9,345.523,278.587,3109.7070000000003,2507.283
expt-app-6,10,511.942,377.06,5119.42,3770.6
expt-app-80,3,930.2669999999999,864.051,2790.801,2592.1530000000002
expt-app-84,7,164.779,30.131,1153.453,210.917
expt-app-61,4,863.207,758.6,3452.828,3034.4
expt-app-57,9,148.174,144.095,1333.566,1296.855
expt-app-35,1,1360.546,1301.459,1360.546,1301.459
expt-app-71,9,292.28900000000004,226.319,2630.6010000000006,2036.8709999999999
expt-app-33,6,192.959,126.046,1157.754,756.2760000000001
expt-app-51,7,100.528,22.431,703.696,157.017
expt-app-44,7,537.709,533.657,3763.9629999999997,3735.599
expt-app-69,5,957.604,830.638,4788.02,4153.1900000000005
expt-app-67,2,522.856,445.308,1045.712,890.616
expt-app-39,1,502.43000000000006,497.992,502.43000000000006,497.992
expt-app-83,7,226.3,91.099,1584.1000000000001,637.693
expt-app-54,6,269.518,190.744,1617.1079999999997,1144.464
