app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-64,10,134.79,14.233,1347.8999999999999,142.33
expt-app-4,3,1146.16,1041.036,3438.4800000000005,3123.108
expt-app-22,2,1672.0520000000001,1593.673,3344.1040000000003,3187.346
expt-app-21,3,2735.087,2654.946,8205.261,7964.838
expt-app-91,5,903.6880000000001,898.418,4518.4400000000005,4492.09
expt-app-70,7,1319.058,1213.6,9233.405999999999,8495.199999999999
expt-app-11,7,1271.3680000000002,1112.742,8899.576000000001,7789.1939999999995
expt-app-31,3,868.0179999999999,745.895,2604.0539999999996,2237.685
expt-app-84,7,538.342,403.252,3768.394,2822.764
expt-app-43,7,1432.086,1365.554,10024.602,9558.878
expt-app-87,4,1195.926,1141.374,4783.704,4565.496
expt-app-62,2,2047.3,1942.064,4094.6,3884.128
expt-app-59,7,644.953,578.517,4514.671,4049.6190000000006
expt-app-85,6,750.615,598.864,4503.6900000000005,3593.184
expt-app-20,2,1762.751,1694.934,3525.502,3389.868
expt-app-49,8,179.563,173.201,1436.504,1385.608
expt-app-94,7,1160.309,1038.865,8122.163,7272.055
expt-app-96,5,837.875,702.176,4189.375,3510.88
expt-app-83,6,866.807,783.39,5200.842000000001,4700.34
expt-app-35,9,497.77700000000004,419.146,4479.993,3772.3140000000003
expt-app-17,9,177.166,55.589,1594.494,500.301
expt-app-57,7,456.864,344.621,3198.048,2412.3469999999998
expt-app-19,2,2876.831,2740.769,5753.662,5481.538
expt-app-26,9,108.242,22.803,974.178,205.227
expt-app-42,3,1520.6,1384.777,4561.799999999999,4154.331
expt-app-16,1,4517.967,4374.467,4517.967,4374.467
expt-app-58,1,4753.0380000000005,4617.217,4753.0380000000005,4617.217
expt-app-65,7,367.554,246.238,2572.8779999999997,1723.666
expt-app-2,6,960.117,839.209,5760.701999999999,5035.254
expt-app-39,10,347.088,235.747,3470.88,2357.4700000000003
expt-app-86,3,1568.301,1563.681,4704.903,4691.043
expt-app-74,6,375.166,269.818,2250.996,1618.908
expt-app-60,5,1353.322,1273.39,6766.61,6366.950000000001
expt-app-5,9,216.31,95.99,1946.79,863.91
expt-app-36,6,1792.305,1671.047,10753.83,10026.282
expt-app-69,5,1138.2920000000001,1002.389,5691.460000000001,5011.945
expt-app-61,9,776.113,709.18,6985.017000000001,6382.62
expt-app-47,5,1075.814,946.727,5379.070000000001,4733.635
expt-app-56,4,1259.012,1191.823,5036.048,4767.292
expt-app-33,9,344.132,276.339,3097.188,2487.051
expt-app-23,2,1242.211,1091.953,2484.422,2183.906
expt-app-27,1,6339.174,6225.834,6339.174,6225.834
expt-app-9,10,752.405,685.681,7524.049999999999,6856.81
expt-app-63,5,1529.47,1372.321,7647.35,6861.605
expt-app-1,8,1028.6789999999999,949.891,8229.431999999999,7599.128
expt-app-90,10,375.318,240.044,3753.18,2400.44
expt-app-0,10,120.13300000000001,14.114,1201.3300000000002,141.14000000000001
expt-app-14,8,909.172,830.406,7273.376,6643.248
expt-app-37,2,2075.198,1954.201,4150.396,3908.402
expt-app-99,7,1088.405,967.243,7618.835,6770.701
expt-app-18,8,689.9110000000001,568.437,5519.2880000000005,4547.496
expt-app-71,8,518.126,360.558,4145.008,2884.464
expt-app-45,1,6832.936,6752.691,6832.936,6752.691
expt-app-29,3,2097.292,2018.815,6291.876,6056.445
expt-app-95,8,1043.9879999999998,923.143,8351.903999999999,7385.144
expt-app-6,3,1267.6480000000001,1146.571,3802.9440000000004,3439.7129999999997
expt-app-52,4,1049.5810000000001,913.219,4198.3240000000005,3652.876
expt-app-68,2,2138.086,2016.769,4276.172,4033.538
expt-app-89,3,953.963,875.323,2861.889,2625.969
expt-app-13,6,909.946,831.657,5459.676,4989.942
expt-app-55,5,1238.0910000000001,1162.384,6190.455000000001,5811.92
expt-app-30,7,623.02,472.896,4361.139999999999,3310.272
expt-app-12,3,1700.864,1551.858,5102.592000000001,4655.574
expt-app-72,7,108.564,96.376,759.948,674.6320000000001
expt-app-44,3,2347.3799999999997,2280.929,7042.139999999999,6842.787
expt-app-32,10,231.209,96.254,2312.09,962.5400000000001
expt-app-97,8,805.6229999999999,730.267,6444.9839999999995,5842.136
expt-app-8,3,3196.685,3142.906,9590.055,9428.718
expt-app-76,3,3614.699,3560.951,10844.097,10682.853
expt-app-67,7,1354.927,1287.067,9484.489,9009.469000000001
expt-app-78,10,160.554,55.876,1605.54,558.76
expt-app-15,1,2593.807,2526.727,2593.807,2526.727
expt-app-25,6,1349.053,1206.049,8094.318000000001,7236.294
expt-app-54,6,1336.9869999999999,1223.567,8021.921999999999,7341.402
expt-app-34,3,1745.148,1587.349,5235.4439999999995,4762.047
expt-app-38,10,119.67,40.801,1196.7,408.01
expt-app-82,2,2880.57,2758.919,5761.14,5517.838
expt-app-79,3,1760.953,1611.655,5282.859,4834.965
expt-app-48,9,884.619,879.342,7961.571,7914.0779999999995
expt-app-80,10,666.48,511.177,6664.8,5111.77
expt-app-98,3,2815.452,2809.585,8446.356,8428.755000000001
expt-app-51,8,1125.233,977.238,9001.864,7817.904
