app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-72,7,162.16400000000002,95.264,1135.1480000000001,666.848
expt-app-61,9,392.7,380.671,3534.2999999999997,3426.0389999999998
expt-app-90,10,228.613,223.876,2286.13,2238.76
expt-app-39,10,125.19800000000001,72.541,1251.98,725.41
expt-app-26,9,121.03899999999999,46.461,1089.3509999999999,418.149
expt-app-79,3,1144.538,1023.311,3433.614,3069.933
expt-app-82,2,2885.788,2735.853,5771.576,5471.706
expt-app-62,2,1416.136,1295.405,2832.272,2590.81
expt-app-9,10,415.557,402.881,4155.57,4028.8099999999995
expt-app-60,5,679.67,627.314,3398.35,3136.5699999999997
expt-app-76,3,3614.106,3508.496,10842.318000000001,10525.488000000001
expt-app-99,7,649.398,581.954,4545.786,4073.678
expt-app-87,4,809.24,730.065,3236.96,2920.26
expt-app-56,4,771.568,684.225,3086.272,2736.9
expt-app-95,8,466.645,461.591,3733.16,3692.728
expt-app-44,3,2139.273,2003.043,6417.819,6009.129
expt-app-23,2,898.7420000000001,893.341,1797.4840000000002,1786.682
expt-app-24,4,1105.113,1025.275,4420.452,4101.1
expt-app-58,1,3974.6389999999997,3907.776,3974.6389999999997,3907.776
expt-app-6,3,846.228,769.819,2538.6839999999997,2309.457
expt-app-69,5,1247.4160000000002,1241.496,6237.080000000001,6207.4800000000005
expt-app-35,9,308.209,132.193,2773.881,1189.737
expt-app-33,9,309.106,173.313,2781.9539999999997,1559.817
expt-app-22,2,1572.276,1560.111,3144.552,3120.222
expt-app-21,3,1805.288,1738.187,5415.864,5214.561
expt-app-5,9,217.504,96.002,1957.5359999999998,864.0179999999999
expt-app-37,2,1186.386,1181.355,2372.772,2362.71
expt-app-85,6,369.47,290.495,2216.82,1742.97
expt-app-34,3,935.787,795.345,2807.361,2386.035
expt-app-43,7,673.3209999999999,546.089,4713.246999999999,3822.6230000000005
expt-app-11,7,899.218,777.567,6294.526,5442.969
expt-app-47,5,627.903,507.401,3139.5150000000003,2537.005
expt-app-17,9,195.713,60.729,1761.417,546.561
expt-app-13,6,411.04400000000004,326.141,2466.264,1956.846
expt-app-14,8,431.533,326.052,3452.264,2608.416
expt-app-12,3,778.386,774.847,2335.158,2324.541
expt-app-97,8,799.076,643.468,6392.608,5147.744
expt-app-63,5,709.687,635.622,3548.435,3178.1099999999997
expt-app-88,3,1085.22,979.745,3255.66,2939.235
expt-app-84,7,293.099,226.189,2051.6929999999998,1583.3229999999999
expt-app-30,7,567.884,418.785,3975.188,2931.4950000000003
expt-app-65,7,299.95,216.099,2099.65,1512.693
expt-app-55,5,1304.6180000000002,1252.43,6523.090000000001,6262.150000000001
expt-app-94,7,1050.967,925.358,7356.769,6477.505999999999
expt-app-67,7,1033.402,922.312,7233.814,6456.184
expt-app-42,3,707.792,641.325,2123.376,1923.9750000000001
expt-app-96,5,447.23400000000004,380.142,2236.17,1900.71
expt-app-20,2,1059.399,980.27,2118.798,1960.54
expt-app-89,3,769.35,690.544,2308.05,2071.632
expt-app-36,6,1349.089,1337.436,8094.534,8024.616
expt-app-51,8,350.029,283.118,2800.232,2264.944
expt-app-74,6,286.486,207.511,1718.916,1245.066
expt-app-16,1,2844.5330000000004,2832.62,2844.5330000000004,2832.62
expt-app-80,10,367.439,263.266,3674.3900000000003,2632.6600000000003
expt-app-38,10,131.22400000000002,10.694,1312.2400000000002,106.94000000000001
expt-app-0,10,160.081,16.685,1600.81,166.85
expt-app-48,9,666.2510000000001,559.414,5996.259000000001,5034.726
expt-app-32,10,187.915,44.312,1879.1499999999999,443.12
expt-app-49,8,124.597,120.556,996.776,964.448
expt-app-54,6,1094.7530000000002,973.699,6568.518000000001,5842.1939999999995
expt-app-2,6,798.817,675.778,4792.902,4054.668
expt-app-91,5,874.9540000000001,769.707,4374.77,3848.535
expt-app-57,7,317.01800000000003,238.38,2219.126,1668.6599999999999
expt-app-64,10,79.634,13.624,796.34,136.24
expt-app-98,3,2285.424,2164.898,6856.272,6494.694
expt-app-83,6,1184.017,1047.787,7104.102000000001,6286.722
expt-app-18,8,322.246,261.027,2577.968,2088.216
expt-app-71,8,300.78,234.432,2406.24,1875.456
expt-app-92,1,2522.557,2401.19,2522.557,2401.19
expt-app-86,3,1447.761,1312.096,4343.282999999999,3936.288
expt-app-31,3,1027.75,870.878,3083.25,2612.634
expt-app-25,6,654.0550000000001,519.091,3924.3300000000004,3114.5460000000003
expt-app-1,8,733.7289999999999,612.243,5869.831999999999,4897.944
expt-app-19,2,2223.1580000000004,2116.204,4446.316000000001,4232.408
expt-app-68,2,1076.8660000000002,1071.697,2153.7320000000004,2143.394
expt-app-70,7,835.033,767.966,5845.231,5375.762
expt-app-4,3,1110.084,952.733,3330.2520000000004,2858.1989999999996
expt-app-59,7,509.92,443.258,3569.44,3102.806
expt-app-52,4,480.193,475.706,1920.772,1902.824
expt-app-78,10,234.146,84.112,2341.46,841.1199999999999
expt-app-15,1,2188.341,2109.084,2188.341,2109.084
