app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-82,2,2677.2619999999997,2664.808,5354.523999999999,5329.616
expt-app-7,1,1100.358,995.946,1100.358,995.946
expt-app-58,1,3378.007,3311.321,3378.007,3311.321
expt-app-24,4,1314.203,1171.997,5256.812,4687.988
expt-app-89,3,738.694,671.792,2216.082,2015.3760000000002
expt-app-61,9,682.671,678.404,6144.039000000001,6105.636
expt-app-63,5,961.8910000000001,896.014,4809.455,4480.07
expt-app-6,3,727.1260000000001,722.891,2181.378,2168.673
expt-app-68,2,755.37,680.829,1510.74,1361.658
expt-app-22,2,1360.7610000000002,1282.307,2721.5220000000004,2564.614
expt-app-69,5,934.851,856.333,4674.255,4281.665
expt-app-90,10,229.666,225.042,2296.66,2250.42
expt-app-51,8,1083.365,1016.893,8666.92,8135.144
expt-app-52,4,653.6149999999999,586.744,2614.4599999999996,2346.976
expt-app-57,7,264.34000000000003,185.636,1850.38,1299.452
expt-app-14,8,400.305,396.186,3202.44,3169.488
expt-app-83,6,1378.1190000000001,1299.457,8268.714,7796.742
expt-app-96,5,989.871,923.068,4949.355,4615.34
expt-app-87,4,726.256,590.654,2905.024,2362.616
expt-app-19,2,1908.952,1781.373,3817.904,3562.746
expt-app-32,10,158.405,79.963,1584.05,799.6299999999999
expt-app-2,6,1464.347,1377.536,8786.082,8265.216
expt-app-99,7,1364.055,1297.317,9548.385,9081.219000000001
expt-app-47,5,396.45599999999996,344.357,1982.2799999999997,1721.785
expt-app-36,6,1555.182,1502.104,9331.092,9012.624
expt-app-97,8,297.96299999999997,219.379,2383.7039999999997,1755.032
expt-app-95,8,447.527,443.07,3580.216,3544.56
expt-app-60,5,870.384,759.342,4351.92,3796.71
expt-app-26,9,56.453,47.715,508.077,429.43500000000006
expt-app-48,9,420.589,415.793,3785.301,3742.137
expt-app-92,1,1788.452,1709.352,1788.452,1709.352
expt-app-44,3,1746.089,1625.648,5238.267,4876.9439999999995
expt-app-13,6,423.445,345.172,2540.67,2071.032
expt-app-39,10,153.03300000000002,142.93,1530.3300000000002,1429.3000000000002
expt-app-85,6,319.41700000000003,240.663,1916.5020000000002,1443.978
expt-app-80,10,249.31300000000002,245.066,2493.13,2450.66
expt-app-18,8,344.31,278.081,2754.48,2224.648
expt-app-29,3,1949.1480000000001,1938.044,5847.444,5814.1320000000005
expt-app-49,8,136.55,85.034,1092.4,680.272
expt-app-30,7,186.75300000000001,133.603,1307.2710000000002,935.221
expt-app-43,7,655.4499999999999,577.259,4588.15,4040.813
expt-app-37,2,755.1600000000001,650.541,1510.3200000000002,1301.082
expt-app-0,10,165.72500000000002,23.23,1657.2500000000002,232.3
expt-app-8,3,1936.456,1931.228,5809.3679999999995,5793.684
expt-app-94,7,816.466,763.152,5715.262,5342.064
expt-app-64,10,23.994,19.474,239.94,194.74
expt-app-4,3,994.478,908.335,2983.4339999999997,2725.005
expt-app-35,9,658.722,592.937,5928.498,5336.433
expt-app-34,3,624.737,557.868,1874.2109999999998,1673.6040000000003
expt-app-20,2,606.017,539.479,1212.034,1078.958
expt-app-74,6,214.28,109.348,1285.68,656.088
expt-app-86,3,1172.2749999999999,1093.838,3516.825,3281.514
expt-app-5,9,162.189,95.787,1459.701,862.0830000000001
expt-app-91,5,774.336,699.897,3871.6800000000003,3499.485
expt-app-71,8,203.32,136.931,1626.56,1095.448
expt-app-15,1,2024.8400000000001,1958.332,2024.8400000000001,1958.332
expt-app-67,7,1105.673,984.472,7739.711,6891.304
expt-app-9,10,274.988,264.485,2749.88,2644.8500000000004
expt-app-25,6,717.092,650.493,4302.552,3902.9580000000005
expt-app-59,7,507.176,441.036,3550.232,3087.252
expt-app-55,5,983.459,904.479,4917.295,4522.395
expt-app-65,7,353.118,248.001,2471.826,1736.007
expt-app-88,3,979.831,906.108,2939.493,2718.3239999999996
expt-app-12,3,829.0849999999999,724.558,2487.2549999999997,2173.674
expt-app-54,6,954.823,834.055,5728.938,5004.33
expt-app-72,7,145.082,40.438,1015.574,283.06600000000003
expt-app-1,8,696.1899999999999,583.428,5569.5199999999995,4667.424
expt-app-23,2,740.039,665.871,1480.078,1331.742
expt-app-38,10,118.923,41.094,1189.23,410.94
expt-app-56,4,620.519,485.468,2482.076,1941.872
expt-app-16,1,2282.775,2140.445,2282.775,2140.445
expt-app-31,3,916.593,850.799,2749.779,2552.397
expt-app-98,3,2518.6259999999997,2446.462,7555.877999999999,7339.386
expt-app-11,7,1088.484,967.245,7619.387999999999,6770.715
expt-app-79,3,833.834,728.643,2501.502,2185.929
expt-app-17,9,133.429,55.484,1200.861,499.356
expt-app-70,7,756.951,690.594,5298.657,4834.158
expt-app-84,7,264.932,186.561,1854.5240000000001,1305.9270000000001
expt-app-62,2,860.217,754.981,1720.434,1509.962
expt-app-21,3,1606.261,1461.118,4818.782999999999,4383.353999999999
expt-app-78,10,191.662,70.8,1916.6200000000001,708.0
expt-app-76,3,2660.026,2539.238,7980.0779999999995,7617.714
expt-app-42,3,491.556,425.048,1474.668,1275.144
