app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-58,4,1406.186,1353.616,5624.744,5414.464
expt-app-0,9,165.184,78.856,1486.656,709.704
expt-app-61,9,169.375,20.617,1524.375,185.553
expt-app-57,4,2349.8,2297.285,9399.2,9189.14
expt-app-14,9,512.437,376.897,4611.933,3392.073
expt-app-87,5,707.596,573.136,3537.98,2865.68
expt-app-36,7,852.606,748.451,5968.242,5239.157
expt-app-41,4,800.744,666.069,3202.976,2664.276
expt-app-21,9,176.876,110.269,1591.884,992.421
expt-app-70,4,525.646,405.017,2102.584,1620.068
expt-app-98,3,639.6899999999999,576.928,1919.0699999999997,1730.784
expt-app-8,9,403.84799999999996,399.264,3634.6319999999996,3593.376
expt-app-37,8,180.127,112.192,1441.016,897.536
expt-app-16,4,1158.404,1022.21,4633.616,4088.84
expt-app-62,7,335.712,230.666,2349.984,1614.662
expt-app-84,7,807.847,731.492,5654.929,5120.4439999999995
expt-app-82,6,504.313,425.887,3025.8779999999997,2555.322
expt-app-93,3,585.073,580.596,1755.219,1741.788
expt-app-29,4,1435.189,1325.12,5740.756,5300.48
expt-app-52,10,105.965,18.337,1059.65,183.37
expt-app-7,6,588.252,453.073,3529.5119999999997,2718.438
expt-app-95,10,250.145,176.015,2501.4500000000003,1760.1499999999999
expt-app-6,4,1171.385,1066.206,4685.54,4264.824
expt-app-38,10,160.529,122.316,1605.29,1223.16
expt-app-90,8,576.933,456.933,4615.464,3655.464
expt-app-75,4,2597.869,2492.494,10391.476,9969.976
expt-app-30,6,841.626,763.325,5049.755999999999,4579.950000000001
expt-app-74,5,1964.21,1858.89,9821.05,9294.45
expt-app-79,7,1634.026,1498.254,11438.182,10487.777999999998
expt-app-13,3,815.142,685.791,2445.4260000000004,2057.373
expt-app-28,4,969.555,964.301,3878.22,3857.204
expt-app-88,4,597.77,476.677,2391.08,1906.708
expt-app-63,3,571.194,460.03,1713.5819999999999,1380.09
expt-app-1,1,1249.19,1182.832,1249.19,1182.832
expt-app-47,10,189.606,110.803,1896.06,1108.03
expt-app-69,1,629.8190000000001,555.42,629.8190000000001,555.42
expt-app-97,10,292.554,206.619,2925.54,2066.19
expt-app-22,3,2348.7529999999997,2296.427,7046.258999999999,6889.281000000001
expt-app-56,1,605.2950000000001,532.029,605.2950000000001,532.029
expt-app-9,5,1126.058,1047.114,5630.29,5235.57
expt-app-35,3,381.26500000000004,276.142,1143.795,828.4259999999999
expt-app-54,6,245.48600000000002,178.947,1472.9160000000002,1073.682
expt-app-86,9,222.39999999999998,216.354,2001.6,1947.1860000000001
expt-app-20,3,959.415,854.416,2878.245,2563.248
expt-app-68,8,864.5659999999999,743.282,6916.527999999999,5946.256
expt-app-31,9,569.627,491.645,5126.643,4424.805
expt-app-5,6,234.127,167.257,1404.7620000000002,1003.542
expt-app-83,3,3955.01,3800.302,11865.03,11400.906
expt-app-18,7,644.276,577.415,4509.932,4041.9049999999997
expt-app-60,10,30.366,20.147,303.65999999999997,201.46999999999997
expt-app-71,9,301.44100000000003,213.897,2712.969,1925.0729999999999
expt-app-94,5,802.3209999999999,728.178,4011.6049999999996,3640.89
expt-app-59,5,955.99,951.75,4779.95,4758.75
expt-app-2,4,573.638,505.83,2294.552,2023.32
expt-app-77,7,235.37199999999999,156.26,1647.6039999999998,1093.82
expt-app-76,10,173.30599999999998,17.449,1733.06,174.49
expt-app-80,9,615.052,480.65,5535.468,4325.849999999999
expt-app-19,5,584.3779999999999,448.643,2921.8899999999994,2243.2149999999997
expt-app-48,9,96.64699999999999,18.794,869.8229999999999,169.14600000000002
expt-app-44,2,760.276,639.982,1520.552,1279.964
expt-app-4,10,424.23699999999997,289.248,4242.37,2892.48
expt-app-85,5,983.217,848.593,4916.085,4242.965
expt-app-27,7,172.588,67.951,1208.116,475.6569999999999
expt-app-39,4,1345.7630000000001,1266.707,5383.052000000001,5066.828
expt-app-73,4,918.639,797.503,3674.556,3190.012
expt-app-43,6,990.64,841.192,5943.84,5047.152
expt-app-45,9,336.569,216.094,3029.121,1944.846
expt-app-99,10,168.03699999999998,81.657,1680.37,816.5699999999999
expt-app-24,9,185.249,125.82,1667.241,1132.3799999999999
expt-app-50,9,646.688,484.366,5820.192,4359.294
expt-app-72,8,164.156,95.734,1313.248,765.872
expt-app-11,8,416.317,411.542,3330.536,3292.336
expt-app-3,9,469.853,320.65,4228.677,2885.85
