app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-85,5,567.77,560.751,2838.85,2803.755
expt-app-73,4,632.5229999999999,496.587,2530.0919999999996,1986.348
expt-app-24,9,301.61199999999997,180.433,2714.508,1623.897
expt-app-22,3,2447.997,2441.004,7343.991,7323.012
expt-app-21,9,423.59999999999997,274.353,3812.3999999999996,2469.177
expt-app-0,9,116.161,11.128,1045.449,100.152
expt-app-3,9,577.914,409.061,5201.226,3681.549
expt-app-29,4,1238.191,1158.451,4952.764,4633.804
expt-app-48,9,97.865,18.725,880.785,168.525
expt-app-52,10,175.96200000000002,40.844,1759.6200000000001,408.44
expt-app-69,1,781.716,638.87,781.716,638.87
expt-app-79,7,1744.471,1623.063,12211.297,11361.441
expt-app-77,7,140.975,73.642,986.8249999999999,515.4939999999999
expt-app-16,4,701.37,695.376,2805.48,2781.504
expt-app-86,9,146.418,132.665,1317.7620000000002,1193.985
expt-app-74,5,1927.3039999999999,1821.385,9636.519999999999,9106.925
expt-app-41,4,722.3960000000001,610.705,2889.5840000000003,2442.82
expt-app-99,10,228.869,85.564,2288.69,855.6399999999999
expt-app-30,6,999.574,914.274,5997.4439999999995,5485.644
expt-app-56,1,763.985,642.546,763.985,642.546
expt-app-27,7,163.50400000000002,97.034,1144.5280000000002,679.238
expt-app-43,6,942.736,793.225,5656.416,4759.35
expt-app-59,5,936.781,861.922,4683.905,4309.610000000001
expt-app-83,3,3272.2850000000003,3195.821,9816.855000000001,9587.463
expt-app-18,7,752.3290000000001,631.167,5266.303000000001,4418.169
expt-app-61,9,170.303,35.329,1532.7269999999999,317.961
expt-app-97,10,161.186,149.226,1611.8600000000001,1492.26
expt-app-62,7,456.098,306.984,3192.686,2148.888
expt-app-8,9,318.125,312.721,2863.125,2814.489
expt-app-65,9,593.414,487.9,5340.726,4391.099999999999
expt-app-76,10,78.337,11.684,783.37,116.83999999999999
expt-app-23,9,358.009,292.189,3222.081,2629.701
expt-app-12,9,398.966,320.276,3590.694,2882.484
expt-app-1,1,1344.807,1238.676,1344.807,1238.676
expt-app-82,6,422.913,343.991,2537.478,2063.946
expt-app-71,9,185.15499999999997,124.819,1666.3949999999998,1123.371
expt-app-5,6,346.145,241.437,2076.87,1448.622
expt-app-60,10,96.27199999999999,17.367,962.7199999999999,173.67000000000002
expt-app-84,7,655.2529999999999,602.604,4586.771,4218.228
expt-app-88,4,852.194,693.477,3408.776,2773.908
expt-app-58,4,1349.1409999999998,1228.379,5396.563999999999,4913.516
expt-app-94,5,746.115,671.673,3730.575,3358.365
expt-app-91,7,995.274,927.999,6966.918,6495.993
expt-app-35,3,562.213,405.273,1686.639,1215.819
expt-app-7,6,556.933,412.805,3341.598,2476.83
expt-app-2,4,718.496,603.984,2873.984,2415.936
expt-app-54,6,225.585,146.872,1353.51,881.2320000000001
expt-app-63,3,550.01,497.889,1650.03,1493.667
expt-app-70,4,545.5419999999999,478.269,2182.1679999999997,1913.076
expt-app-6,4,867.98,800.903,3471.92,3203.612
expt-app-14,9,407.80100000000004,286.845,3670.2090000000003,2581.6050000000005
expt-app-47,10,156.86,21.7,1568.6000000000001,217.0
expt-app-4,10,120.745,115.252,1207.45,1152.52
expt-app-57,4,2316.844,2211.37,9267.376,8845.48
expt-app-36,7,836.976,825.952,5858.832,5781.664
expt-app-11,8,876.9090000000001,794.019,7015.272000000001,6352.152
expt-app-80,9,317.887,239.493,2860.983,2155.437
expt-app-78,2,1571.974,1504.73,3143.948,3009.46
expt-app-19,5,558.553,445.061,2792.765,2225.305
expt-app-95,10,281.54699999999997,152.667,2815.47,1526.67
expt-app-37,8,263.21099999999996,128.222,2105.6879999999996,1025.776
expt-app-90,8,210.145,157.85,1681.16,1262.8
expt-app-38,10,120.46900000000001,54.223,1204.69,542.23
expt-app-50,9,605.483,446.202,5449.347,4015.818
expt-app-75,4,2449.77,2396.328,9799.08,9585.312
expt-app-31,9,537.6619999999999,470.153,4838.958,4231.377
expt-app-9,5,969.291,819.357,4846.455,4096.785
expt-app-39,4,1103.1200000000001,967.608,4412.4800000000005,3870.432
expt-app-72,8,305.311,176.074,2442.488,1408.592
expt-app-93,3,639.5790000000001,490.729,1918.737,1472.187
expt-app-87,5,739.047,590.155,3695.235,2950.7749999999996
expt-app-45,9,183.252,115.857,1649.268,1042.713
expt-app-68,8,440.995,358.443,3527.96,2867.544
expt-app-44,2,786.781,650.789,1573.562,1301.578
