app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-48,9,98.043,18.682,882.3870000000001,168.13799999999998
expt-app-6,4,770.26,703.201,3081.04,2812.804
expt-app-4,10,119.994,114.799,1199.94,1147.99
expt-app-68,8,399.156,320.769,3193.248,2566.152
expt-app-3,9,507.416,357.914,4566.744,3221.2259999999997
expt-app-69,1,772.63,637.573,772.63,637.573
expt-app-1,1,1349.252,1243.867,1349.252,1243.867
expt-app-85,5,559.645,554.805,2798.225,2774.0249999999996
expt-app-97,10,144.485,139.846,1444.8500000000001,1398.46
expt-app-58,4,1348.95,1228.194,5395.8,4912.776
expt-app-61,9,177.977,35.396,1601.7930000000001,318.564
expt-app-37,8,266.392,123.07,2131.136,984.56
expt-app-16,4,708.912,704.814,2835.648,2819.256
expt-app-18,7,774.6429999999999,653.368,5422.500999999999,4573.576
expt-app-74,5,2514.525,2408.959,12572.625,12044.794999999998
expt-app-29,4,1193.788,1105.518,4775.152,4422.072
expt-app-39,4,1186.509,1051.21,4746.036,4204.84
expt-app-11,8,637.4060000000001,526.192,5099.2480000000005,4209.536
expt-app-14,9,336.561,215.946,3029.049,1943.514
expt-app-5,6,302.184,197.268,1813.1040000000003,1183.608
expt-app-93,3,664.049,514.226,1992.147,1542.6779999999999
expt-app-94,5,654.814,582.007,3274.0699999999997,2910.035
expt-app-31,9,439.968,373.652,3959.712,3362.868
expt-app-8,9,243.98600000000002,239.026,2195.8740000000003,2151.234
expt-app-78,2,1623.127,1556.096,3246.254,3112.192
expt-app-43,6,938.9380000000001,780.739,5633.628000000001,4684.434
expt-app-72,8,296.246,175.493,2369.968,1403.944
expt-app-57,4,2526.685,2413.841,10106.74,9655.364
expt-app-95,10,272.717,151.605,2727.17,1516.05
expt-app-76,10,78.30199999999999,11.85,783.02,118.5
expt-app-47,10,157.109,21.973,1571.0900000000001,219.73
expt-app-83,3,3848.114,3780.481,11544.342,11341.443000000001
expt-app-22,3,2843.953,2826.697,8531.859,8480.091
expt-app-62,7,453.239,304.849,3172.673,2133.9429999999998
expt-app-70,4,572.323,505.552,2289.292,2022.208
expt-app-35,3,607.529,457.799,1822.587,1373.397
expt-app-80,9,351.31800000000004,272.813,3161.8620000000005,2455.317
expt-app-36,7,513.1210000000001,508.503,3591.8470000000007,3559.5209999999997
expt-app-27,7,128.002,54.048,896.0140000000001,378.336
expt-app-84,7,748.038,695.079,5236.266,4865.553
expt-app-24,9,301.294,180.409,2711.6459999999997,1623.681
expt-app-71,9,250.41600000000003,197.788,2253.744,1780.092
expt-app-73,4,641.888,497.107,2567.552,1988.428
expt-app-23,9,378.056,302.268,3402.504,2720.412
expt-app-87,5,753.007,603.893,3765.035,3019.465
expt-app-2,4,717.87,613.269,2871.48,2453.076
expt-app-54,6,278.892,200.789,1673.3519999999999,1204.734
expt-app-82,6,450.23,372.08,2701.38,2232.48
expt-app-56,1,743.869,622.801,743.869,622.801
expt-app-7,6,441.496,306.313,2648.9759999999997,1837.878
expt-app-79,7,1827.587,1699.276,12793.109,11894.932
expt-app-0,9,113.815,8.836,1024.335,79.524
expt-app-99,10,229.02800000000002,86.222,2290.28,862.2199999999999
expt-app-9,5,993.325,837.998,4966.625,4189.99
expt-app-38,10,128.457,54.284,1284.57,542.84
expt-app-90,8,209.458,157.112,1675.664,1256.896
expt-app-41,4,729.8449999999999,616.318,2919.3799999999997,2465.272
expt-app-19,5,554.284,449.283,2771.42,2246.415
expt-app-21,9,420.606,271.179,3785.4539999999997,2440.611
expt-app-44,2,850.858,715.532,1701.716,1431.064
expt-app-75,4,2685.458,2632.134,10741.832,10528.536
expt-app-60,10,110.241,31.563,1102.41,315.63
expt-app-59,5,770.009,704.085,3850.045,3520.425
expt-app-52,10,187.729,44.2,1877.2900000000002,442.0
expt-app-30,6,1205.478,1118.788,7232.868,6712.728
expt-app-77,7,160.464,94.134,1123.248,658.938
expt-app-45,9,183.094,115.744,1647.846,1041.696
expt-app-86,9,125.86800000000001,120.986,1132.8120000000001,1088.874
expt-app-63,3,597.576,545.043,1792.728,1635.129
expt-app-50,9,712.687,558.103,6414.183,5022.927
expt-app-91,7,1029.463,962.102,7206.241,6734.714
expt-app-12,9,398.704,319.74,3588.3360000000002,2877.66
expt-app-88,4,836.813,687.506,3347.252,2750.024
expt-app-65,9,686.59,580.83,6179.31,5227.47
