app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-37,8,255.62400000000002,113.222,2044.9920000000002,905.776
expt-app-55,1,2108.4809999999998,2038.798,2108.4809999999998,2038.798
expt-app-45,9,182.836,70.216,1645.5240000000001,631.944
expt-app-95,10,121.332,55.532,1213.32,555.3199999999999
expt-app-50,9,261.71,208.718,2355.39,1878.462
expt-app-27,7,133.01399999999998,54.551,931.0979999999998,381.857
expt-app-71,9,347.791,212.069,3130.119,1908.6209999999999
expt-app-44,2,704.7719999999999,630.189,1409.5439999999999,1260.378
expt-app-56,1,245.395,166.9,245.395,166.9
expt-app-48,9,93.042,26.433,837.378,237.897
expt-app-76,10,79.027,12.494,790.27,124.94
expt-app-86,9,123.019,118.494,1107.171,1066.446
expt-app-92,2,1301.243,1180.274,2602.486,2360.548
expt-app-11,8,482.783,347.306,3862.264,2778.448
expt-app-62,7,160.333,73.563,1122.331,514.941
expt-app-21,9,158.31400000000002,91.131,1424.8260000000002,820.179
expt-app-84,7,279.524,226.743,1956.6680000000001,1587.201
expt-app-80,9,306.201,227.655,2755.809,2048.895
expt-app-29,4,903.113,898.169,3612.452,3592.676
expt-app-49,1,587.5989999999999,520.196,587.5989999999999,520.196
expt-app-70,4,208.499,129.748,833.996,518.992
expt-app-87,5,358.38399999999996,284.573,1791.9199999999998,1422.8649999999998
expt-app-6,4,711.2270000000001,632.677,2844.9080000000004,2530.708
expt-app-94,5,570.697,436.122,2853.485,2180.61
expt-app-82,6,276.13100000000003,209.185,1656.786,1255.1100000000001
expt-app-59,5,647.7230000000001,638.164,3238.6150000000002,3190.8199999999997
expt-app-35,3,340.71299999999997,329.211,1022.1389999999999,987.633
expt-app-47,10,131.091,64.442,1310.91,644.42
expt-app-25,2,903.513,850.755,1807.026,1701.51
expt-app-2,4,468.214,463.24,1872.856,1852.96
expt-app-34,1,2001.724,1990.99,2001.724,1990.99
expt-app-19,5,300.594,233.926,1502.97,1169.6299999999999
expt-app-4,10,343.262,207.893,3432.62,2078.93
expt-app-9,5,663.695,596.875,3318.4750000000004,2984.375
expt-app-16,4,801.4069999999999,644.625,3205.6279999999997,2578.5
expt-app-97,10,264.601,186.018,2646.01,1860.18
expt-app-60,10,111.902,7.008,1119.02,70.08
expt-app-85,5,628.6370000000001,561.908,3143.1850000000004,2809.54
expt-app-73,4,652.336,503.42,2609.344,2013.68
expt-app-88,4,255.36599999999999,176.842,1021.4639999999999,707.368
expt-app-7,6,411.30100000000004,397.472,2467.8060000000005,2384.832
expt-app-46,1,1992.92,1988.186,1992.92,1988.186
expt-app-61,9,109.357,31.065,984.213,279.58500000000004
expt-app-54,6,281.571,177.585,1689.4260000000002,1065.51
expt-app-12,9,169.545,117.024,1525.905,1053.216
expt-app-72,8,117.75,45.852,942.0,366.816
expt-app-63,3,397.572,392.67,1192.716,1178.01
expt-app-15,1,1867.453,1814.433,1867.453,1814.433
expt-app-18,7,277.76,200.276,1944.32,1401.932
expt-app-1,1,867.955,792.113,867.955,792.113
expt-app-38,10,152.745,17.79,1527.45,177.89999999999998
expt-app-52,10,159.601,24.553,1596.01,245.53
expt-app-93,3,542.745,476.459,1628.2350000000001,1429.377
expt-app-53,3,707.118,653.848,2121.3540000000003,1961.5439999999999
expt-app-36,7,577.748,434.941,4044.2360000000003,3044.587
expt-app-8,9,332.743,197.363,2994.687,1776.267
expt-app-43,6,778.8929999999999,636.774,4673.357999999999,3820.6440000000002
expt-app-58,4,1206.844,1128.159,4827.376,4512.636
expt-app-3,9,267.716,189.264,2409.444,1703.3760000000002
expt-app-31,9,373.604,238.24,3362.4359999999997,2144.16
expt-app-41,4,309.584,230.962,1238.336,923.848
expt-app-0,9,50.476,45.286,454.284,407.574
expt-app-77,7,418.438,268.402,2929.066,1878.8139999999999
expt-app-79,7,555.761,468.297,3890.3269999999998,3278.079
expt-app-5,6,230.252,164.047,1381.5120000000002,984.2819999999999
expt-app-90,8,447.37300000000005,442.266,3578.9840000000004,3538.128
expt-app-13,3,710.686,634.591,2132.058,1903.7730000000001
expt-app-24,9,96.494,85.515,868.446,769.635
expt-app-68,8,503.991,425.524,4031.928,3404.192
expt-app-64,6,774.952,652.911,4649.7119999999995,3917.4659999999994
expt-app-14,9,247.953,113.237,2231.577,1019.1329999999999
expt-app-99,10,202.484,81.365,2024.8400000000001,813.65
expt-app-39,4,797.8570000000001,784.694,3191.4280000000003,3138.776
expt-app-10,2,817.727,712.987,1635.454,1425.974
