app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-7,4,1243.7959999999998,1108.477,4975.183999999999,4433.908
expt-app-42,8,495.102,428.707,3960.816,3429.656
expt-app-55,3,129.505,24.951,388.515,74.85300000000001
expt-app-86,2,1182.56,1061.436,2365.12,2122.872
expt-app-2,4,387.264,282.268,1549.056,1129.072
expt-app-37,10,174.647,39.715,1746.4699999999998,397.15000000000003
expt-app-96,9,417.45500000000004,350.732,3757.0950000000003,3156.588
expt-app-16,1,821.0260000000001,815.857,821.0260000000001,815.857
expt-app-63,6,1209.531,1198.436,7257.186,7190.616
expt-app-30,4,1049.411,936.956,4197.644,3747.824
expt-app-14,10,215.803,70.801,2158.0299999999997,708.01
expt-app-65,9,435.375,314.464,3918.375,2830.176
expt-app-20,5,864.5469999999999,722.089,4322.735,3610.445
expt-app-0,8,229.996,95.129,1839.968,761.032
expt-app-80,6,1616.617,1536.907,9699.702,9221.442
expt-app-81,9,445.11899999999997,378.324,4006.071,3404.916
expt-app-83,9,432.13800000000003,297.303,3889.242,2675.727
expt-app-25,10,55.074999999999996,41.769,550.75,417.69
expt-app-98,9,449.77099999999996,314.319,4047.9389999999994,2828.871
expt-app-91,8,508.622,381.142,4068.976,3049.136
expt-app-15,9,760.413,604.186,6843.717000000001,5437.674
expt-app-21,7,658.059,512.087,4606.413,3584.609
expt-app-93,10,340.632,219.952,3406.32,2199.52
expt-app-79,4,995.939,991.733,3983.756,3966.932
expt-app-33,5,776.2139999999999,664.051,3881.0699999999997,3320.255
expt-app-84,7,442.131,362.949,3094.917,2540.643
expt-app-35,7,419.524,340.48,2936.668,2383.36
expt-app-22,7,1308.762,1159.898,9161.333999999999,8119.285999999999
expt-app-74,8,804.971,752.19,6439.768,6017.52
expt-app-77,7,521.0500000000001,433.016,3647.3500000000004,3031.112
expt-app-59,8,537.479,470.528,4299.832,3764.224
expt-app-90,7,770.99,612.67,5396.93,4288.69
expt-app-75,2,1404.287,1298.838,2808.574,2597.676
expt-app-97,2,1330.0430000000001,1209.719,2660.0860000000002,2419.438
expt-app-69,7,351.571,216.403,2460.9970000000003,1514.821
expt-app-31,10,178.19299999999998,57.636,1781.9299999999998,576.36
expt-app-3,2,1872.854,1813.507,3745.708,3627.014
expt-app-76,10,115.333,56.464,1153.33,564.64
expt-app-10,2,165.198,60.262,330.396,120.524
expt-app-78,10,149.43,14.977,1494.3000000000002,149.77
expt-app-29,8,176.354,31.716,1410.832,253.728
expt-app-18,6,238.861,186.837,1433.166,1121.022
expt-app-11,4,1034.868,914.222,4139.472,3656.888
expt-app-88,7,85.77,81.531,600.39,570.7170000000001
expt-app-32,9,169.178,142.798,1522.6019999999999,1285.182
expt-app-57,8,293.998,288.985,2351.984,2311.88
expt-app-4,8,228.489,161.907,1827.912,1295.256
expt-app-94,6,1440.766,1311.855,8644.596000000001,7871.13
expt-app-24,10,246.701,89.343,2467.0099999999998,893.4300000000001
expt-app-40,10,216.208,142.729,2162.08,1427.2900000000002
expt-app-9,9,188.312,53.824,1694.808,484.416
expt-app-6,3,426.199,373.575,1278.597,1120.725
expt-app-49,9,101.113,22.839,910.017,205.551
expt-app-60,7,472.38599999999997,467.444,3306.7019999999998,3272.108
expt-app-50,10,122.837,10.749,1228.3700000000001,107.49000000000001
expt-app-36,3,2230.3489999999997,2151.112,6691.046999999999,6453.336
expt-app-82,7,706.825,640.064,4947.775000000001,4480.447999999999
expt-app-67,7,407.587,303.245,2853.109,2122.715
expt-app-95,2,386.38800000000003,265.776,772.7760000000001,531.552
expt-app-47,7,268.212,189.058,1877.484,1323.406
expt-app-23,6,1537.8480000000002,1411.54,9227.088000000002,8469.24
