app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-93,10,143.095,76.338,1430.95,763.3799999999999
expt-app-12,9,568.194,418.901,5113.745999999999,3770.109
expt-app-0,8,374.276,224.57,2994.208,1796.56
expt-app-88,7,196.75799999999998,75.938,1377.3059999999998,531.566
expt-app-11,4,1017.6970000000001,950.651,4070.7880000000005,3802.604
expt-app-75,2,1508.406,1359.369,3016.812,2718.738
expt-app-1,1,1929.847,1924.379,1929.847,1924.379
expt-app-4,8,522.486,402.183,4179.888,3217.464
expt-app-16,1,959.6569999999999,880.903,959.6569999999999,880.903
expt-app-6,3,521.437,469.174,1564.3110000000001,1407.522
expt-app-29,8,181.674,33.037,1453.392,264.296
expt-app-41,8,1002.118,873.567,8016.944,6988.536
expt-app-65,9,459.657,446.065,4136.913,4014.585
expt-app-77,7,628.38,516.648,4398.66,3616.536
expt-app-24,10,95.44900000000001,81.942,954.4900000000001,819.42
expt-app-40,10,424.73100000000005,304.353,4247.31,3043.53
expt-app-95,2,490.431,403.547,980.862,807.094
expt-app-98,9,110.65899999999999,105.731,995.9309999999999,951.579
expt-app-60,7,523.544,444.542,3664.808,3111.794
expt-app-83,9,181.254,113.673,1631.2859999999998,1023.057
expt-app-52,8,1167.818,1079.849,9342.544,8638.792
expt-app-74,8,1029.6680000000001,848.131,8237.344000000001,6785.048
expt-app-64,6,1533.298,1428.631,9199.788,8571.786
expt-app-5,2,2784.0150000000003,2717.085,5568.030000000001,5434.17
expt-app-18,6,353.55199999999996,267.837,2121.312,1607.022
expt-app-27,8,1120.834,1115.794,8966.672,8926.352
expt-app-58,2,3328.752,3171.5,6657.504,6343.0
expt-app-9,9,163.978,29.302,1475.8020000000001,263.718
expt-app-15,9,541.048,536.86,4869.432,4831.74
expt-app-14,10,212.083,67.155,2120.83,671.55
expt-app-81,9,656.59,512.875,5909.31,4615.875
expt-app-76,10,119.80300000000001,41.695,1198.0300000000002,416.95
expt-app-28,2,2849.679,2782.635,5699.358,5565.27
expt-app-33,5,606.6179999999999,601.048,3033.0899999999997,3005.24
expt-app-47,7,282.049,132.721,1974.3429999999998,929.047
expt-app-69,7,575.416,455.279,4027.9120000000003,3186.953
expt-app-31,10,134.66400000000002,57.107,1346.64,571.0699999999999
expt-app-10,2,368.449,232.043,736.898,464.086
expt-app-3,2,1790.3029999999999,1633.187,3580.6059999999998,3266.374
expt-app-91,8,510.30600000000004,443.791,4082.4480000000003,3550.328
expt-app-30,4,979.917,912.502,3919.668,3650.008
expt-app-71,7,2123.404,2010.563,14863.828,14073.941
expt-app-25,10,286.962,182.288,2869.62,1822.88
expt-app-49,9,108.038,23.17,972.342,208.53000000000003
expt-app-78,10,95.357,19.478,953.5699999999999,194.78000000000003
expt-app-96,9,401.148,280.252,3610.3320000000003,2522.268
expt-app-20,5,1046.2089999999998,899.009,5231.044999999999,4495.045
expt-app-37,10,113.572,34.788,1135.72,347.88
expt-app-45,1,3006.815,2870.061,3006.815,2870.061
expt-app-50,10,77.59299999999999,73.066,775.9299999999998,730.6600000000001
expt-app-79,4,1103.1779999999999,1036.39,4412.7119999999995,4145.56
expt-app-32,9,73.735,68.607,663.615,617.463
expt-app-19,1,1989.7849999999999,1913.318,1989.7849999999999,1913.318
expt-app-57,8,379.448,275.225,3035.584,2201.8
expt-app-36,3,2100.71,2016.489,6302.13,6049.467000000001
expt-app-97,2,1309.5220000000002,1242.811,2619.0440000000003,2485.622
expt-app-89,9,348.264,297.848,3134.376,2680.632
expt-app-2,4,377.927,324.843,1511.708,1299.372
expt-app-55,3,133.22400000000002,59.709,399.672,179.127
expt-app-59,8,558.115,444.294,4464.92,3554.352
expt-app-63,6,1252.899,1186.445,7517.393999999999,7118.67
expt-app-42,8,310.072,230.835,2480.576,1846.68
expt-app-67,7,604.817,468.652,4233.719,3280.564
expt-app-7,4,1394.789,1245.463,5579.156,4981.852
