app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-76,10,163.707,79.474,1637.07,794.74
expt-app-0,8,302.371,171.573,2418.968,1372.584
expt-app-32,9,149.175,63.507,1342.575,571.563
expt-app-50,10,157.87699999999998,15.61,1578.7699999999998,156.1
expt-app-29,8,190.244,33.535,1521.952,268.28
expt-app-88,7,148.301,75.39,1038.107,527.73
expt-app-55,3,169.363,26.826,508.089,80.47800000000001
expt-app-69,7,424.345,349.503,2970.415,2446.5209999999997
expt-app-78,10,181.867,23.951,1818.6699999999998,239.51
expt-app-37,10,107.607,34.957,1076.07,349.57
expt-app-49,9,186.067,28.712,1674.603,258.408
expt-app-31,10,142.51500000000001,57.069,1425.15,570.69
expt-app-25,10,123.44099999999999,9.322,1234.4099999999999,93.22
expt-app-14,10,81.346,70.569,813.46,705.69
expt-app-98,9,345.692,218.399,3111.228,1965.591
expt-app-24,10,250.177,93.341,2501.77,933.41
expt-app-9,9,84.303,12.408,758.727,111.672
