app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-78,10,28.467,23.824,284.66999999999996,238.24
expt-app-32,9,200.17,100.683,1801.53,906.147
expt-app-98,9,213.29600000000002,146.493,1919.6640000000002,1318.437
expt-app-96,9,388.60499999999996,358.8,3497.4449999999997,3229.2000000000003
expt-app-9,9,251.237,91.456,2261.133,823.104
expt-app-59,8,472.552,330.419,3780.416,2643.352
expt-app-95,2,321.828,233.662,643.656,467.324
expt-app-0,8,261.629,157.425,2093.032,1259.4
expt-app-80,6,1049.51,903.719,6297.0599999999995,5422.314
expt-app-74,8,585.208,573.881,4681.664,4591.048
expt-app-21,7,398.941,320.582,2792.587,2244.074
expt-app-76,10,179.283,44.982,1792.83,449.82
expt-app-60,7,532.216,453.708,3725.512,3175.956
expt-app-63,6,921.866,839.773,5531.196,5038.638
expt-app-58,2,2004.5449999999998,1999.659,4009.0899999999997,3999.318
expt-app-31,10,198.525,63.59,1985.25,635.9000000000001
expt-app-4,8,366.048,245.993,2928.384,1967.944
expt-app-41,8,784.811,780.298,6278.488,6242.384
expt-app-47,7,263.35999999999996,128.828,1843.5199999999998,901.796
expt-app-69,7,356.24,250.279,2493.6800000000003,1751.953
expt-app-11,4,645.342,640.41,2581.368,2561.64
expt-app-65,9,362.643,234.886,3263.787,2113.974
expt-app-35,7,383.813,317.371,2686.691,2221.5969999999998
expt-app-83,9,147.386,143.286,1326.474,1289.574
expt-app-25,10,199.88400000000001,193.243,1998.8400000000001,1932.4299999999998
expt-app-50,10,239.649,119.083,2396.49,1190.83
expt-app-89,9,378.52200000000005,315.982,3406.6980000000003,2843.838
expt-app-5,2,1908.816,1856.53,3817.632,3713.06
expt-app-79,4,935.3900000000001,872.327,3741.5600000000004,3489.308
expt-app-77,7,457.146,369.613,3200.022,2587.291
expt-app-91,8,284.06199999999995,279.713,2272.4959999999996,2237.704
expt-app-55,3,155.555,51.06,466.665,153.18
expt-app-30,4,743.195,638.762,2972.78,2555.048
expt-app-24,10,166.439,78.776,1664.3899999999999,787.76
expt-app-33,5,502.47200000000004,435.82,2512.36,2179.1
expt-app-27,8,1098.2479999999998,993.353,8785.983999999999,7946.824
expt-app-23,6,905.205,769.737,5431.2300000000005,4618.422
expt-app-14,10,201.798,66.812,2017.98,668.12
expt-app-42,8,254.917,187.707,2039.336,1501.656
expt-app-29,8,176.38799999999998,33.223,1411.1039999999998,265.784
expt-app-75,2,1185.961,1071.877,2371.922,2143.754
expt-app-81,9,372.26,305.77,3350.34,2751.93
expt-app-82,7,387.315,383.228,2711.205,2682.596
expt-app-93,10,107.26299999999999,95.085,1072.6299999999999,950.8499999999999
expt-app-16,1,732.715,654.093,732.715,654.093
expt-app-88,7,174.207,63.131,1219.449,441.91700000000003
expt-app-61,1,2258.194,2253.321,2258.194,2253.321
expt-app-57,8,357.15200000000004,221.84,2857.2160000000003,1774.72
expt-app-20,5,589.927,485.65,2949.635,2428.25
expt-app-56,7,842.5070000000001,790.636,5897.549000000001,5534.451999999999
expt-app-15,9,472.233,351.689,4250.097,3165.201
expt-app-6,3,476.491,472.508,1429.473,1417.524
expt-app-12,9,498.137,426.391,4483.233,3837.5190000000002
expt-app-94,6,952.737,868.45,5716.422,5210.700000000001
expt-app-67,7,490.812,370.421,3435.684,2592.947
expt-app-36,3,1404.3509999999999,1351.997,4213.053,4055.991
expt-app-45,1,1975.225,1900.047,1975.225,1900.047
expt-app-3,2,1323.9160000000002,1257.8,2647.8320000000003,2515.6
expt-app-40,10,242.531,122.014,2425.31,1220.1399999999999
expt-app-52,8,675.926,671.278,5407.408,5370.224
expt-app-97,2,1401.372,1290.703,2802.744,2581.406
expt-app-49,9,55.211999999999996,50.685,496.90799999999996,456.165
expt-app-37,10,121.53899999999999,34.539,1215.3899999999999,345.39
expt-app-10,2,222.015,116.963,444.03,233.926
expt-app-84,7,374.502,308.298,2621.514,2158.0860000000002
expt-app-90,7,399.689,395.63,2797.8230000000003,2769.41
expt-app-28,2,2043.1870000000001,1975.927,4086.3740000000003,3951.854
expt-app-22,7,534.612,530.335,3742.2839999999997,3712.3450000000003
expt-app-64,6,1033.8899999999999,929.144,6203.339999999999,5574.864
expt-app-7,4,971.058,857.068,3884.232,3428.272
