app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-2,7,2650.906,2530.52,18556.342,17713.64
expt-app-31,5,1669.5500000000002,1610.721,8347.75,8053.605
expt-app-52,3,2701.003,2622.243,8103.009,7866.728999999999
expt-app-95,4,3082.119,2960.908,12328.476,11843.632
expt-app-76,6,764.7049999999999,685.493,4588.23,4112.9580000000005
expt-app-92,4,3231.9230000000002,3097.101,12927.692000000001,12388.404
expt-app-34,7,508.50700000000006,367.352,3559.5490000000004,2571.464
expt-app-26,4,604.244,454.568,2416.976,1818.272
expt-app-7,10,142.52100000000002,22.631,1425.21,226.31
expt-app-9,5,652.1700000000001,531.55,3260.8500000000004,2657.75
expt-app-16,4,1544.81,1472.575,6179.24,5890.3
expt-app-11,6,982.167,846.326,5893.002,5077.956
expt-app-78,8,752.2919999999999,663.902,6018.335999999999,5311.216
expt-app-79,7,270.955,192.443,1896.685,1347.101
expt-app-97,4,2734.413,2585.033,10937.652,10340.132
expt-app-41,8,458.998,372.623,3671.984,2980.984
expt-app-94,7,466.32099999999997,361.451,3264.247,2530.157
expt-app-24,7,336.41900000000004,269.502,2354.9330000000004,1886.5140000000001
expt-app-74,5,1155.088,1049.788,5775.44,5248.9400000000005
expt-app-80,3,3452.23,3446.941,10356.69,10340.823
expt-app-12,6,992.312,842.148,5953.872,5052.888
expt-app-77,10,98.164,85.229,981.64,852.29
expt-app-36,9,287.734,283.039,2589.6059999999998,2547.3509999999997
expt-app-58,1,3480.534,3330.576,3480.534,3330.576
expt-app-37,9,449.056,371.34,4041.504,3342.06
expt-app-1,9,580.881,437.805,5227.929,3940.245
expt-app-27,7,2170.2400000000002,2165.461,15191.680000000002,15158.226999999999
expt-app-5,9,174.768,39.686,1572.912,357.174
expt-app-18,7,371.68800000000005,304.38,2601.8160000000003,2130.66
expt-app-40,2,2325.52,2258.025,4651.04,4516.05
expt-app-99,5,2764.05,2696.592,13820.25,13482.960000000001
expt-app-28,10,165.094,22.767,1650.94,227.67
expt-app-83,8,205.549,153.196,1644.392,1225.568
expt-app-8,10,94.721,15.529,947.21,155.29
expt-app-6,2,3629.574,3479.896,7259.148,6959.792
expt-app-49,7,523.164,373.995,3662.148,2617.965
expt-app-87,7,610.6669999999999,475.358,4274.669,3327.506
expt-app-17,9,693.874,579.277,6244.866,5213.493
expt-app-96,6,3282.6209999999996,3278.03,19695.726,19668.18
expt-app-91,8,787.632,735.359,6301.056,5882.872
expt-app-59,9,1580.9820000000002,1446.537,14228.838000000002,13018.833
expt-app-81,6,2799.301,2679.078,16795.806,16074.468
expt-app-19,4,3608.031,3502.158,14432.124,14008.632
expt-app-71,9,196.656,65.637,1769.904,590.733
expt-app-88,6,2829.8920000000003,2762.965,16979.352000000003,16577.79
expt-app-10,2,2740.224,2604.763,5480.448,5209.526
expt-app-75,7,187.502,67.498,1312.5140000000001,472.48600000000005
expt-app-64,2,8850.496,8734.655,17700.992,17469.31
expt-app-68,7,2483.346,2348.021,17383.422,16436.147
expt-app-35,3,3327.0170000000003,3259.59,9981.051000000001,9778.77
expt-app-30,5,607.169,486.339,3035.845,2431.695
expt-app-23,8,37.953,33.738,303.624,269.904
expt-app-39,1,3071.0060000000003,2942.754,3071.0060000000003,2942.754
expt-app-46,7,338.088,209.1,2366.616,1463.7
expt-app-86,4,2912.7839999999997,2902.088,11651.135999999999,11608.352
expt-app-60,3,6692.754,6542.697,20078.262,19628.091
expt-app-98,2,6183.684,6078.911,12367.368,12157.822
expt-app-63,9,447.667,312.324,4029.0029999999997,2810.916
expt-app-43,2,7329.003000000001,7217.051,14658.006000000001,14434.102
expt-app-69,8,348.779,243.975,2790.232,1951.8
expt-app-53,3,1408.715,1341.5,4226.1449999999995,4024.5
expt-app-44,9,154.98600000000002,19.422,1394.8740000000003,174.798
expt-app-4,9,163.577,42.63,1472.193,383.67
expt-app-47,5,1054.379,948.601,5271.8949999999995,4743.005
expt-app-50,6,1705.651,1576.052,10233.906,9456.312
expt-app-93,7,242.911,176.67,1700.377,1236.6899999999998
expt-app-66,9,128.149,49.281,1153.341,443.529
expt-app-42,5,2360.401,2210.834,11802.005,11054.169999999998
expt-app-82,6,419.36400000000003,414.728,2516.184,2488.368
expt-app-33,9,98.34,20.027,885.0600000000001,180.243
expt-app-48,8,552.7729999999999,500.471,4422.183999999999,4003.768
expt-app-54,6,578.6909999999999,474.114,3472.1459999999997,2844.6839999999997
expt-app-22,10,112.791,33.586,1127.9099999999999,335.86
expt-app-62,3,2620.091,2545.865,7860.272999999999,7637.594999999999
expt-app-45,6,1877.266,1871.786,11263.596000000001,11230.716
expt-app-20,6,1865.804,1786.732,11194.824,10720.392
expt-app-55,1,3104.453,3093.076,3104.453,3093.076
expt-app-32,4,620.189,499.733,2480.756,1998.932
expt-app-29,7,699.877,579.447,4899.138999999999,4056.129
