app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-43,2,3373.6670000000004,3223.918,6747.334000000001,6447.836
expt-app-20,6,674.3710000000001,568.954,4046.2260000000006,3413.7239999999997
expt-app-88,6,1237.371,1157.572,7424.226000000001,6945.431999999999
expt-app-6,2,1742.5980000000002,1616.02,3485.1960000000004,3232.04
expt-app-53,3,774.672,701.372,2324.016,2104.116
expt-app-66,9,166.957,17.721,1502.6129999999998,159.489
expt-app-19,4,1421.252,1341.714,5685.008,5366.856
expt-app-24,7,207.36599999999999,190.769,1451.562,1335.383
expt-app-16,4,824.9,813.729,3299.6,3254.916
expt-app-82,6,402.943,336.572,2417.658,2019.432
expt-app-29,7,515.8470000000001,345.288,3610.9290000000005,2417.016
expt-app-45,6,1400.167,1264.485,8401.002,7586.91
expt-app-17,9,178.868,119.128,1609.812,1072.152
expt-app-31,5,866.8860000000001,861.103,4334.43,4305.514999999999
expt-app-47,5,351.188,278.389,1755.94,1391.9450000000002
expt-app-8,10,89.313,15.164,893.13,151.64
expt-app-34,7,281.414,160.628,1969.898,1124.396
expt-app-96,6,1772.991,1767.841,10637.946,10607.045999999998
expt-app-60,3,2474.582,2394.992,7423.745999999999,7184.976000000001
expt-app-10,2,983.6890000000001,978.526,1967.3780000000002,1957.052
expt-app-92,4,1356.114,1276.877,5424.456,5107.508
expt-app-97,4,868.333,754.531,3473.332,3018.124
expt-app-52,3,972.253,906.052,2916.759,2718.156
expt-app-98,2,2598.081,2477.263,5196.162,4954.526
expt-app-74,5,580.92,576.066,2904.6,2880.33
expt-app-12,6,355.77500000000003,267.707,2134.65,1606.242
expt-app-79,7,215.288,94.399,1507.016,660.793
expt-app-63,9,201.539,150.855,1813.8509999999999,1357.695
expt-app-77,10,165.603,29.973,1656.0300000000002,299.73
expt-app-9,5,265.87300000000005,199.271,1329.3650000000002,996.3549999999999
expt-app-99,5,1122.88,1070.78,5614.400000000001,5353.9
expt-app-87,7,267.216,187.934,1870.5120000000002,1315.538
expt-app-69,8,181.208,69.145,1449.664,553.16
expt-app-94,7,213.43400000000003,147.196,1494.0380000000002,1030.372
expt-app-4,9,32.21,27.135,289.89,244.215
expt-app-86,4,1690.831,1555.146,6763.324,6220.584
expt-app-59,9,414.211,302.573,3727.8990000000003,2723.1569999999997
expt-app-33,9,162.56699999999998,12.828,1463.1029999999998,115.452
expt-app-40,2,1250.237,1093.538,2500.474,2187.076
expt-app-32,4,381.775,376.36,1527.1,1505.44
expt-app-42,5,1229.969,1178.604,6149.845,5893.02
expt-app-91,8,460.004,394.16,3680.032,3153.28
expt-app-93,7,144.429,58.147,1011.003,407.029
expt-app-23,8,23.059,18.834,184.472,150.672
expt-app-95,4,1412.4620000000002,1323.861,5649.848000000001,5295.444
expt-app-28,10,75.378,9.175,753.78,91.75
expt-app-5,9,164.618,34.323,1481.562,308.907
expt-app-7,10,124.816,20.056,1248.16,200.56
expt-app-83,8,150.857,84.107,1206.856,672.856
expt-app-44,9,134.08100000000002,4.335,1206.7290000000003,39.015
expt-app-27,7,1059.4399999999998,954.266,7416.079999999999,6679.862
expt-app-22,10,90.672,12.407,906.72,124.07
expt-app-18,7,227.33900000000003,223.309,1591.3730000000003,1563.163
expt-app-78,8,825.3960000000001,684.548,6603.168000000001,5476.384
expt-app-58,1,1612.259,1606.679,1612.259,1606.679
expt-app-37,9,146.477,79.383,1318.2930000000001,714.447
expt-app-76,6,854.7099999999999,712.908,5128.259999999999,4277.448
expt-app-35,3,1509.617,1374.249,4528.851,4122.747
expt-app-36,9,202.072,149.342,1818.6480000000001,1344.0780000000002
expt-app-26,4,284.895,163.876,1139.58,655.504
expt-app-11,6,580.8149999999999,445.08,3484.8899999999994,2670.48
expt-app-71,9,268.536,189.642,2416.824,1706.778
expt-app-46,7,75.889,71.364,531.223,499.548
expt-app-41,8,287.722,235.588,2301.776,1884.704
expt-app-80,3,1659.208,1592.307,4977.624,4776.921
expt-app-54,6,579.557,458.464,3477.342,2750.784
expt-app-1,9,217.107,149.831,1953.963,1348.4789999999998
expt-app-39,1,1501.913,1497.33,1501.913,1497.33
expt-app-49,7,186.84,96.598,1307.88,676.186
expt-app-48,8,288.476,177.365,2307.808,1418.92
expt-app-81,6,1291.742,1286.77,7750.451999999999,7720.62
expt-app-30,5,260.376,155.687,1301.8799999999999,778.4350000000001
expt-app-68,7,1052.126,947.603,7364.882,6633.221
expt-app-2,7,1222.378,1217.191,8556.645999999999,8520.337
expt-app-62,3,1180.8419999999999,1075.452,3542.526,3226.3559999999998
expt-app-50,6,887.0219999999999,819.658,5322.132,4917.948
expt-app-75,7,112.479,34.116,787.353,238.812
