app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,10,48.300000000000004,42.94,483.00000000000006,429.4
expt-app-96,6,971.4739999999999,890.389,5828.843999999999,5342.334
expt-app-79,7,1262.106,1156.855,8834.742,8097.985000000001
expt-app-30,10,175.724,48.437,1757.2399999999998,484.37
expt-app-83,8,1006.3470000000001,1001.011,8050.776000000001,8008.088
expt-app-77,2,3712.248,3591.014,7424.496,7182.028
expt-app-58,7,1559.021,1480.394,10913.146999999999,10362.758
expt-app-67,1,3348.547,3279.287,3348.547,3279.287
expt-app-4,8,376.18600000000004,262.428,3009.4880000000003,2099.424
expt-app-93,2,2388.248,2267.187,4776.496,4534.374
expt-app-68,5,1904.497,1755.232,9522.485,8776.16
expt-app-46,10,245.134,178.689,2451.3399999999997,1786.8899999999999
expt-app-45,5,579.802,574.745,2899.01,2873.725
expt-app-52,2,4085.6250000000005,3995.35,8171.250000000001,7990.7
expt-app-65,6,1912.018,1789.898,11472.108,10739.387999999999
expt-app-33,3,931.498,926.937,2794.494,2780.811
expt-app-3,10,235.673,159.567,2356.73,1595.67
expt-app-8,9,114.915,36.294,1034.2350000000001,326.64599999999996
expt-app-84,3,703.144,635.708,2109.432,1907.1239999999998
expt-app-81,9,198.573,93.854,1787.1570000000002,844.686
expt-app-78,5,902.4870000000001,768.784,4512.435,3843.92
expt-app-5,1,1126.295,996.655,1126.295,996.655
expt-app-20,9,678.529,593.213,6106.761,5338.9169999999995
expt-app-12,6,125.476,58.896,752.856,353.376
expt-app-50,6,1623.484,1473.839,9740.903999999999,8843.034
expt-app-66,5,1682.499,1629.919,8412.495,8149.595
expt-app-2,10,146.362,11.751,1463.62,117.50999999999999
expt-app-21,9,142.35,31.286,1281.1499999999999,281.574
expt-app-22,8,1000.184,995.843,8001.472,7966.744
expt-app-24,9,784.082,662.604,7056.738,5963.436000000001
expt-app-82,8,41.571,37.332,332.568,298.656
expt-app-36,10,270.187,265.337,2701.87,2653.37
expt-app-43,2,3416.209,3349.082,6832.418,6698.164
expt-app-94,4,855.176,724.658,3420.704,2898.632
expt-app-6,6,1172.296,1067.763,7033.776,6406.5779999999995
expt-app-15,4,3180.466,3025.645,12721.864,12102.58
expt-app-26,8,133.719,120.122,1069.752,960.976
expt-app-39,3,3896.451,3891.688,11689.353,11675.064
expt-app-92,6,210.292,205.952,1261.752,1235.712
expt-app-64,6,1685.286,1535.868,10111.716,9215.207999999999
expt-app-10,10,400.779,292.465,4007.79,2924.6499999999996
expt-app-29,3,3565.191,3433.203,10695.573,10299.609
expt-app-47,5,352.576,248.359,1762.88,1241.795
expt-app-18,2,4043.4320000000002,3907.805,8086.8640000000005,7815.61
expt-app-59,8,1333.783,1198.112,10670.264,9584.896
expt-app-27,8,184.719,132.523,1477.752,1060.184
expt-app-57,6,190.311,137.489,1141.866,824.934
expt-app-89,4,633.5699999999999,478.142,2534.2799999999997,1912.568
expt-app-51,7,1040.232,905.589,7281.624,6339.1230000000005
expt-app-34,9,648.698,514.013,5838.282,4626.117
expt-app-62,10,133.073,28.492,1330.73,284.92
expt-app-69,7,77.14500000000001,10.692,540.0150000000001,74.844
expt-app-75,2,872.518,736.906,1745.036,1473.812
expt-app-60,3,724.478,644.933,2173.4339999999997,1934.799
expt-app-85,4,2168.375,2019.396,8673.5,8077.584
expt-app-31,4,1720.389,1709.0,6881.556,6836.0
expt-app-86,10,81.03,27.711,810.3,277.11
expt-app-13,4,699.495,594.076,2797.98,2376.304
expt-app-88,9,131.017,64.106,1179.153,576.954
expt-app-74,8,190.608,55.769,1524.864,446.152
expt-app-11,6,1193.027,1081.764,7158.162,6490.583999999999
expt-app-70,6,2252.6440000000002,2117.023,13515.864000000001,12702.138
expt-app-14,7,380.69199999999995,259.634,2664.8439999999996,1817.438
expt-app-53,3,475.322,395.897,1425.966,1187.691
expt-app-44,4,3298.862,3152.28,13195.448,12609.12
expt-app-63,4,321.538,186.422,1286.152,745.688
expt-app-97,10,40.215,35.757,402.15000000000003,357.57
expt-app-98,6,464.2,385.565,2785.2,2313.39
expt-app-41,4,1930.6000000000001,1856.265,7722.400000000001,7425.06
expt-app-90,10,261.909,201.569,2619.09,2015.6899999999998
expt-app-48,9,522.8699999999999,418.039,4705.829999999999,3762.3509999999997
expt-app-17,5,410.771,288.8,2053.855,1444.0
expt-app-35,2,1095.2440000000001,1025.773,2190.4880000000003,2051.546
expt-app-38,7,156.976,29.191,1098.8319999999999,204.337
expt-app-19,9,556.596,451.496,5009.364,4063.464
expt-app-95,3,1842.636,1837.974,5527.907999999999,5513.922
expt-app-73,7,1601.968,1497.001,11213.776,10479.007
expt-app-61,6,165.124,86.017,990.7439999999999,516.102
