app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-57,6,272.05800000000005,159.957,1632.3480000000004,959.742
expt-app-3,10,142.474,137.719,1424.7399999999998,1377.19
expt-app-63,4,206.195,140.275,824.78,561.1
expt-app-48,9,585.4780000000001,450.114,5269.302000000001,4051.026
expt-app-19,9,675.233,588.109,6077.097,5292.981000000001
expt-app-95,3,938.5989999999999,934.027,2815.7969999999996,2802.081
expt-app-21,9,165.821,25.01,1492.389,225.09
expt-app-86,10,163.319,21.278,1633.1899999999998,212.77999999999997
expt-app-98,6,301.308,249.49,1807.848,1496.94
expt-app-51,7,663.811,585.552,4646.677000000001,4098.8640000000005
expt-app-30,10,169.797,48.204,1697.97,482.04
expt-app-53,3,305.92900000000003,253.655,917.787,760.965
expt-app-4,8,284.846,164.356,2278.768,1314.848
expt-app-96,6,728.447,644.896,4370.682,3869.3759999999997
expt-app-34,9,338.947,251.881,3050.523,2266.929
expt-app-89,4,285.811,219.871,1143.244,879.484
expt-app-94,4,521.975,443.076,2087.9,1772.304
expt-app-40,5,262.686,184.092,1313.4299999999998,920.46
expt-app-33,3,486.507,407.824,1459.521,1223.472
expt-app-26,8,241.865,121.565,1934.92,972.52
expt-app-58,7,1193.68,1064.223,8355.76,7449.561
expt-app-2,10,195.805,128.543,1958.0500000000002,1285.43
expt-app-10,10,163.507,104.521,1635.0700000000002,1045.21
expt-app-90,10,186.66299999999998,182.212,1866.6299999999999,1822.12
expt-app-61,6,119.69200000000001,115.307,718.152,691.842
expt-app-11,6,716.942,638.424,4301.652,3830.544
expt-app-91,3,1355.699,1282.036,4067.097,3846.108
expt-app-27,8,276.57599999999996,141.771,2212.6079999999997,1134.168
expt-app-99,4,596.9250000000001,508.917,2387.7000000000003,2035.668
expt-app-20,9,729.573,588.559,6566.157,5297.031
expt-app-88,9,159.114,24.368,1432.026,219.31199999999998
expt-app-70,6,1395.922,1317.284,8375.532,7903.704000000001
expt-app-81,9,152.251,84.832,1370.259,763.4879999999999
expt-app-82,8,152.238,32.098,1217.904,256.784
expt-app-8,9,102.55499999999999,36.197,922.9949999999999,325.773
expt-app-62,10,100.163,33.57,1001.63,335.7
expt-app-41,4,1828.223,1708.165,7312.892,6832.66
expt-app-74,8,123.891,51.059,991.128,408.472
expt-app-45,5,383.652,317.488,1918.26,1587.44
expt-app-46,10,123.889,71.179,1238.8899999999999,711.79
expt-app-35,2,657.2679999999999,522.131,1314.5359999999998,1044.262
expt-app-5,1,381.731,315.716,381.731,315.716
expt-app-84,3,358.343,292.0,1075.029,876.0
expt-app-55,10,179.81,43.712,1798.1,437.12
expt-app-75,2,387.151,311.434,774.302,622.868
expt-app-92,6,145.284,140.693,871.704,844.1580000000001
expt-app-78,5,940.294,796.707,4701.47,3983.535
expt-app-93,2,2013.604,1892.249,4027.208,3784.498
expt-app-66,5,835.087,829.892,4175.4349999999995,4149.46
expt-app-38,7,23.515,19.251,164.60500000000002,134.757
expt-app-47,5,260.565,208.589,1302.825,1042.945
expt-app-36,10,370.055,235.834,3700.55,2358.34
expt-app-60,3,346.072,279.27,1038.216,837.81
expt-app-12,6,188.138,103.083,1128.828,618.498
expt-app-24,9,802.723,659.605,7224.507,5936.445
expt-app-97,10,98.553,31.971,985.53,319.71
expt-app-79,7,1147.553,1026.859,8032.871000000001,7188.012999999999
expt-app-7,2,654.748,569.128,1309.496,1138.256
expt-app-14,7,230.958,110.479,1616.706,773.353
expt-app-17,5,270.082,149.326,1350.4099999999999,746.63
expt-app-31,4,944.448,931.028,3777.792,3724.112
expt-app-64,6,1333.2150000000001,1211.929,7999.290000000001,7271.5740000000005
expt-app-69,7,87.745,9.774,614.215,68.41799999999999
expt-app-50,6,728.4580000000001,724.144,4370.7480000000005,4344.864
