app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-93,3,3567.908,3446.346,10703.724,10339.038
expt-app-90,9,238.90200000000002,172.329,2150.118,1550.961
expt-app-38,7,883.346,761.696,6183.4220000000005,5331.872
expt-app-70,9,81.358,28.88,732.222,259.92
expt-app-48,6,654.837,548.75,3929.022,3292.5
expt-app-34,8,122.277,109.958,978.216,879.664
expt-app-54,6,1607.029,1472.018,9642.173999999999,8832.108
expt-app-76,3,5071.732,4992.267,15215.196,14976.801
expt-app-75,5,1668.595,1661.875,8342.975,8309.375
expt-app-21,5,889.5920000000001,884.598,4447.960000000001,4422.99
expt-app-94,7,984.8829999999999,906.129,6894.181,6342.903
expt-app-95,6,101.517,22.165,609.102,132.99
expt-app-5,8,724.592,619.484,5796.736,4955.872
expt-app-15,10,171.217,50.361,1712.17,503.60999999999996
expt-app-80,9,448.308,434.897,4034.772,3914.073
expt-app-39,8,372.71999999999997,244.671,2981.7599999999998,1957.368
expt-app-50,9,288.685,211.062,2598.165,1899.558
expt-app-72,8,720.697,574.602,5765.576,4596.816
expt-app-45,5,1291.5620000000001,1140.444,6457.81,5702.219999999999
expt-app-99,8,965.23,898.37,7721.84,7186.96
expt-app-65,10,286.302,144.087,2863.0200000000004,1440.87
expt-app-18,2,6455.774,6349.952,12911.548,12699.904
expt-app-74,5,1407.1670000000001,1257.334,7035.835000000001,6286.67
expt-app-66,6,1442.026,1306.398,8652.156,7838.387999999999
expt-app-14,9,465.38800000000003,330.273,4188.492,2972.4570000000003
expt-app-84,9,163.297,42.794,1469.673,385.14599999999996
expt-app-6,1,1979.6450000000002,1912.536,1979.6450000000002,1912.536
expt-app-86,6,148.642,143.061,891.852,858.366
expt-app-37,10,339.72200000000004,210.777,3397.2200000000003,2107.77
expt-app-16,8,644.15,523.604,5153.2,4188.832
expt-app-68,6,1320.5800000000002,1185.012,7923.480000000001,7110.072
expt-app-32,6,1016.24,895.442,6097.4400000000005,5372.652
expt-app-29,4,4771.028,4691.368,19084.112,18765.472
expt-app-51,9,55.003,50.069,495.027,450.62100000000004
expt-app-33,9,147.977,71.813,1331.7930000000001,646.317
expt-app-81,6,1633.6280000000002,1567.487,9801.768,9404.922
expt-app-22,6,1197.99,1131.157,7187.9400000000005,6786.941999999999
expt-app-41,3,1442.967,1314.837,4328.901,3944.511
expt-app-27,10,75.773,22.704,757.73,227.04000000000002
expt-app-88,10,232.467,105.416,2324.67,1054.1599999999999
expt-app-47,7,777.149,670.79,5440.043,4695.53
expt-app-57,6,1251.668,1115.324,7510.008,6691.944
expt-app-23,10,98.216,18.881,982.16,188.81
expt-app-77,9,883.108,815.969,7947.972,7343.7210000000005
expt-app-49,4,2212.132,2144.584,8848.528,8578.336
expt-app-56,4,1788.81,1653.286,7155.24,6613.144
expt-app-82,10,146.56900000000002,11.923,1465.69,119.23
expt-app-31,10,202.57,46.26,2025.6999999999998,462.59999999999997
expt-app-78,6,1840.873,1705.109,11045.238000000001,10230.653999999999
expt-app-3,7,363.142,284.622,2541.994,1992.354
expt-app-53,1,5021.264999999999,5015.132,5021.264999999999,5015.132
expt-app-79,7,448.778,387.729,3141.446,2714.103
expt-app-98,7,909.199,898.735,6364.393,6291.145
expt-app-73,6,2898.7059999999997,2819.132,17392.235999999997,16914.792
expt-app-12,4,1204.961,1062.567,4819.844,4250.268
expt-app-87,1,6007.161,5862.753,6007.161,5862.753
expt-app-2,9,81.104,2.699,729.936,24.290999999999997
expt-app-35,6,470.849,321.6,2825.094,1929.6000000000001
expt-app-64,7,1218.734,1213.587,8531.137999999999,8495.109
expt-app-40,10,89.506,23.319,895.06,233.19
expt-app-25,2,1758.634,1691.395,3517.268,3382.79
expt-app-44,2,1467.412,1388.24,2934.824,2776.48
expt-app-28,8,423.057,273.696,3384.456,2189.568
expt-app-11,10,169.87,39.632,1698.7,396.32
expt-app-60,7,1140.8670000000002,1015.748,7986.069000000001,7110.236000000001
expt-app-46,5,1256.324,1243.171,6281.620000000001,6215.8550000000005
expt-app-13,9,159.292,14.57,1433.628,131.13
expt-app-43,4,2125.845,2113.35,8503.38,8453.4
expt-app-7,10,359.522,215.529,3595.22,2155.29
expt-app-96,8,675.728,594.542,5405.824,4756.336
expt-app-97,5,1071.231,1066.592,5356.155,5332.960000000001
expt-app-71,9,119.185,43.623,1072.665,392.60699999999997
