app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-33,9,130.593,17.075,1175.337,153.67499999999998
expt-app-31,10,111.078,37.797,1110.78,377.96999999999997
expt-app-90,9,429.739,288.074,3867.651,2592.666
expt-app-48,6,536.95,394.499,3221.7000000000003,2366.994
expt-app-71,9,83.988,10.946,755.892,98.514
expt-app-40,10,108.97900000000001,24.719,1089.7900000000002,247.19
expt-app-70,9,159.331,72.287,1433.9789999999998,650.5830000000001
expt-app-15,10,144.063,39.602,1440.6299999999999,396.02
expt-app-13,9,17.211000000000002,13.198,154.89900000000003,118.78200000000001
expt-app-23,10,32.711999999999996,22.199,327.11999999999995,221.99
expt-app-34,8,200.882,87.614,1607.056,700.912
expt-app-84,9,169.95499999999998,27.035,1529.5949999999998,243.315
expt-app-2,9,137.952,2.49,1241.568,22.410000000000004
expt-app-27,10,104.155,25.07,1041.55,250.7
expt-app-95,6,183.839,27.526,1103.034,165.156
expt-app-35,6,441.046,297.668,2646.276,1786.008
expt-app-50,9,312.608,186.816,2813.472,1681.344
expt-app-51,9,118.037,45.308,1062.333,407.772
expt-app-11,10,125.359,39.735,1253.59,397.35
expt-app-65,10,320.288,233.726,3202.88,2337.26
expt-app-86,6,256.713,169.969,1540.2780000000002,1019.814
expt-app-82,10,164.214,7.481,1642.1399999999999,74.81
