app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-53,1,2617.8599999999997,2513.334,2617.8599999999997,2513.334
expt-app-22,6,615.983,480.828,3695.8979999999997,2884.968
expt-app-15,10,120.202,15.992,1202.02,159.92000000000002
expt-app-41,3,690.594,624.069,2071.782,1872.2069999999999
expt-app-99,8,382.87100000000004,330.86,3062.9680000000003,2646.88
expt-app-14,9,142.83100000000002,130.021,1285.4790000000003,1170.1889999999999
expt-app-56,4,618.5939999999999,606.689,2474.3759999999997,2426.756
expt-app-21,5,564.994,474.195,2824.9700000000003,2370.975
expt-app-54,6,711.801,633.051,4270.8060000000005,3798.3060000000005
expt-app-51,9,56.006,51.314,504.054,461.826
expt-app-33,9,148.177,70.143,1333.5929999999998,631.287
expt-app-84,9,183.40699999999998,27.468,1650.6629999999998,247.212
expt-app-31,10,104.62299999999999,38.472,1046.23,384.72
expt-app-2,9,122.27799999999999,1.328,1100.502,11.952
expt-app-77,9,433.048,366.267,3897.432,3296.403
expt-app-13,9,138.076,18.414,1242.684,165.726
expt-app-76,3,2866.9410000000003,2755.028,8600.823,8265.083999999999
expt-app-79,7,350.21200000000005,237.998,2451.4840000000004,1665.9859999999999
expt-app-18,2,3392.878,3257.216,6785.756,6514.432
expt-app-37,10,92.069,87.587,920.69,875.87
expt-app-71,9,77.362,24.692,696.2579999999999,222.228
expt-app-64,7,584.622,506.816,4092.354,3547.712
expt-app-97,5,479.88100000000003,413.959,2399.405,2069.795
expt-app-17,3,899.8439999999999,895.072,2699.5319999999997,2685.216
expt-app-72,8,392.029,287.735,3136.232,2301.88
expt-app-80,9,107.69800000000001,104.12,969.282,937.08
expt-app-66,6,792.504,788.171,4755.024,4729.026
expt-app-12,4,663.307,596.723,2653.228,2386.892
expt-app-74,5,750.494,615.492,3752.4700000000003,3077.46
expt-app-48,6,242.559,154.989,1455.354,929.934
expt-app-82,10,117.22399999999999,3.443,1172.2399999999998,34.43
expt-app-28,8,191.586,125.248,1532.688,1001.984
expt-app-50,9,134.326,67.991,1208.934,611.919
expt-app-29,4,2380.442,2239.207,9521.768,8956.828
expt-app-94,7,300.006,221.642,2100.042,1551.494
expt-app-25,2,1074.159,925.282,2148.318,1850.564
expt-app-75,5,605.743,601.165,3028.715,3005.825
expt-app-46,5,808.23,672.81,4041.15,3364.0499999999997
expt-app-96,8,194.16,189.668,1553.28,1517.344
expt-app-16,8,238.832,173.035,1910.656,1384.28
expt-app-6,1,1140.5700000000002,990.992,1140.5700000000002,990.992
expt-app-93,3,1593.435,1527.208,4780.305,4581.624
expt-app-5,8,225.115,220.159,1800.92,1761.272
expt-app-45,5,680.106,545.861,3400.5299999999997,2729.305
expt-app-88,10,165.70499999999998,61.007,1657.0499999999997,610.0699999999999
expt-app-7,10,94.47500000000001,90.726,944.7500000000001,907.26
expt-app-38,7,339.75,287.459,2378.25,2012.213
expt-app-90,9,149.481,44.2,1345.329,397.8
expt-app-57,6,436.34000000000003,348.458,2618.04,2090.748
expt-app-87,1,3040.7929999999997,2936.305,3040.7929999999997,2936.305
expt-app-27,10,131.382,10.186,1313.8200000000002,101.86
expt-app-3,7,199.67499999999998,96.07,1397.725,672.49
expt-app-40,10,42.168,23.401,421.68,234.01
expt-app-86,6,176.981,49.581,1061.886,297.486
expt-app-98,7,377.99300000000005,373.858,2645.9510000000005,2617.006
expt-app-60,7,472.43,460.931,3307.01,3226.517
expt-app-70,9,113.193,38.6,1018.737,347.40000000000003
expt-app-78,6,789.8,711.137,4738.799999999999,4266.822
expt-app-65,10,184.12400000000002,118.231,1841.2400000000002,1182.31
expt-app-23,10,171.421,13.635,1714.21,136.35
expt-app-42,3,1035.4859999999999,922.25,3106.4579999999996,2766.75
expt-app-44,2,793.077,688.242,1586.154,1376.484
expt-app-73,6,1391.156,1255.949,8346.936,7535.694
expt-app-32,6,384.42900000000003,332.276,2306.574,1993.656
expt-app-68,6,616.0649999999999,472.606,3696.3899999999994,2835.636
expt-app-35,6,170.457,83.191,1022.742,499.146
expt-app-43,4,1172.768,1038.112,4691.072,4152.448
expt-app-49,4,968.186,901.181,3872.744,3604.724
expt-app-11,10,196.92299999999997,47.536,1969.2299999999998,475.36
expt-app-34,8,132.58100000000002,53.886,1060.6480000000001,431.088
expt-app-81,6,794.9540000000001,716.195,4769.724,4297.17
expt-app-95,6,36.081,26.856,216.48600000000002,161.13600000000002
expt-app-39,8,153.93699999999998,101.718,1231.4959999999999,813.744
