app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-80,9,124.359,120.03,1119.231,1080.27
expt-app-88,10,163.996,59.881,1639.96,598.81
expt-app-21,5,568.668,493.822,2843.34,2469.11
expt-app-50,9,134.046,68.162,1206.414,613.4580000000001
expt-app-66,6,703.604,693.158,4221.624,4158.948
expt-app-12,4,602.073,487.177,2408.292,1948.708
expt-app-71,9,82.71199999999999,27.27,744.4079999999999,245.43
expt-app-17,3,794.982,781.889,2384.946,2345.667
expt-app-33,9,124.25999999999999,37.728,1118.34,339.552
expt-app-68,6,640.336,505.533,3842.016,3033.1980000000003
expt-app-99,8,421.783,370.031,3374.264,2960.248
expt-app-31,10,112.973,38.904,1129.73,389.04
expt-app-14,9,146.54500000000002,134.211,1318.9050000000002,1207.8990000000001
expt-app-96,8,199.739,195.134,1597.912,1561.072
expt-app-16,8,220.116,153.749,1760.928,1229.992
expt-app-78,6,748.597,669.923,4491.582,4019.538
expt-app-94,7,286.91299999999995,208.24,2008.3909999999996,1457.68
expt-app-46,5,706.2969999999999,571.489,3531.4849999999997,2857.445
expt-app-93,3,1585.324,1518.701,4755.972,4556.103
expt-app-54,6,694.416,608.589,4166.496,3651.5340000000006
expt-app-87,1,2989.437,2884.849,2989.437,2884.849
expt-app-97,5,580.778,514.374,2903.8900000000003,2571.87
expt-app-45,5,645.267,509.932,3226.335,2549.66
expt-app-60,7,498.656,486.443,3490.592,3405.1009999999997
expt-app-3,7,193.572,89.057,1355.004,623.399
expt-app-37,10,98.68,94.044,986.8000000000001,940.4399999999999
expt-app-38,7,326.495,263.771,2285.465,1846.3970000000002
expt-app-27,10,131.402,10.619,1314.02,106.19
expt-app-64,7,613.49,547.271,4294.43,3830.897
expt-app-2,9,121.68900000000001,1.267,1095.201,11.402999999999999
expt-app-84,9,183.572,27.174,1652.1480000000001,244.566
expt-app-5,8,213.022,208.607,1704.176,1668.856
expt-app-56,4,612.0400000000001,607.955,2448.1600000000003,2431.82
expt-app-40,10,28.53,24.426,285.3,244.26
expt-app-23,10,162.429,13.577,1624.29,135.77
expt-app-82,10,116.628,3.554,1166.28,35.54
expt-app-51,9,54.342,50.06,489.078,450.54
expt-app-98,7,374.514,369.769,2621.598,2588.383
expt-app-57,6,570.3549999999999,491.414,3422.129999999999,2948.484
expt-app-22,6,623.8359999999999,489.336,3743.0159999999996,2936.016
expt-app-95,6,31.922,27.286,191.532,163.716
expt-app-49,4,890.459,817.103,3561.836,3268.412
expt-app-39,8,152.771,100.459,1222.168,803.672
expt-app-48,6,205.08399999999997,126.852,1230.504,761.1120000000001
expt-app-11,10,205.082,48.992,2050.8199999999997,489.91999999999996
expt-app-13,9,138.783,17.99,1249.0469999999998,161.91
expt-app-32,6,435.44100000000003,382.994,2612.646,2297.964
expt-app-70,9,102.785,36.071,925.0649999999999,324.639
expt-app-29,4,2363.988,2229.072,9455.952,8916.288
expt-app-25,2,1158.776,1009.337,2317.552,2018.674
expt-app-72,8,334.644,222.503,2677.152,1780.024
expt-app-35,6,160.825,82.302,964.9499999999999,493.812
expt-app-81,6,700.345,621.426,4202.07,3728.5560000000005
expt-app-77,9,468.198,401.925,4213.782,3617.3250000000003
expt-app-43,4,1133.426,998.532,4533.704,3994.128
expt-app-7,10,74.67,69.478,746.7,694.78
expt-app-90,9,148.019,43.195,1332.171,388.755
expt-app-34,8,141.21,54.14,1129.68,433.12
expt-app-6,1,1199.397,1042.221,1199.397,1042.221
expt-app-15,10,119.60600000000001,14.974,1196.0600000000002,149.74
expt-app-74,5,671.338,535.955,3356.6899999999996,2679.775
expt-app-41,3,616.878,549.855,1850.634,1649.565
expt-app-73,6,1349.1660000000002,1213.619,8094.996000000001,7281.714
expt-app-65,10,182.445,116.123,1824.4499999999998,1161.23
expt-app-75,5,653.974,649.716,3269.8700000000003,3248.58
expt-app-18,2,3461.49,3325.507,6922.98,6651.014
expt-app-79,7,338.60699999999997,234.139,2370.249,1638.973
expt-app-53,1,2758.128,2653.042,2758.128,2653.042
expt-app-28,8,194.297,122.565,1554.376,980.52
expt-app-44,2,819.4599999999999,706.044,1638.9199999999998,1412.088
expt-app-86,6,169.82,48.828,1018.92,292.968
expt-app-76,3,2678.5350000000003,2573.482,8035.605000000001,7720.446
expt-app-42,3,1064.368,951.504,3193.104,2854.512
