app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-43,5,970.668,849.557,4853.34,4247.785
expt-app-11,5,743.6899999999999,659.314,3718.45,3296.5699999999997
expt-app-96,4,1123.7630000000001,1119.329,4495.052000000001,4477.316
expt-app-50,9,178.981,126.284,1610.829,1136.556
expt-app-69,9,646.0129999999999,540.529,5814.116999999999,4864.761
expt-app-55,5,889.334,733.865,4446.67,3669.325
expt-app-41,1,2839.7450000000003,2772.726,2839.7450000000003,2772.726
expt-app-63,2,3679.422,3535.705,7358.844,7071.41
expt-app-18,1,1172.723,1119.991,1172.723,1119.991
expt-app-10,5,1220.502,1085.103,6102.51,5425.515
expt-app-81,4,1900.2630000000001,1837.865,7601.052000000001,7351.46
expt-app-28,3,1343.082,1192.992,4029.246,3578.9759999999997
expt-app-56,7,332.058,279.541,2324.406,1956.787
expt-app-64,3,1203.507,1099.165,3610.521,3297.495
expt-app-19,10,177.903,57.783,1779.03,577.83
expt-app-6,9,502.422,381.128,4521.798000000001,3430.152
expt-app-95,6,512.439,424.751,3074.634,2548.506
expt-app-87,10,337.034,231.88,3370.34,2318.8
expt-app-16,2,1811.3870000000002,1661.289,3622.7740000000003,3322.578
expt-app-23,2,1151.587,1084.723,2303.174,2169.446
expt-app-5,4,759.897,681.491,3039.588,2725.964
expt-app-62,2,3009.777,2904.824,6019.554,5809.648
expt-app-39,6,812.659,745.998,4875.954,4475.988
expt-app-85,8,815.923,727.613,6527.384,5820.904
expt-app-72,6,404.926,270.072,2429.556,1620.432
expt-app-4,4,1113.575,964.268,4454.3,3857.072
expt-app-94,8,689.944,540.601,5519.552,4324.808
expt-app-26,3,1485.417,1325.756,4456.251,3977.268
expt-app-77,10,122.139,43.542,1221.3899999999999,435.42
expt-app-40,2,1756.582,1620.938,3513.164,3241.876
expt-app-29,5,667.63,600.581,3338.15,3002.905
expt-app-13,7,977.876,842.38,6845.132,5896.66
expt-app-65,5,829.3000000000001,670.499,4146.5,3352.495
expt-app-76,10,205.569,56.976,2055.69,569.76
expt-app-30,4,950.13,871.229,3800.52,3484.916
expt-app-12,3,1844.947,1777.105,5534.840999999999,5331.3150000000005
expt-app-61,2,2968.436,2855.353,5936.872,5710.706
expt-app-33,4,428.296,420.666,1713.184,1682.664
expt-app-21,10,469.341,333.4,4693.41,3334.0
expt-app-45,2,771.4259999999999,681.837,1542.8519999999999,1363.674
expt-app-3,7,212.696,77.228,1488.872,540.596
expt-app-99,8,593.392,456.87,4747.136,3654.96
expt-app-92,4,1171.08,1034.768,4684.32,4139.072
expt-app-97,5,578.622,443.296,2893.1099999999997,2216.48
expt-app-22,3,1108.726,987.358,3326.1780000000003,2962.0739999999996
expt-app-73,8,627.349,548.755,5018.792,4390.04
expt-app-17,4,1556.372,1434.74,6225.488,5738.96
expt-app-79,7,691.0079999999999,611.951,4837.056,4283.657
expt-app-47,9,772.432,637.015,6951.888,5733.135
expt-app-9,5,827.913,697.225,4139.5650000000005,3486.125
expt-app-70,2,1441.5230000000001,1362.208,2883.0460000000003,2724.416
expt-app-0,2,1498.9060000000002,1412.51,2997.8120000000004,2825.02
expt-app-54,7,364.125,260.029,2548.875,1820.203
expt-app-86,2,2307.091,2218.359,4614.182,4436.718
expt-app-38,4,1655.673,1649.696,6622.692,6598.784
expt-app-35,5,574.712,452.994,2873.56,2264.9700000000003
expt-app-83,2,2033.554,1884.752,4067.108,3769.504
expt-app-14,6,1047.7099999999998,911.711,6286.259999999998,5470.266
expt-app-31,5,862.885,702.329,4314.425,3511.6449999999995
expt-app-80,10,246.995,98.053,2469.95,980.53
expt-app-98,6,282.97099999999995,204.379,1697.8259999999996,1226.274
expt-app-49,6,620.6859999999999,484.686,3724.1159999999995,2908.116
expt-app-44,9,678.237,557.687,6104.133,5019.183
expt-app-48,10,33.744,29.28,337.44,292.8
expt-app-84,4,1716.545,1649.322,6866.18,6597.288
expt-app-34,4,1241.875,1237.28,4967.5,4949.12
expt-app-46,4,1591.087,1537.32,6364.348,6149.28
expt-app-53,10,346.527,242.619,3465.27,2426.19
expt-app-20,7,31.641000000000002,27.204,221.48700000000002,190.428
expt-app-93,5,259.31399999999996,247.882,1296.5699999999997,1239.41
expt-app-1,3,662.474,657.23,1987.422,1971.69
expt-app-27,10,163.493,84.556,1634.9299999999998,845.56
expt-app-68,1,1325.614,1320.186,1325.614,1320.186
expt-app-51,5,992.03,871.251,4960.15,4356.255
expt-app-8,9,318.486,252.061,2866.374,2268.549
expt-app-42,8,119.812,40.447,958.496,323.576
expt-app-25,9,216.422,212.274,1947.798,1910.466
expt-app-32,10,170.971,34.759,1709.71,347.59000000000003
expt-app-60,9,439.756,304.773,3957.8039999999996,2742.9570000000003
expt-app-89,4,973.538,907.169,3894.152,3628.676
expt-app-36,7,161.081,41.004,1127.567,287.02799999999996
expt-app-2,2,2381.135,2376.18,4762.27,4752.36
expt-app-75,5,514.503,447.507,2572.5150000000003,2237.535
expt-app-52,9,192.132,72.119,1729.188,649.071
expt-app-15,7,289.026,209.375,2023.182,1465.625
expt-app-82,7,640.7570000000001,491.839,4485.299000000001,3442.873
expt-app-90,1,2514.485,2441.589,2514.485,2441.589
expt-app-58,6,575.352,470.216,3452.112,2821.2960000000003
expt-app-57,9,127.327,7.122,1145.943,64.098
expt-app-59,2,1328.375,1222.93,2656.75,2445.86
expt-app-66,10,18.319,13.086,183.19,130.86
expt-app-74,1,2991.955,2923.918,2991.955,2923.918
