app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-87,10,314.892,305.053,3148.92,3050.5299999999997
expt-app-48,10,72.154,14.568,721.54,145.68
expt-app-76,10,209.29500000000002,65.077,2092.9500000000003,650.77
expt-app-3,7,177.702,65.851,1243.914,460.957
expt-app-60,9,271.844,199.441,2446.596,1794.969
expt-app-98,6,197.957,137.448,1187.742,824.6880000000001
expt-app-54,7,237.477,132.732,1662.339,929.124
expt-app-52,9,20.379,15.673,183.411,141.057
expt-app-77,10,133.19400000000002,21.627,1331.94,216.26999999999998
expt-app-20,7,116.828,43.659,817.796,305.613
expt-app-32,10,157.73499999999999,28.951,1577.35,289.51
expt-app-15,7,514.649,371.744,3602.543,2602.208
expt-app-42,8,147.65,36.102,1181.2,288.816
expt-app-66,10,82.838,15.909,828.3799999999999,159.09
expt-app-21,10,504.092,375.088,5040.92,3750.88
expt-app-57,9,170.96,44.619,1538.64,401.571
expt-app-50,9,362.79499999999996,277.423,3265.1549999999997,2496.807
expt-app-36,7,123.006,11.602,861.042,81.214
expt-app-72,6,178.30499999999998,111.626,1069.83,669.7560000000001
expt-app-33,4,313.319,239.134,1253.276,956.536
expt-app-80,10,163.78300000000002,42.963,1637.8300000000002,429.63
expt-app-27,10,221.802,108.945,2218.02,1089.4499999999998
expt-app-19,10,85.488,27.12,854.88,271.2
