app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-2,10,114.586,35.255,1145.86,352.55
expt-app-62,3,3540.7259999999997,3435.418,10622.178,10306.254
expt-app-51,2,1859.7140000000002,1754.438,3719.4280000000003,3508.876
expt-app-14,9,818.126,738.8,7363.134,6649.2
expt-app-60,7,1435.843,1356.903,10050.901,9498.321
expt-app-98,8,880.579,793.688,7044.632,6349.504
expt-app-96,7,1624.8519999999999,1490.433,11373.964,10433.030999999999
expt-app-45,9,118.503,13.194,1066.527,118.74600000000001
expt-app-92,8,1886.9,1743.232,15095.2,13945.856
expt-app-8,3,6430.421,6424.532,19291.263,19273.596
expt-app-87,5,3441.5480000000002,3381.003,17207.74,16905.015
expt-app-89,4,198.273,131.391,793.092,525.564
expt-app-78,9,700.441,694.947,6303.969,6254.523
expt-app-13,6,749.445,681.629,4496.67,4089.7740000000003
expt-app-32,10,201.933,73.616,2019.33,736.16
expt-app-31,9,1136.7540000000001,1015.221,10230.786000000002,9136.989
expt-app-34,3,4401.723,4265.175,13205.169,12795.525000000001
expt-app-91,4,1891.7450000000001,1756.104,7566.9800000000005,7024.416
expt-app-53,1,1968.3729999999998,1962.776,1968.3729999999998,1962.776
expt-app-33,1,8842.175,8712.142,8842.175,8712.142
expt-app-50,3,4806.456,4800.747,14419.368,14402.241000000002
expt-app-7,8,537.6339999999999,388.793,4301.071999999999,3110.344
expt-app-42,9,1306.338,1219.39,11757.042,10974.51
expt-app-39,8,1069.939,934.399,8559.512,7475.192
expt-app-74,2,1836.568,1829.347,3673.136,3658.694
expt-app-56,3,2517.468,2438.17,7552.4039999999995,7314.51
expt-app-88,2,3171.317,3092.13,6342.634,6184.26
expt-app-63,10,83.76,9.17,837.6,91.7
expt-app-47,5,1725.363,1672.328,8626.815,8361.64
expt-app-97,7,795.883,675.564,5571.1810000000005,4728.947999999999
expt-app-19,10,517.5790000000001,464.895,5175.790000000001,4648.95
expt-app-85,8,2470.3650000000002,2464.336,19762.920000000002,19714.688
expt-app-48,10,311.464,225.158,3114.64,2251.58
expt-app-28,1,4627.904,4541.225,4627.904,4541.225
expt-app-9,4,4058.5129999999995,3952.804,16234.051999999998,15811.216
expt-app-70,1,4463.447,4384.798,4463.447,4384.798
expt-app-84,9,46.614999999999995,41.211,419.53499999999997,370.899
expt-app-49,1,5018.277999999999,4882.488,5018.277999999999,4882.488
expt-app-55,10,522.4069999999999,386.1,5224.07,3861.0
expt-app-54,9,959.273,808.955,8633.457,7280.595
expt-app-67,10,957.16,783.577,9571.6,7835.77
expt-app-71,8,1891.414,1812.128,15131.312,14497.024
expt-app-58,6,3668.339,3538.561,22010.034,21231.366
expt-app-73,9,771.393,704.263,6942.537,6338.367
expt-app-23,2,5657.389,5551.63,11314.778,11103.26
expt-app-1,9,586.341,451.243,5277.069,4061.187
expt-app-11,3,4568.816,4490.445,13706.448,13471.335
expt-app-4,10,296.759,184.279,2967.59,1842.79
expt-app-94,8,1564.575,1459.465,12516.6,11675.72
expt-app-0,3,8507.806999999999,8401.697,25523.420999999995,25205.091
expt-app-6,7,2246.7709999999997,2185.435,15727.396999999997,15298.045
expt-app-61,3,6187.713,6119.678,18563.139,18359.034
expt-app-21,7,1695.232,1608.074,11866.624,11256.518
expt-app-20,4,1728.253,1661.295,6913.012,6645.18
expt-app-27,6,1651.724,1573.205,9910.344,9439.23
expt-app-18,10,135.21800000000002,14.498,1352.1800000000003,144.98
expt-app-81,7,2086.748,1936.95,14607.236,13558.65
expt-app-35,7,2154.565,2067.438,15081.955,14472.066
expt-app-37,10,368.742,363.603,3687.42,3636.03
expt-app-29,3,5010.182000000001,5004.753,15030.546000000002,15014.258999999998
expt-app-80,9,897.983,892.099,8081.847,8028.8910000000005
expt-app-90,8,973.596,833.17,7788.768,6665.36
expt-app-46,6,3068.0429999999997,3000.087,18408.257999999998,18000.522
expt-app-77,7,1529.007,1380.139,10703.049,9660.973
expt-app-83,9,366.151,230.738,3295.359,2076.642
expt-app-24,8,1321.321,1309.024,10570.568,10472.192
expt-app-30,1,3406.279,3353.34,3406.279,3353.34
expt-app-3,3,7352.305,7346.49,22056.915,22039.47
expt-app-10,4,2476.642,2327.003,9906.568,9308.012
expt-app-69,7,426.88,277.784,2988.16,1944.4879999999998
expt-app-38,10,138.323,16.885,1383.23,168.85000000000002
expt-app-59,1,8909.051,8896.386,8909.051,8896.386
expt-app-66,1,5420.688,5352.678,5420.688,5352.678
expt-app-5,6,1418.5339999999999,1282.601,8511.204,7695.606000000001
expt-app-76,3,7933.5740000000005,7926.906,23800.722,23780.718
expt-app-65,1,11119.328,11051.005,11119.328,11051.005
expt-app-22,6,912.903,755.043,5477.418,4530.258
expt-app-57,5,2073.4629999999997,1995.171,10367.314999999999,9975.855
