app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-73,9,713.515,637.527,6421.635,5737.743
expt-app-47,5,1884.0710000000001,1830.346,9420.355000000001,9151.73
expt-app-65,1,10679.034,10611.796,10679.034,10611.796
expt-app-53,1,1919.207,1907.552,1919.207,1907.552
expt-app-38,10,138.83100000000002,16.881,1388.3100000000002,168.81
expt-app-58,6,3594.083,3471.99,21564.498,20831.94
expt-app-49,1,4476.6050000000005,4340.925,4476.6050000000005,4340.925
expt-app-3,3,7569.7970000000005,7564.424,22709.391000000003,22693.272
expt-app-19,10,250.97000000000003,198.018,2509.7000000000003,1980.18
expt-app-31,9,1149.946,1028.828,10349.514,9259.452
expt-app-87,5,3391.867,3338.895,16959.335,16694.475
expt-app-94,8,1517.91,1412.259,12143.28,11298.072
expt-app-21,7,1804.866,1720.465,12634.062,12043.255
expt-app-70,1,5082.751,5002.787,5082.751,5002.787
expt-app-28,1,5140.853,5061.024,5140.853,5061.024
expt-app-45,9,126.02,14.306,1134.18,128.754
expt-app-1,9,645.3539999999999,509.164,5808.186,4582.476
expt-app-83,9,311.583,167.952,2804.2470000000003,1511.568
expt-app-85,8,2509.401,2504.317,20075.208,20034.536
expt-app-62,3,3342.939,3231.152,10028.817,9693.456
expt-app-96,7,1769.767,1633.938,12388.369,11437.566
expt-app-39,8,1026.305,891.112,8210.44,7128.896
expt-app-8,3,6203.429,6198.108,18610.287,18594.324
expt-app-81,7,1999.173,1843.064,13994.211,12901.448
expt-app-13,6,659.331,592.748,3955.986,3556.4880000000003
expt-app-33,1,8903.045,8781.117,8903.045,8781.117
expt-app-35,7,2225.572,2146.399,15579.004,15024.793
expt-app-57,5,2524.79,2438.142,12623.95,12190.71
expt-app-63,10,75.97,8.913,759.7,89.13
expt-app-27,6,1403.2530000000002,1324.919,8419.518,7949.514000000001
expt-app-4,10,288.97299999999996,183.516,2889.7299999999996,1835.1599999999999
expt-app-34,3,4372.305,4229.409,13116.915,12688.226999999999
expt-app-14,9,898.5880000000001,814.917,8087.292,7334.253000000001
expt-app-66,1,4985.058,4917.123,4985.058,4917.123
expt-app-89,4,198.605,131.609,794.42,526.436
expt-app-56,3,2783.692,2697.169,8351.076000000001,8091.507
expt-app-29,3,5287.643,5282.334,15862.929,15847.002
expt-app-18,10,135.05900000000003,14.472,1350.5900000000001,144.72
expt-app-71,8,1609.9699999999998,1522.53,12879.759999999998,12180.24
expt-app-97,7,796.233,676.051,5573.630999999999,4732.357
expt-app-80,9,1145.913,1140.675,10313.217,10266.074999999999
expt-app-84,9,46.993,42.814,422.937,385.326
expt-app-67,10,816.9459999999999,581.55,8169.459999999999,5815.5
expt-app-11,3,3943.364,3864.058,11830.092,11592.173999999999
expt-app-48,10,345.55,257.754,3455.5,2577.54
expt-app-98,8,875.436,786.918,7003.488,6295.344
expt-app-7,8,525.471,376.115,4203.768,3008.92
expt-app-78,9,744.918,739.47,6704.262,6655.2300000000005
expt-app-32,10,194.843,74.115,1948.4299999999998,741.15
expt-app-6,7,2155.949,2102.645,15091.643,14718.515
expt-app-24,8,1163.905,1158.258,9311.24,9266.064
expt-app-74,2,1897.286,1892.336,3794.572,3784.672
expt-app-30,1,3836.991,3777.697,3836.991,3777.697
expt-app-91,4,1832.325,1689.37,7329.3,6757.48
expt-app-54,9,835.605,686.687,7520.445,6180.183
expt-app-92,8,1868.7469999999998,1724.339,14949.975999999999,13794.712
expt-app-0,3,7536.165,7431.26,22608.495,22293.78
expt-app-2,10,114.052,35.23,1140.52,352.29999999999995
expt-app-51,2,2220.144,2114.253,4440.288,4228.506
expt-app-5,6,1254.257,1111.361,7525.542,6668.166000000001
expt-app-88,2,3276.6220000000003,3197.355,6553.244000000001,6394.71
expt-app-46,6,3096.0879999999997,3028.647,18576.528,18171.881999999998
expt-app-76,3,8028.661,8016.661,24085.983,24049.983
expt-app-23,2,5468.518,5363.127,10937.036,10726.254
expt-app-9,4,3716.5530000000003,3610.479,14866.212000000001,14441.916
expt-app-77,7,1448.874,1299.898,10142.118,9099.286
expt-app-20,4,1670.819,1603.697,6683.276,6414.788
expt-app-37,10,351.404,346.19,3514.04,3461.9
expt-app-69,7,425.748,276.553,2980.236,1935.871
expt-app-10,4,2446.526,2289.649,9786.104,9158.596
expt-app-42,9,1513.169,1433.646,13618.521,12902.814
expt-app-60,7,1403.912,1324.027,9827.384,9268.189
expt-app-59,1,7561.182,7555.823,7561.182,7555.823
expt-app-50,3,4637.7480000000005,4632.553,13913.244000000002,13897.659
expt-app-22,6,881.028,731.544,5286.168,4389.264
expt-app-90,8,1092.695,956.865,8741.56,7654.92
expt-app-61,3,5617.778,5550.185,16853.334000000003,16650.555
expt-app-55,10,242.135,100.947,2421.35,1009.47
