app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-19,10,290.472,238.155,2904.72,2381.55
expt-app-86,8,147.149,73.665,1177.192,589.32
expt-app-24,8,1233.056,1165.748,9864.448,9325.984
expt-app-32,10,284.556,272.41,2845.56,2724.1000000000004
expt-app-42,9,1402.4769999999999,1281.778,12622.292999999998,11536.002
expt-app-89,4,322.495,217.516,1289.98,870.064
expt-app-62,3,3086.721,3024.334,9260.163,9073.002
expt-app-16,6,455.19599999999997,349.936,2731.176,2099.616
expt-app-21,7,2246.4469999999997,2097.078,15725.128999999997,14679.546
expt-app-91,4,1918.674,1769.656,7674.696,7078.624
expt-app-88,2,3378.2329999999997,3373.156,6756.465999999999,6746.312
expt-app-48,10,365.30800000000005,250.548,3653.0800000000004,2505.48
expt-app-46,6,3769.012,3763.858,22614.072,22583.148
expt-app-59,1,7921.062,7815.759,7921.062,7815.759
expt-app-10,4,2603.198,2466.79,10412.792,9867.16
expt-app-6,7,2720.094,2615.465,19040.658,18308.255
expt-app-11,3,4617.008,4495.831,13851.024,13487.493
expt-app-1,9,348.42699999999996,244.305,3135.843,2198.745
expt-app-5,6,1421.951,1273.073,8531.706,7638.438
expt-app-31,9,1269.042,1190.776,11421.377999999999,10716.984
expt-app-0,3,8471.85,8315.927,25415.550000000003,24947.781
expt-app-56,3,2805.303,2738.792,8415.909,8216.376
expt-app-4,10,257.38100000000003,152.079,2573.8100000000004,1520.79
expt-app-63,10,22.104,8.475,221.04,84.75
expt-app-22,6,401.02500000000003,295.861,2406.15,1775.166
expt-app-73,9,1249.192,1170.798,11242.728,10537.182
expt-app-90,8,732.6120000000001,620.584,5860.896000000001,4964.672
expt-app-96,7,1606.28,1484.873,11243.96,10394.111
expt-app-7,8,572.323,458.87,4578.584,3670.96
expt-app-78,9,446.49,441.734,4018.41,3975.6059999999998
expt-app-13,6,599.6629999999999,455.844,3597.977999999999,2735.064
expt-app-9,4,3840.4440000000004,3761.294,15361.776000000002,15045.176
expt-app-39,8,1039.517,904.21,8316.136,7233.68
expt-app-84,9,200.883,44.065,1807.9470000000001,396.585
expt-app-69,7,251.471,247.104,1760.297,1729.728
expt-app-45,9,64.937,60.838,584.433,547.542
expt-app-97,7,440.627,335.667,3084.389,2349.669
expt-app-54,9,610.274,535.153,5492.466,4816.377
expt-app-58,6,4008.097,3940.796,24048.582000000002,23644.775999999998
expt-app-66,1,5445.827,5370.097,5445.827,5370.097
expt-app-80,9,1043.283,964.851,9389.546999999999,8683.659
expt-app-85,8,2628.837,2499.096,21030.696,19992.768
expt-app-8,3,5412.604,5291.575,16237.812000000002,15874.724999999999
expt-app-27,6,1885.957,1765.325,11315.742,10591.95
expt-app-74,2,2634.632,2529.428,5269.264,5058.856
expt-app-37,10,405.188,325.818,4051.88,3258.18
expt-app-61,3,6252.86,6199.8,18758.579999999998,18599.4
expt-app-83,9,499.001,364.008,4491.009,3276.0719999999997
expt-app-55,10,126.333,54.065,1263.33,540.65
expt-app-77,7,1751.547,1631.211,12260.829,11418.477
expt-app-92,8,1393.436,1257.68,11147.488,10061.44
expt-app-14,9,980.723,831.438,8826.507,7482.942
expt-app-3,3,6977.357,6898.239,20932.071,20694.716999999997
expt-app-71,8,1776.929,1698.752,14215.432,13590.016
expt-app-47,5,2247.585,2091.268,11237.925,10456.34
expt-app-87,5,3251.877,3197.968,16259.385,15989.84
expt-app-60,7,1681.799,1560.459,11772.593,10923.213
expt-app-67,10,421.74899999999997,417.099,4217.49,4170.99
expt-app-81,7,1883.555,1747.976,13184.885,12235.832
expt-app-98,8,648.7579999999999,569.346,5190.063999999999,4554.768
expt-app-38,10,104.777,17.043,1047.77,170.43
expt-app-18,10,185.92600000000002,36.646,1859.2600000000002,366.46000000000004
expt-app-57,5,2379.644,2222.337,11898.22,11111.685
expt-app-35,7,2103.2639999999997,2024.132,14722.847999999998,14168.924
expt-app-94,8,1695.757,1616.564,13566.056,12932.512
expt-app-2,10,90.96700000000001,17.364,909.6700000000001,173.64000000000001
