app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-2,10,45.337,40.669,453.37,406.68999999999994
expt-app-24,8,1039.803,961.014,8318.424,7688.112
expt-app-86,8,116.877,37.431,935.016,299.448
expt-app-88,2,2956.617,2881.027,5913.234,5762.054
expt-app-89,4,219.95100000000002,143.56,879.8040000000001,574.24
expt-app-1,9,262.46500000000003,210.14,2362.1850000000004,1891.2599999999998
expt-app-10,4,1328.769,1250.163,5315.076,5000.652
expt-app-45,9,101.40599999999999,90.146,912.6539999999999,811.314
expt-app-18,10,160.394,29.503,1603.94,295.03
expt-app-69,7,187.551,108.925,1312.857,762.475
expt-app-20,4,1045.825,918.951,4183.3,3675.804
expt-app-81,7,1619.366,1541.028,11335.562,10787.196
expt-app-83,9,136.64100000000002,70.582,1229.7690000000002,635.2379999999999
expt-app-39,8,940.666,861.0,7525.328,6888.0
expt-app-34,3,3226.7239999999997,3090.95,9680.171999999999,9272.849999999999
expt-app-5,6,420.8,343.667,2524.8,2062.002
expt-app-94,8,946.474,867.583,7571.792,6940.664
expt-app-97,7,370.53799999999995,303.127,2593.7659999999996,2121.889
expt-app-56,3,1881.6109999999999,1794.967,5644.833,5384.901
expt-app-19,10,327.677,275.056,3276.7700000000004,2750.56
expt-app-62,3,2569.659,2503.58,7708.977000000001,7510.74
expt-app-57,5,1328.406,1248.751,6642.03,6243.755
expt-app-16,6,495.163,389.856,2970.978,2339.136
expt-app-51,2,1142.8799999999999,1137.829,2285.7599999999998,2275.658
expt-app-60,7,1525.4460000000001,1382.468,10678.122000000001,9677.276
expt-app-22,6,489.09799999999996,376.19,2934.5879999999997,2257.14
expt-app-35,7,1358.486,1278.892,9509.402,8952.244
expt-app-46,6,2289.395,2212.741,13736.369999999999,13276.446
expt-app-38,10,107.646,2.619,1076.46,26.19
expt-app-49,1,3728.1209999999996,3622.439,3728.1209999999996,3622.439
expt-app-31,9,1397.364,1275.723,12576.276,11481.507
expt-app-71,8,1311.856,1232.56,10494.848,9860.48
expt-app-42,9,1194.481,1089.308,10750.329,9803.772
expt-app-50,3,3473.927,3338.338,10421.781,10015.014000000001
expt-app-47,5,1542.083,1489.573,7710.415000000001,7447.865000000001
expt-app-28,1,4131.656999999999,3995.543,4131.656999999999,3995.543
expt-app-53,1,1734.6090000000002,1729.153,1734.6090000000002,1729.153
expt-app-84,9,115.515,36.344,1039.635,327.096
expt-app-90,8,480.36899999999997,413.264,3842.9519999999998,3306.112
expt-app-55,10,424.284,357.249,4242.84,3572.4900000000002
expt-app-6,7,1897.716,1844.491,13284.011999999999,12911.437
expt-app-77,7,1461.22,1381.71,10228.54,9671.970000000001
expt-app-73,9,601.6740000000001,459.878,5415.066000000001,4138.902
expt-app-63,10,18.163,13.481,181.63,134.81
expt-app-14,9,817.005,733.529,7353.045,6601.761
expt-app-30,1,3224.9300000000003,3219.091,3224.9300000000003,3219.091
expt-app-58,6,2585.355,2469.257,15512.130000000001,14815.542000000001
expt-app-48,10,557.566,490.744,5575.66,4907.4400000000005
expt-app-7,8,330.58,209.405,2644.64,1675.24
expt-app-21,7,1075.671,988.405,7529.697,6918.835
expt-app-3,3,4927.0560000000005,4822.024,14781.168000000001,14466.072
expt-app-67,10,314.083,247.203,3140.8300000000004,2472.03
expt-app-32,10,203.269,82.675,2032.69,826.75
expt-app-80,9,1130.681,1064.072,10176.129,9576.648
expt-app-92,8,992.394,904.395,7939.152,7235.16
expt-app-13,6,486.181,365.447,2917.086,2192.682
expt-app-70,1,4325.17,4272.096,4325.17,4272.096
expt-app-98,8,507.88999999999993,436.028,4063.1199999999994,3488.224
expt-app-23,2,3535.223,3467.667,7070.446,6935.334
expt-app-4,10,118.471,106.129,1184.71,1061.29
expt-app-96,7,1260.4599999999998,1155.785,8823.22,8090.495000000001
expt-app-37,10,356.74699999999996,351.343,3567.4699999999993,3513.4300000000003
expt-app-78,9,452.553,376.606,4072.977,3389.4539999999997
expt-app-54,9,470.027,456.925,4230.2429999999995,4112.325
