app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-67,10,631.848,498.559,6318.48,4985.59
expt-app-92,8,1592.914,1457.13,12743.312,11657.04
expt-app-84,9,128.997,15.619,1160.9730000000002,140.571
expt-app-22,6,307.702,229.107,1846.212,1374.642
expt-app-58,6,2355.223,2219.631,14131.338,13317.786
expt-app-46,6,1729.114,1654.355,10374.684000000001,9926.130000000001
expt-app-97,7,324.07399999999996,244.817,2268.5179999999996,1713.719
expt-app-54,9,329.104,323.873,2961.9359999999997,2914.857
expt-app-57,5,1499.125,1493.991,7495.625,7469.955
expt-app-20,4,655.3330000000001,581.393,2621.3320000000003,2325.572
expt-app-85,8,1825.3010000000002,1703.873,14602.408000000001,13630.984
expt-app-19,10,231.693,179.456,2316.9300000000003,1794.56
expt-app-63,10,17.505,13.261,175.04999999999998,132.60999999999999
expt-app-55,10,162.529,86.885,1625.29,868.85
expt-app-71,8,1123.094,1046.592,8984.752,8372.736
expt-app-1,9,197.548,144.913,1777.932,1304.217
expt-app-37,10,204.536,191.796,2045.3600000000001,1917.96
expt-app-7,8,295.666,174.781,2365.328,1398.248
expt-app-34,3,2812.019,2751.349,8436.056999999999,8254.047
expt-app-56,3,2131.444,1980.927,6394.332,5942.781
expt-app-48,10,134.97400000000002,67.983,1349.7400000000002,679.83
expt-app-83,9,125.04100000000001,58.578,1125.3690000000001,527.202
expt-app-4,10,133.219,67.272,1332.19,672.72
expt-app-69,7,164.83,59.831,1153.8100000000002,418.817
expt-app-96,7,1299.19,1194.111,9094.33,8358.777
expt-app-2,10,93.122,18.07,931.22,180.7
expt-app-80,9,813.9549999999999,804.298,7325.594999999999,7238.682
expt-app-78,9,482.02299999999997,338.707,4338.206999999999,3048.363
expt-app-86,8,124.442,19.34,995.536,154.72
expt-app-77,7,1057.46,990.371,7402.22,6932.597
expt-app-50,3,3186.617,3107.064,9559.851,9321.192
expt-app-53,1,1512.9850000000001,1356.259,1512.9850000000001,1356.259
expt-app-62,3,2597.343,2592.151,7792.0289999999995,7776.4529999999995
expt-app-81,7,1047.765,980.813,7334.3550000000005,6865.691
expt-app-6,7,1757.182,1690.402,12300.274,11832.814
expt-app-18,10,135.953,15.265,1359.53,152.65
expt-app-94,8,1291.802,1156.205,10334.416,9249.64
expt-app-3,3,3316.845,3311.354,9950.535,9934.062
expt-app-98,8,502.007,367.259,4016.056,2938.072
expt-app-89,4,313.547,183.836,1254.188,735.344
expt-app-28,1,3342.016,3206.008,3342.016,3206.008
expt-app-88,2,2421.973,2416.092,4843.946,4832.184
expt-app-14,9,891.1139999999999,838.803,8020.025999999999,7549.227
expt-app-90,8,420.663,343.092,3365.304,2744.736
expt-app-51,2,907.458,840.751,1814.916,1681.502
expt-app-21,7,1368.145,1263.192,9577.015,8842.344000000001
expt-app-61,3,4083.3940000000002,4001.933,12250.182,12005.798999999999
expt-app-45,9,24.315,19.618,218.835,176.56199999999998
expt-app-73,9,542.4259999999999,456.021,4881.833999999999,4104.189
expt-app-24,8,925.628,790.264,7405.024,6322.112
expt-app-38,10,134.991,5.67,1349.91,56.7
expt-app-23,2,3469.921,3381.572,6939.842,6763.144
expt-app-10,4,1797.02,1647.432,7188.08,6589.728
expt-app-30,1,2684.767,2563.48,2684.767,2563.48
expt-app-39,8,956.063,889.168,7648.504,7113.344
expt-app-5,6,690.76,679.237,4144.5599999999995,4075.4219999999996
expt-app-35,7,1672.364,1566.508,11706.548,10965.556
expt-app-13,6,324.337,236.962,1946.022,1421.772
expt-app-42,9,1028.282,892.762,9254.537999999999,8034.857999999999
expt-app-31,9,955.255,875.802,8597.295,7882.218
expt-app-32,10,196.002,69.087,1960.02,690.87
expt-app-60,7,1435.86,1300.65,10051.019999999999,9104.550000000001
expt-app-16,6,340.30899999999997,260.637,2041.8539999999998,1563.8220000000001
expt-app-47,5,1515.299,1502.608,7576.495,7513.04
