app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-91,9,241.62900000000002,162.803,2174.661,1465.2269999999999
expt-app-82,6,2847.5660000000003,2780.463,17085.396,16682.778000000002
expt-app-3,6,1845.87,1740.151,11075.22,10440.906
expt-app-83,10,245.9,166.54,2459.0,1665.3999999999999
expt-app-11,6,1943.1750000000002,1793.925,11659.050000000001,10763.55
expt-app-55,8,1951.487,1802.458,15611.896,14419.664
expt-app-99,8,1493.247,1388.121,11945.976,11104.968
expt-app-14,8,624.073,488.584,4992.584,3908.672
expt-app-96,7,246.472,160.437,1725.304,1123.0590000000002
expt-app-73,8,1855.045,1801.921,14840.36,14415.368
expt-app-18,10,86.09,32.732,860.9000000000001,327.32
expt-app-59,10,145.698,66.513,1456.98,665.1300000000001
expt-app-98,8,506.48400000000004,418.815,4051.8720000000003,3350.52
expt-app-50,4,730.765,651.419,2923.06,2605.676
expt-app-72,10,63.54,55.941,635.4,559.4100000000001
expt-app-29,10,207.99300000000002,194.795,2079.9300000000003,1947.9499999999998
expt-app-42,6,1466.25,1406.887,8797.5,8441.322
expt-app-26,7,2123.234,1974.399,14862.637999999999,13820.793
expt-app-92,4,535.4010000000001,399.692,2141.6040000000003,1598.768
expt-app-10,10,132.55800000000002,7.856,1325.5800000000002,78.56
expt-app-30,9,1336.4940000000001,1248.393,12028.446000000002,11235.537
expt-app-24,9,348.74899999999997,227.748,3138.7409999999995,2049.732
expt-app-31,7,1511.981,1444.683,10583.867,10112.780999999999
expt-app-85,4,3435.597,3314.459,13742.388,13257.836
expt-app-34,8,218.504,139.85,1748.032,1118.8
expt-app-93,9,343.54,223.508,3091.86,2011.5720000000001
expt-app-64,7,456.303,446.694,3194.121,3126.858
expt-app-32,8,119.563,15.206,956.504,121.648
expt-app-22,10,154.689,33.858,1546.8899999999999,338.58
expt-app-8,10,367.731,363.917,3677.31,3639.1699999999996
expt-app-51,9,130.972,43.765,1178.748,393.885
expt-app-46,2,2768.573,2647.719,5537.146,5295.438
expt-app-39,10,150.291,46.657,1502.9099999999999,466.56999999999994
expt-app-67,9,284.48400000000004,205.293,2560.356,1847.6370000000002
expt-app-48,2,509.422,383.579,1018.844,767.158
expt-app-58,6,1194.4250000000002,1058.848,7166.550000000001,6353.088
expt-app-53,3,2716.5530000000003,2567.686,8149.6590000000015,7703.058000000001
expt-app-60,5,1600.191,1513.328,8000.955,7566.639999999999
expt-app-87,9,1505.464,1429.752,13549.176,12867.768
expt-app-13,10,1404.605,1255.394,14046.05,12553.94
expt-app-97,9,386.009,333.219,3474.081,2998.971
expt-app-33,1,1090.98,986.303,1090.98,986.303
expt-app-9,3,3499.4339999999997,3420.157,10498.302,10260.471000000001
expt-app-0,6,3390.171,3311.046,20341.025999999998,19866.275999999998
expt-app-84,7,524.741,420.334,3673.187,2942.338
expt-app-16,10,88.945,21.932,889.4499999999999,219.32
expt-app-89,7,2973.064,2968.543,20811.448,20779.801
expt-app-68,7,436.404,321.408,3054.828,2249.856
expt-app-57,8,78.09,25.386,624.72,203.088
expt-app-88,7,854.769,787.263,5983.383,5510.841
expt-app-90,1,597.971,461.973,597.971,461.973
expt-app-12,8,417.801,413.229,3342.408,3305.832
expt-app-70,10,38.426,26.458,384.26,264.58
expt-app-52,7,518.101,504.103,3626.707,3528.721
expt-app-63,2,3474.489,3406.252,6948.978,6812.504
expt-app-23,9,2339.496,2218.539,21055.464,19966.851000000002
expt-app-79,6,1491.845,1425.007,8951.07,8550.042000000001
expt-app-45,8,1700.167,1614.422,13601.336,12915.376
expt-app-65,10,178.696,101.765,1786.96,1017.65
expt-app-47,5,2410.91,2306.183,12054.55,11530.915
expt-app-40,7,2377.2760000000003,2241.895,16640.932,15693.265
expt-app-49,10,16.394,12.283,163.94,122.83
expt-app-37,3,2432.462,2296.556,7297.386,6889.668
expt-app-7,5,2230.056,2094.136,11150.28,10470.68
expt-app-94,5,232.434,153.367,1162.17,766.8349999999999
expt-app-61,2,561.819,425.83,1123.638,851.66
expt-app-95,7,496.102,368.823,3472.714,2581.761
expt-app-6,10,237.907,126.302,2379.07,1263.02
expt-app-69,10,525.143,398.665,5251.43,3986.65
expt-app-27,9,126.45100000000001,5.343,1138.059,48.087
expt-app-77,1,1080.259,924.47,1080.259,924.47
