app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-45,10,272.121,193.629,2721.21,1936.29
expt-app-47,4,935.549,882.154,3742.196,3528.616
expt-app-46,8,550.289,414.212,4402.312,3313.696
expt-app-62,10,17.056,11.864,170.56,118.64000000000001
expt-app-84,8,363.183,250.739,2905.464,2005.912
expt-app-70,8,666.994,538.842,5335.952,4310.736
expt-app-67,9,170.27800000000002,100.402,1532.5020000000002,903.618
expt-app-80,10,101.328,34.781,1013.28,347.81
expt-app-25,5,1282.435,1202.718,6412.174999999999,6013.59
expt-app-36,9,175.256,109.587,1577.304,986.283
expt-app-32,6,493.15500000000003,339.003,2958.9300000000003,2034.018
expt-app-44,8,837.6700000000001,706.345,6701.360000000001,5650.76
expt-app-72,8,103.422,98.934,827.376,791.472
expt-app-11,6,120.089,30.135,720.534,180.81
expt-app-40,5,741.7850000000001,675.077,3708.925,3375.385
expt-app-34,2,1878.404,1873.58,3756.808,3747.16
expt-app-97,7,1030.649,925.605,7214.543,6479.235000000001
expt-app-98,9,510.69,375.003,4596.21,3375.027
expt-app-88,5,304.226,299.123,1521.13,1495.615
expt-app-76,5,1330.152,1251.023,6650.76,6255.115
expt-app-75,7,908.8119999999999,835.256,6361.683999999999,5846.7919999999995
expt-app-8,5,1544.714,1466.426,7723.57,7332.129999999999
expt-app-3,7,1209.5320000000002,1098.607,8466.724000000002,7690.249
expt-app-49,7,570.908,504.254,3996.356,3529.7780000000002
expt-app-30,9,163.27,108.972,1469.43,980.7479999999999
expt-app-52,5,135.465,8.3,677.325,41.5
expt-app-51,4,1689.411,1575.869,6757.644,6303.476
expt-app-14,9,200.51,148.719,1804.59,1338.471
expt-app-31,6,675.28,569.852,4051.68,3419.112
expt-app-4,10,206.30100000000002,139.494,2063.01,1394.94
expt-app-89,6,1002.1549999999999,922.523,6012.929999999999,5535.138
expt-app-35,5,660.533,517.431,3302.665,2587.155
expt-app-65,9,785.1129999999999,718.208,7066.017,6463.871999999999
expt-app-9,5,1129.2169999999999,1014.07,5646.084999999999,5070.35
expt-app-13,3,1159.301,1023.68,3477.903,3071.04
expt-app-93,5,1321.702,1186.085,6608.51,5930.425
expt-app-12,9,99.177,85.312,892.5930000000001,767.808
expt-app-90,6,1243.807,1107.807,7462.842000000001,6646.842000000001
expt-app-2,10,135.856,36.956,1358.56,369.56000000000006
expt-app-86,9,468.265,333.187,4214.385,2998.683
expt-app-21,3,1896.0649999999998,1754.726,5688.195,5264.178
expt-app-78,8,509.3299999999999,373.909,4074.6399999999994,2991.272
expt-app-85,4,1317.6239999999998,1311.691,5270.495999999999,5246.764
expt-app-63,10,194.648,63.674,1946.48,636.74
expt-app-5,9,200.382,125.868,1803.438,1132.812
expt-app-81,4,2180.2980000000002,2100.75,8721.192000000001,8403.0
expt-app-23,4,452.792,303.846,1811.168,1215.384
expt-app-41,5,556.91,552.043,2784.5499999999997,2760.215
expt-app-56,3,2412.984,2277.39,7238.951999999999,6832.17
expt-app-83,10,130.739,9.519,1307.39,95.19
expt-app-37,8,443.22499999999997,283.63,3545.7999999999997,2269.04
expt-app-82,9,274.33299999999997,195.578,2468.997,1760.202
expt-app-79,6,1054.999,1001.46,6329.994000000001,6008.76
expt-app-64,8,849.588,727.947,6796.704,5823.576
expt-app-69,5,195.128,74.453,975.6399999999999,372.265
expt-app-96,7,460.804,355.951,3225.6279999999997,2491.657
expt-app-27,4,822.169,672.234,3288.676,2688.936
expt-app-16,7,432.14399999999995,326.738,3025.008,2287.166
expt-app-55,10,244.9,178.184,2449.0,1781.84
expt-app-71,9,152.866,85.972,1375.794,773.7479999999999
expt-app-7,9,61.532999999999994,52.732,553.7969999999999,474.58799999999997
expt-app-0,2,1946.307,1933.255,3892.614,3866.51
expt-app-94,3,2205.542,2125.939,6616.626,6377.816999999999
expt-app-42,10,21.21,16.841,212.10000000000002,168.41000000000003
expt-app-38,7,303.637,198.52,2125.459,1389.64
expt-app-92,5,1319.399,1234.553,6596.994999999999,6172.765
