app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-68,9,212.09300000000002,62.78,1908.8370000000002,565.02
expt-app-45,7,1042.116,920.915,7294.812,6446.405
expt-app-25,9,645.323,503.779,5807.907,4534.011
expt-app-20,2,1206.5829999999999,1071.469,2413.1659999999997,2142.938
expt-app-33,9,130.855,26.197,1177.695,235.773
expt-app-16,5,1378.744,1363.762,6893.719999999999,6818.8099999999995
expt-app-7,7,528.265,450.154,3697.855,3151.078
expt-app-39,7,210.107,142.693,1470.749,998.8510000000001
expt-app-10,5,612.144,452.074,3060.7200000000003,2260.37
expt-app-26,10,129.02700000000002,7.751,1290.2700000000002,77.51
expt-app-13,10,144.55100000000002,32.94,1445.5100000000002,329.4
expt-app-99,2,544.886,492.328,1089.772,984.656
expt-app-51,4,1693.204,1614.155,6772.816,6456.62
expt-app-74,2,1899.503,1754.789,3799.006,3509.578
expt-app-37,6,520.199,453.415,3121.1939999999995,2720.4900000000002
expt-app-96,1,1379.2649999999999,1326.135,1379.2649999999999,1326.135
expt-app-0,4,1457.444,1378.034,5829.776,5512.136
expt-app-94,3,356.62899999999996,352.115,1069.887,1056.345
expt-app-41,10,132.357,53.126,1323.57,531.26
expt-app-57,7,822.75,807.769,5759.25,5654.383
expt-app-64,4,706.801,701.782,2827.204,2807.128
expt-app-27,8,531.143,452.966,4249.144,3623.728
expt-app-73,7,402.50399999999996,254.046,2817.528,1778.322
expt-app-35,9,326.615,221.945,2939.535,1997.5049999999999
expt-app-83,6,1636.194,1557.605,9817.164,9345.630000000001
expt-app-9,5,1235.201,1129.7,6176.005,5648.5
expt-app-18,8,662.682,549.203,5301.456,4393.624
expt-app-87,5,991.3689999999999,911.889,4956.844999999999,4559.445
expt-app-62,8,171.814,119.696,1374.512,957.568
expt-app-19,5,1824.581,1738.619,9122.904999999999,8693.095
expt-app-32,8,462.72799999999995,313.561,3701.8239999999996,2508.488
expt-app-76,1,1510.563,1389.57,1510.563,1389.57
expt-app-34,7,442.479,338.433,3097.353,2369.031
expt-app-58,8,668.188,532.998,5345.504,4263.984
expt-app-2,10,92.294,13.397,922.9399999999999,133.97
expt-app-22,7,634.368,567.111,4440.576,3969.777
expt-app-95,2,1649.364,1528.88,3298.728,3057.76
expt-app-54,7,796.149,647.081,5573.043,4529.567
expt-app-86,8,411.644,260.415,3293.152,2083.32
expt-app-30,5,1715.03,1710.274,8575.15,8551.369999999999
expt-app-98,5,1723.233,1577.373,8616.164999999999,7886.865
expt-app-24,6,176.839,41.587,1061.034,249.52200000000002
expt-app-23,2,773.519,631.912,1547.038,1263.824
expt-app-92,9,40.602,35.817,365.41799999999995,322.353
expt-app-77,7,137.577,52.639,963.039,368.473
expt-app-70,10,144.694,78.106,1446.9399999999998,781.06
expt-app-40,8,983.381,977.86,7867.048,7822.88
expt-app-49,8,1063.585,996.54,8508.68,7972.32
expt-app-84,6,1257.1760000000002,1137.061,7543.0560000000005,6822.366
expt-app-72,5,272.58500000000004,193.999,1362.9250000000002,969.995
expt-app-67,1,858.697,729.528,858.697,729.528
expt-app-88,5,1777.036,1773.543,8885.18,8867.715
expt-app-43,10,138.545,33.804,1385.4499999999998,338.04
expt-app-5,6,714.0419999999999,579.97,4284.2519999999995,3479.82
expt-app-14,6,1081.644,960.643,6489.864,5763.858
expt-app-29,4,675.524,670.685,2702.096,2682.74
expt-app-89,8,653.1949999999999,540.542,5225.5599999999995,4324.336
expt-app-50,9,428.676,279.197,3858.084,2512.773
expt-app-38,7,686.414,682.273,4804.898,4775.911
expt-app-31,8,680.1890000000001,604.659,5441.512000000001,4837.272
expt-app-12,5,1794.684,1645.363,8973.42,8226.815
expt-app-56,10,93.52499999999999,15.524,935.2499999999999,155.23999999999998
expt-app-69,8,560.429,482.645,4483.432,3861.16
expt-app-3,6,1183.2769999999998,1078.121,7099.661999999998,6468.726000000001
expt-app-11,9,66.25699999999999,54.085,596.3129999999999,486.765
expt-app-97,5,524.187,446.037,2620.935,2230.185
expt-app-44,10,204.84,125.685,2048.4,1256.85
expt-app-90,5,445.37,332.156,2226.85,1660.78
expt-app-93,6,1080.212,975.34,6481.272,5852.04
expt-app-52,6,1308.8329999999999,1173.677,7852.998,7042.062
expt-app-65,9,200.451,51.218,1804.059,460.96200000000005
expt-app-91,8,468.992,401.475,3751.936,3211.8
expt-app-47,2,1080.0620000000001,1001.224,2160.1240000000003,2002.448
expt-app-60,6,719.878,584.514,4319.268,3507.084
expt-app-42,6,2606.223,2531.818,15637.338,15190.908000000001
expt-app-82,10,170.52800000000002,81.157,1705.2800000000002,811.5699999999999
expt-app-53,5,1857.8799999999999,1736.167,9289.4,8680.835
expt-app-63,1,1111.475,976.005,1111.475,976.005
expt-app-75,8,112.04899999999999,33.636,896.3919999999999,269.088
expt-app-36,7,824.2230000000001,771.996,5769.561000000001,5403.972
