app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-77,7,181.44,52.068,1270.08,364.476
expt-app-75,8,189.746,40.394,1517.968,323.152
expt-app-9,5,887.8580000000001,808.686,4439.29,4043.4300000000003
expt-app-44,10,198.297,112.095,1982.97,1120.95
expt-app-57,7,1432.089,1327.527,10024.623,9292.689
expt-app-27,8,438.7,334.399,3509.6,2675.192
expt-app-0,4,1281.346,1159.911,5125.384,4639.644
expt-app-8,6,881.259,814.338,5287.554,4886.028
expt-app-98,5,1130.622,1054.794,5653.110000000001,5273.97
expt-app-41,10,132.656,53.446,1326.56,534.46
expt-app-29,4,533.005,398.24,2132.02,1592.96
expt-app-26,10,17.753999999999998,13.108,177.53999999999996,131.08
expt-app-32,8,385.11400000000003,242.658,3080.9120000000003,1941.264
expt-app-51,4,1496.225,1490.463,5984.9,5961.852
expt-app-92,9,189.255,40.81,1703.295,367.29
expt-app-53,5,1593.577,1443.175,7967.885,7215.875
expt-app-94,3,237.13600000000002,157.856,711.4080000000001,473.568
expt-app-13,10,160.60399999999998,39.791,1606.04,397.90999999999997
expt-app-3,6,1672.941,1536.423,10037.646,9218.538
expt-app-95,2,1349.226,1270.851,2698.452,2541.702
expt-app-74,2,1491.83,1386.217,2983.66,2772.434
expt-app-90,5,243.611,165.213,1218.0549999999998,826.0649999999999
expt-app-38,7,1390.487,1241.317,9733.409,8689.219000000001
expt-app-60,6,509.486,384.057,3056.916,2304.342
expt-app-19,5,1620.554,1606.337,8102.77,8031.6849999999995
expt-app-76,1,1647.924,1512.66,1647.924,1512.66
expt-app-73,7,238.783,158.381,1671.481,1108.667
expt-app-5,6,322.712,269.846,1936.272,1619.076
expt-app-31,8,759.221,600.853,6073.768,4806.824
expt-app-89,8,556.543,451.344,4452.344,3610.752
expt-app-33,9,166.42100000000002,16.623,1497.7890000000002,149.607
expt-app-93,6,907.7030000000001,765.371,5446.218000000001,4592.226
expt-app-39,7,184.275,131.684,1289.925,921.788
expt-app-24,6,158.576,72.963,951.4559999999999,437.77799999999996
expt-app-58,8,491.653,356.963,3933.224,2855.704
expt-app-36,7,1196.171,1129.079,8373.197,7903.553
expt-app-20,2,1665.952,1531.35,3331.904,3062.7
expt-app-43,10,142.43900000000002,29.433,1424.3900000000003,294.33
expt-app-14,6,886.831,882.27,5320.986,5293.62
expt-app-56,10,83.19200000000001,16.943,831.9200000000001,169.43
expt-app-68,9,218.454,69.419,1966.086,624.771
expt-app-86,8,256.379,190.311,2051.032,1522.488
expt-app-11,9,58.245,54.085,524.2049999999999,486.765
expt-app-50,9,405.452,248.875,3649.068,2239.875
expt-app-99,2,799.258,664.393,1598.516,1328.786
expt-app-62,8,308.03000000000003,229.372,2464.2400000000002,1834.976
expt-app-16,5,1099.145,1046.833,5495.725,5234.165000000001
expt-app-25,9,472.142,328.507,4249.278,2956.563
expt-app-40,8,1025.21,1021.171,8201.68,8169.368
expt-app-42,6,1824.832,1757.718,10948.992,10546.308
expt-app-10,5,271.661,192.902,1358.305,964.51
expt-app-34,7,227.086,213.698,1589.602,1495.886
expt-app-87,5,915.871,836.585,4579.355,4182.925
expt-app-22,7,870.089,801.442,6090.6230000000005,5610.094
expt-app-83,6,1475.451,1396.641,8852.706,8379.846000000001
expt-app-6,3,517.822,450.953,1553.466,1352.859
expt-app-97,5,460.25100000000003,325.764,2301.255,1628.8200000000002
expt-app-37,6,351.137,283.879,2106.822,1703.2740000000001
expt-app-91,8,491.936,486.707,3935.488,3893.656
expt-app-82,10,159.742,80.902,1597.4199999999998,809.02
expt-app-23,2,550.307,405.05,1100.614,810.1
expt-app-84,6,1244.748,1140.833,7468.488,6844.9980000000005
expt-app-15,9,250.314,183.334,2252.826,1650.006
expt-app-18,8,621.398,516.88,4971.184,4135.04
expt-app-45,7,1035.795,957.29,7250.5650000000005,6701.03
expt-app-59,5,1008.7349999999999,1003.29,5043.674999999999,5016.45
expt-app-70,10,99.149,85.586,991.49,855.86
expt-app-49,8,1105.371,1032.4,8842.968,8259.2
expt-app-72,5,189.636,110.719,948.18,553.595
expt-app-65,9,122.6,44.579,1103.3999999999999,401.211
expt-app-52,6,1035.528,899.642,6213.168,5397.852000000001
expt-app-54,7,347.994,343.838,2435.958,2406.866
expt-app-2,10,124.967,11.16,1249.67,111.6
expt-app-47,2,811.659,744.132,1623.318,1488.264
expt-app-7,7,308.939,304.17,2162.5730000000003,2129.19
expt-app-79,3,1163.913,1096.836,3491.739,3290.508
expt-app-85,4,1723.765,1602.801,6895.06,6411.204
expt-app-35,9,309.913,204.855,2789.217,1843.695
expt-app-69,8,716.5559999999999,595.868,5732.447999999999,4766.944
expt-app-96,1,2091.118,1969.246,2091.118,1969.246
expt-app-12,5,1522.772,1364.667,7613.86,6823.334999999999
