app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-95,2,858.417,792.429,1716.834,1584.858
expt-app-68,9,128.042,119.779,1152.378,1078.011
expt-app-74,2,954.095,881.996,1908.19,1763.992
expt-app-41,10,173.231,53.277,1732.31,532.77
expt-app-5,6,230.755,178.767,1384.53,1072.6019999999999
expt-app-7,7,175.662,109.235,1229.634,764.645
expt-app-72,5,198.619,113.052,993.095,565.26
expt-app-70,10,218.036,83.157,2180.36,831.5699999999999
expt-app-27,8,299.51,220.941,2396.08,1767.528
expt-app-32,8,206.093,127.662,1648.744,1021.296
expt-app-88,5,1482.833,1333.663,7414.165000000001,6668.3150000000005
expt-app-13,10,110.681,44.507,1106.81,445.07
expt-app-38,7,575.6139999999999,508.772,4029.2979999999993,3561.404
expt-app-31,8,365.14000000000004,286.352,2921.1200000000003,2290.816
expt-app-39,7,270.654,165.835,1894.578,1160.845
expt-app-0,4,859.248,785.795,3436.992,3143.18
expt-app-75,8,112.28299999999999,33.458,898.2639999999999,267.664
expt-app-18,8,346.576,342.609,2772.608,2740.872
expt-app-35,9,181.925,108.353,1637.325,975.1769999999999
expt-app-90,5,226.644,147.964,1133.22,739.8199999999999
expt-app-77,7,172.861,52.012,1210.027,364.084
expt-app-94,3,403.38,282.273,1210.1399999999999,846.8190000000001
expt-app-34,7,311.192,207.01,2178.344,1449.07
expt-app-86,8,175.489,122.83,1403.912,982.64
expt-app-53,5,1330.904,1243.638,6654.52,6218.19
expt-app-8,6,696.658,630.251,4179.948,3781.506
expt-app-92,9,149.482,63.727,1345.338,573.543
expt-app-99,2,436.827,359.003,873.654,718.006
expt-app-2,10,153.92700000000002,18.454,1539.2700000000002,184.54000000000002
expt-app-30,5,1277.5529999999999,1273.304,6387.764999999999,6366.52
expt-app-25,9,327.034,248.627,2943.306,2237.643
expt-app-98,5,818.64,683.333,4093.2,3416.665
expt-app-16,5,775.533,640.142,3877.665,3200.71
expt-app-29,4,374.829,300.758,1499.316,1203.032
expt-app-60,6,569.003,448.706,3414.018,2692.236
expt-app-40,8,696.0070000000001,629.822,5568.0560000000005,5038.576
expt-app-69,8,251.80200000000002,247.687,2014.4160000000002,1981.496
expt-app-22,7,555.922,489.601,3891.454,3427.207
expt-app-23,2,332.301,327.556,664.602,655.112
expt-app-49,8,754.98,675.756,6039.84,5406.048
expt-app-64,4,471.989,419.664,1887.956,1678.656
expt-app-65,9,52.401,47.89,471.60900000000004,431.01
expt-app-37,6,254.85600000000002,179.525,1529.1360000000002,1077.15
expt-app-50,9,107.516,103.171,967.644,928.5390000000001
expt-app-54,7,239.043,180.243,1673.301,1261.701
expt-app-96,1,859.038,723.309,859.038,723.309
expt-app-82,10,148.787,82.634,1487.8700000000001,826.34
expt-app-33,9,136.52700000000002,16.207,1228.7430000000002,145.863
expt-app-76,1,782.292,777.756,782.292,777.756
expt-app-20,2,1056.5500000000002,911.368,2113.1000000000004,1822.736
expt-app-78,2,3371.14,3292.297,6742.28,6584.594
expt-app-83,6,1231.9389999999999,1179.521,7391.633999999999,7077.126
expt-app-17,2,1572.416,1484.783,3144.832,2969.566
expt-app-9,5,374.278,307.996,1871.39,1539.98
expt-app-91,8,279.955,201.41,2239.64,1611.28
expt-app-44,10,252.40699999999998,174.465,2524.0699999999997,1744.65
expt-app-57,7,843.047,708.581,5901.329,4960.067
expt-app-45,7,1214.315,1070.003,8500.205,7490.021
expt-app-81,4,3061.913,2913.689,12247.652,11654.756
expt-app-47,2,468.78999999999996,402.086,937.5799999999999,804.172
expt-app-19,5,1282.674,1269.646,6413.37,6348.23
expt-app-42,6,1853.367,1740.127,11120.202,10440.761999999999
expt-app-10,5,237.517,159.489,1187.585,797.445
expt-app-56,10,119.177,14.28,1191.77,142.79999999999998
expt-app-89,8,283.665,204.813,2269.32,1638.504
expt-app-63,1,748.9749999999999,614.544,748.9749999999999,614.544
expt-app-93,6,539.424,472.851,3236.544,2837.1059999999998
expt-app-26,10,16.707,13.223,167.07,132.23000000000002
expt-app-58,8,142.97000000000003,138.346,1143.7600000000002,1106.768
expt-app-97,5,375.134,363.191,1875.67,1815.955
expt-app-43,10,103.032,36.653,1030.32,366.53
expt-app-24,6,150.562,72.715,903.3720000000001,436.29
expt-app-52,6,712.84,577.694,4277.04,3466.1639999999998
expt-app-11,9,115.71900000000001,49.973,1041.471,449.757
expt-app-73,7,127.56899999999999,60.987,892.983,426.909
expt-app-87,5,906.6800000000001,840.743,4533.400000000001,4203.715
expt-app-61,4,1508.856,1442.029,6035.424,5768.116
expt-app-1,2,4121.761,3965.15,8243.522,7930.3
expt-app-3,6,706.201,701.873,4237.206,4211.238
expt-app-62,8,212.26700000000002,91.989,1698.1360000000002,735.912
expt-app-12,5,1028.987,970.18,5144.935,4850.9
expt-app-36,7,496.502,482.935,3475.514,3380.545
expt-app-14,6,616.675,550.152,3700.0499999999997,3300.9120000000003
