app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-35,2,1633.684,1527.728,3267.368,3055.456
expt-app-90,5,203.513,199.253,1017.565,996.2649999999999
expt-app-74,9,1012.5360000000001,945.855,9112.824,8512.695
expt-app-51,8,1650.243,1491.036,13201.944,11928.288
expt-app-23,6,1115.363,1048.874,6692.178,6293.244000000001
expt-app-65,10,215.724,65.863,2157.24,658.63
expt-app-26,6,927.5980000000001,911.65,5565.588000000001,5469.9
expt-app-60,10,152.41199999999998,85.78,1524.12,857.8
expt-app-0,8,934.696,930.903,7477.568,7447.224
expt-app-76,4,1462.169,1327.484,5848.676,5309.936
expt-app-52,8,1106.922,962.12,8855.376,7696.96
expt-app-96,6,130.662,64.638,783.972,387.82800000000003
expt-app-8,3,463.26,358.338,1389.78,1075.0140000000001
expt-app-72,2,2262.944,2113.531,4525.888,4227.062
expt-app-32,8,2109.4970000000003,2104.313,16875.976000000002,16834.504
expt-app-68,3,1064.092,913.57,3192.2760000000003,2740.71
expt-app-33,10,402.612,297.564,4026.1200000000003,2975.6400000000003
expt-app-46,3,2068.143,2001.31,6204.429,6003.93
expt-app-95,9,107.778,41.372,970.0020000000001,372.348
expt-app-92,8,1110.307,1031.466,8882.456,8251.728
expt-app-18,7,725.924,663.683,5081.468,4645.781
expt-app-81,7,671.5759999999999,584.755,4701.031999999999,4093.285
expt-app-6,3,1341.028,1205.715,4023.084,3617.1449999999995
expt-app-80,5,1559.747,1481.138,7798.735000000001,7405.69
expt-app-59,8,350.703,214.965,2805.624,1719.72
expt-app-83,5,767.325,637.398,3836.625,3186.9900000000002
expt-app-42,3,875.871,871.736,2627.613,2615.208
expt-app-71,6,883.669,748.53,5302.014,4491.18
expt-app-16,3,1827.112,1760.454,5481.336,5281.362
expt-app-7,5,1850.463,1771.403,9252.315,8857.015
expt-app-84,3,1115.059,958.381,3345.1769999999997,2875.143
expt-app-57,9,272.55,206.354,2452.9500000000003,1857.1860000000001
expt-app-88,10,836.247,714.821,8362.47,7148.21
expt-app-91,9,852.0020000000001,731.081,7668.018000000001,6579.729
expt-app-67,10,246.393,227.703,2463.93,2277.03
expt-app-62,6,974.7909999999999,847.697,5848.745999999999,5086.182
expt-app-55,6,448.961,312.437,2693.766,1874.622
expt-app-1,7,633.64,528.962,4435.48,3702.734
expt-app-49,5,214.863,82.983,1074.315,414.915
expt-app-45,9,509.846,505.416,4588.614,4548.744
expt-app-53,7,569.173,464.038,3984.2110000000002,3248.266
expt-app-41,10,123.30000000000001,56.514,1233.0,565.14
expt-app-79,10,170.77,35.907,1707.7,359.06999999999994
expt-app-93,4,1205.275,1070.026,4821.1,4280.104
expt-app-22,10,90.10300000000001,23.069,901.0300000000001,230.69
expt-app-15,7,550.597,471.976,3854.179,3303.832
expt-app-86,6,905.595,766.749,5433.57,4600.494000000001
expt-app-11,4,328.973,197.998,1315.892,791.992
expt-app-31,8,662.6809999999999,513.614,5301.447999999999,4108.912
expt-app-99,6,1054.275,950.082,6325.650000000001,5700.492
expt-app-27,2,2175.984,2109.075,4351.968,4218.15
expt-app-97,9,313.039,246.175,2817.3509999999997,2215.5750000000003
expt-app-4,9,105.769,95.002,951.921,855.0179999999999
expt-app-30,10,22.393,17.789,223.93,177.89000000000001
expt-app-37,8,480.712,401.859,3845.696,3214.872
expt-app-21,8,303.944,189.632,2431.552,1517.056
expt-app-10,9,613.359,465.067,5520.231000000001,4185.603
expt-app-13,6,2116.308,1994.819,12697.848,11968.914
expt-app-94,10,19.302,15.725,193.01999999999998,157.25
expt-app-34,2,1380.0079999999998,1275.236,2760.0159999999996,2550.472
expt-app-61,9,293.618,176.797,2642.562,1591.173
expt-app-29,1,2247.98,2126.663,2247.98,2126.663
expt-app-56,10,125.1,20.13,1251.0,201.29999999999998
expt-app-25,9,540.858,405.179,4867.722,3646.611
expt-app-43,10,439.339,280.719,4393.39,2807.19
expt-app-17,10,156.79000000000002,153.023,1567.9,1530.23
expt-app-54,7,526.285,459.131,3683.995,3213.917
expt-app-85,1,1411.6290000000001,1395.764,1411.6290000000001,1395.764
expt-app-38,6,1216.985,1096.325,7301.91,6577.950000000001
expt-app-19,2,1291.097,1160.876,2582.194,2321.752
expt-app-66,5,1626.368,1547.44,8131.84,7737.200000000001
expt-app-24,10,40.058,36.483,400.58,364.83
