app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-26,6,987.752,859.452,5926.512,5156.7119999999995
expt-app-95,9,120.41399999999999,41.329,1083.7259999999999,371.961
expt-app-59,8,236.0,157.039,1888.0,1256.312
expt-app-92,8,681.658,614.476,5453.264,4915.808
expt-app-4,9,323.551,236.023,2911.959,2124.207
expt-app-43,10,375.741,226.722,3757.41,2267.2200000000003
expt-app-56,10,89.035,36.326,890.3499999999999,363.26
expt-app-38,6,849.055,770.516,5094.33,4623.096
expt-app-6,3,1044.9489999999998,977.876,3134.8469999999998,2933.6279999999997
expt-app-86,6,680.768,675.349,4084.608,4052.094
expt-app-88,10,672.9110000000001,593.819,6729.110000000001,5938.19
expt-app-8,3,508.38700000000006,441.379,1525.161,1324.1370000000002
expt-app-52,8,742.841,689.368,5942.728,5514.944
expt-app-25,9,449.692,314.034,4047.228,2826.306
expt-app-35,2,1507.614,1428.514,3015.228,2857.028
expt-app-22,10,81.606,21.774,816.06,217.74
expt-app-18,7,601.782,534.389,4212.474,3740.723
expt-app-81,7,610.044,489.157,4270.308,3424.0989999999997
expt-app-49,5,109.27199999999999,57.0,546.3599999999999,285.0
expt-app-24,10,52.436,37.967,524.36,379.66999999999996
expt-app-96,6,156.735,21.703,940.4100000000001,130.218
expt-app-32,8,1110.723,1025.679,8885.784,8205.432
expt-app-41,10,197.929,63.158,1979.29,631.58
expt-app-93,4,1147.644,1017.084,4590.576,4068.336
expt-app-80,5,1718.738,1597.881,8593.69,7989.405000000001
expt-app-15,7,576.5799999999999,455.952,4036.0599999999995,3191.6639999999998
expt-app-16,3,2030.1390000000001,1893.581,6090.417,5680.7429999999995
expt-app-57,9,292.508,239.825,2632.5719999999997,2158.4249999999997
expt-app-71,6,487.114,474.598,2922.6839999999997,2847.588
expt-app-74,9,731.523,657.54,6583.707,5917.86
expt-app-94,10,160.996,26.039,1609.96,260.39
expt-app-83,5,666.799,545.119,3333.995,2725.5950000000003
expt-app-31,8,781.023,653.407,6248.184,5227.256
expt-app-17,10,372.47,236.981,3724.7000000000003,2369.81
expt-app-68,3,752.126,741.997,2256.3779999999997,2225.991
expt-app-30,10,134.545,13.419,1345.4499999999998,134.19
expt-app-66,5,1585.4950000000001,1449.65,7927.475,7248.25
expt-app-34,2,1412.879,1292.119,2825.758,2584.238
expt-app-85,1,1367.216,1292.322,1367.216,1292.322
expt-app-13,6,1257.442,1108.033,7544.652,6648.197999999999
expt-app-75,4,1042.529,1037.103,4170.116,4148.412
expt-app-11,4,408.95,259.804,1635.8,1039.216
expt-app-37,8,214.72299999999998,209.977,1717.7839999999999,1679.816
expt-app-1,7,604.05,446.243,4228.349999999999,3123.701
expt-app-65,10,135.602,56.602,1356.02,566.02
expt-app-61,9,267.664,200.095,2408.9759999999997,1800.855
expt-app-97,9,503.85699999999997,415.349,4534.713,3738.141
expt-app-99,6,925.0690000000001,819.16,5550.414000000001,4914.96
expt-app-19,2,1069.877,948.422,2139.754,1896.844
expt-app-53,7,467.248,392.299,3270.736,2746.093
expt-app-76,4,1154.367,1019.026,4617.468,4076.104
expt-app-29,1,1477.781,1472.884,1477.781,1472.884
expt-app-50,6,834.336,729.557,5006.016,4377.342000000001
expt-app-10,9,448.866,304.44,4039.794,2739.96
expt-app-5,7,637.0780000000001,531.636,4459.546,3721.4519999999998
expt-app-55,6,271.786,204.97,1630.716,1229.82
expt-app-45,9,456.256,443.977,4106.304,3995.7929999999997
expt-app-72,2,2061.6310000000003,1956.391,4123.262000000001,3912.782
expt-app-21,8,205.214,200.665,1641.712,1605.32
expt-app-79,10,102.657,36.109,1026.57,361.09000000000003
expt-app-90,5,276.98699999999997,197.645,1384.935,988.225
expt-app-84,3,954.4780000000001,813.353,2863.434,2440.0589999999997
expt-app-91,9,642.144,563.109,5779.296,5067.981000000001
expt-app-42,3,1437.2359999999999,1283.342,4311.708,3850.0260000000003
expt-app-33,10,207.167,128.231,2071.67,1282.31
expt-app-51,8,1065.9209999999998,1012.596,8527.367999999999,8100.768
expt-app-62,6,830.2610000000001,700.774,4981.566000000001,4204.644
expt-app-67,10,353.21599999999995,218.38,3532.1599999999994,2183.8
expt-app-54,7,376.336,309.35,2634.352,2165.4500000000003
expt-app-0,8,776.796,710.016,6214.368,5680.128
expt-app-60,10,191.24099999999999,137.878,1912.4099999999999,1378.7799999999997
